Date,area (km2),GranD_ID
2019-07-15,0.40625,353
2019-08-01,0.385,353
2019-08-15,0.41425,353
2019-09-01,0.456,353
2019-09-15,0.516,353
2019-10-01,0.593,353
2019-10-15,0.6134999999999999,353
2019-11-01,0.67775,353
2019-11-15,0.63575,353
2019-12-01,0.505,353
2019-12-15,0.339,353
2020-01-01,0.15333333333333332,353
2020-01-15,0.0518,353
2020-02-01,0.16525,353
2020-02-15,0.27099999999999996,353
2020-03-01,0.3655,353
2020-03-15,0.4586,353
2020-04-01,0.5955,353
2020-04-15,0.70325,353
2020-05-01,0.77725,353
2020-05-15,0.7040000000000001,353
2020-06-01,0.634,353
2020-06-15,0.56975,353
2020-07-01,0.5445,353
2020-07-15,0.54325,353
2020-08-01,0.5246666666666667,353
2020-08-15,0.45975,353
2020-09-01,0.424,353
2020-09-15,0.43525,353
2020-10-01,0.453,353
2020-10-15,0.508,353
2020-11-01,0.432,353
2020-11-15,0.2028,353
2020-12-01,0.022000000000000002,353
2020-12-15,0.10300000000000001,353
2021-01-01,0.21,353
2021-01-15,0.32675,353
2021-02-01,0.439,353
2021-02-15,0.47625,353
2021-03-01,0.569,353
2021-03-15,0.679,353
2021-04-01,0.7616666666666667,353
2021-04-15,0.7172499999999999,353
2021-05-01,0.6607500000000001,353
2021-05-15,0.5894999999999999,353
2021-06-01,0.57525,353
2021-06-15,0.519,353
2021-07-01,0.46175,353
2021-07-15,0.4045,353
2021-08-01,0.39075000000000004,353
2021-08-15,0.37,353
2021-09-01,0.3626666666666667,353
2021-09-15,0.3525,353
2021-10-01,0.35375,353
2021-10-15,0.33840000000000003,353
2021-11-01,0.33433333333333337,353
2021-11-15,0.3385,353
2021-12-01,0.274,353
2021-12-15,0.2444,353
2022-01-01,0.22075,353
2022-01-15,0.1995,353
2022-02-01,0.178,353
2022-02-15,0.155,353
2022-03-01,0.09899999999999999,353
2022-03-15,-0.041400000000000006,353
2022-04-01,-0.19725,353
2022-04-15,-0.21875,353
2022-05-01,-0.17766666666666667,353
2022-05-15,-0.15475,353
2022-06-01,-0.06425,353
2022-06-15,0.0265,353
2022-07-01,0.11699999999999999,353
2022-07-15,0.20099999999999998,353
2022-08-01,0.309,353
2022-08-15,0.39175,353
2022-09-01,0.40700000000000003,353
2022-09-15,0.4615,353
2022-10-01,0.47700000000000004,353
2022-10-15,0.28275,353
2022-11-01,0.0010000000000000009,353
2022-11-15,-0.1742,353
2022-12-01,-0.2776666666666667,353
2022-12-15,-0.3626,353
2023-01-01,0.076,353
2023-01-15,0.5257499999999999,353
2023-02-01,0.57,353
2023-02-15,0.57,353
2023-03-01,0.57,353
2019-05-01,57.653333333333336,402
2019-05-15,63.68833333333333,402
2019-06-01,62.591,402
2019-06-15,67.57724999999999,402
2019-07-01,68.40725,402
2019-07-15,67.23225,402
2019-08-01,66.17333333333333,402
2019-08-15,64.82140000000001,402
2019-09-01,63.01166666666666,402
2019-09-15,64.0462,402
2019-10-01,63.928333333333335,402
2019-10-15,63.5785,402
2019-11-01,59.11833333333334,402
2019-11-15,64.63825,402
2019-12-01,64.74549999999999,402
2019-12-15,65.54825,402
2020-01-01,63.557249999999996,402
2020-01-15,53.43299999999999,402
2020-02-01,52.87375,402
2020-02-15,53.6635,402
2020-03-01,84.74125000000001,402
2020-03-15,95.98325,402
2020-04-01,76.82533333333333,402
2020-04-15,70.70725,402
2020-05-01,60.43375,402
2020-05-15,64.78325000000001,402
2020-06-01,67.32875,402
2020-06-15,64.24166666666666,402
2020-07-01,64.93,402
2020-07-15,66.20700000000001,402
2020-08-01,66.17033333333333,402
2020-08-15,66.5844,402
2020-09-01,65.48333333333333,402
2020-09-15,66.0895,402
2020-10-01,67.87366666666667,402
2020-10-15,74.93575,402
2020-11-01,70.60675,402
2020-11-15,58.147999999999996,402
2020-12-01,54.19233333333333,402
2020-12-15,58.6735,402
2021-01-01,56.652249999999995,402
2021-01-15,55.60875,402
2021-02-01,65.88525,402
2021-02-15,63.464333333333336,402
2021-03-01,60.71875,402
2021-03-15,61.676500000000004,402
2021-04-01,60.278000000000006,402
2021-04-15,65.3895,402
2021-05-01,69.77433333333333,402
2021-05-15,67.43325,402
2021-06-01,69.87,402
2021-06-15,64.89875,402
2021-07-01,64.74333333333333,402
2021-07-15,62.684000000000005,402
2021-08-01,60.408500000000004,402
2021-08-15,59.80800000000001,402
2021-09-01,58.8405,402
2021-09-15,58.374,402
2021-10-01,57.13475,402
2021-10-15,52.506,402
2021-11-01,53.1275,402
2021-11-15,59.562,402
2021-12-01,59.974000000000004,402
2021-12-15,47.13,402
2022-01-01,34.156666666666666,402
2022-01-15,26.927666666666667,402
2022-02-01,31.70475,402
2022-02-15,36.651,402
2022-03-01,39.2438,402
2022-03-15,40.954750000000004,402
2022-04-01,44.7652,402
2022-04-15,49.760000000000005,402
2022-05-01,58.13399999999999,402
2022-05-15,65.468,402
2022-06-01,63.88425,402
2022-06-15,65.7935,402
2022-07-01,65.8238,402
2022-07-15,67.86179999999999,402
2022-08-01,65.043,402
2022-08-15,64.2585,402
2022-09-01,68.78649999999999,402
2022-09-15,69.86,402
2022-10-01,70.257,402
2022-10-15,68.4602,402
2022-11-01,58.3395,402
2022-11-15,47.5395,402
2022-12-01,40.048199999999994,402
2022-12-15,31.9366,402
2023-01-01,26.706,402
2023-01-15,32.4942,402
2023-02-01,40.83975,402
2023-02-15,46.549,402
2023-03-01,,402
2023-03-15,46.549,402
2019-05-01,5.5275,79
2019-05-15,5.5075,79
2019-06-01,5.62525,79
2019-06-15,5.42575,79
2019-07-01,5.52,79
2019-07-15,5.587,79
2019-08-01,5.55,79
2019-08-15,5.548,79
2019-09-01,5.547,79
2019-09-15,5.1498,79
2019-10-01,4.9395,79
2019-10-15,5.1064,79
2019-11-01,4.91,79
2019-11-15,4.929,79
2019-12-01,5.102,79
2019-12-15,5.10825,79
2020-01-01,5.595,79
2020-01-15,5.271,79
2020-02-01,5.52675,79
2020-02-15,5.5895,79
2020-03-01,5.4325,79
2020-03-15,5.434333333333332,79
2020-04-01,5.57025,79
2020-04-15,5.4879999999999995,79
2020-05-01,5.43025,79
2020-05-15,5.2795,79
2020-06-01,5.627333333333333,79
2020-06-15,5.65625,79
2020-07-01,5.602,79
2020-07-15,5.571,79
2020-08-01,5.515333333333333,79
2020-08-15,5.5225,79
2020-09-01,5.563,79
2020-09-15,5.366,79
2020-10-01,5.3545,79
2020-10-15,5.16525,79
2020-11-01,4.97875,79
2020-11-15,4.784,79
2020-12-01,5.12575,79
2020-12-15,5.35575,79
2021-01-01,5.542249999999999,79
2021-01-15,5.12925,79
2021-02-01,4.910666666666667,79
2021-02-15,5.43725,79
2021-03-01,5.70475,79
2021-03-15,5.74725,79
2021-04-01,5.67,79
2021-04-15,5.457333333333334,79
