loss,mse,val_loss,val_mse,epoch
7.8184967041015625,7.8184967041015625,5.436315059661865,5.436315059661865,1
4.834564208984375,4.834564208984375,4.151634693145752,4.151634693145752,2
3.9915385246276855,3.9915385246276855,3.634141445159912,3.634141445159912,3
3.8389172554016113,3.8389172554016113,3.675861120223999,3.675861120223999,4
3.7155568599700928,3.7155568599700928,3.4383270740509033,3.4383270740509033,5
3.584108591079712,3.584108591079712,3.6550467014312744,3.6550467014312744,6
3.503007650375366,3.503007650375366,3.216783046722412,3.216783046722412,7
3.366506576538086,3.366506576538086,3.1044085025787354,3.1044085025787354,8
3.2545673847198486,3.2545673847198486,3.2239089012145996,3.2239089012145996,9
3.2098376750946045,3.2098376750946045,3.0012571811676025,3.0012571811676025,10
3.145754814147949,3.145754814147949,3.0224599838256836,3.0224599838256836,11
3.0607523918151855,3.0607523918151855,2.841790199279785,2.841790199279785,12
3.0554049015045166,3.0554049015045166,3.0679919719696045,3.0679919719696045,13
3.0003371238708496,3.0003371238708496,2.9628732204437256,2.9628732204437256,14
2.9281692504882812,2.9281692504882812,2.7658729553222656,2.7658729553222656,15
2.9168899059295654,2.9168899059295654,2.816481590270996,2.816481590270996,16
2.872480630874634,2.872480630874634,2.778426170349121,2.778426170349121,17
2.8359296321868896,2.8359296321868896,2.7755954265594482,2.7755954265594482,18
2.802511692047119,2.802511692047119,2.806288242340088,2.806288242340088,19
2.7869396209716797,2.7869396209716797,2.882350206375122,2.882350206375122,20
