init_units,learning_rate,activation,batch_size,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,tuner/trial_id,Score
128,0.001,relu,128,300,100,5,5,0422,3.9717228412628174
128,0.001,relu,32,300,100,5,5,0423,4.042524814605713
128,0.001,relu,128,100,34,5,4,0417,4.054892539978027
128,0.001,relu,128,34,12,5,3,0385,4.080684661865234
128,0.001,relu,32,100,34,5,4,0411,4.0990471839904785
128,0.001,relu,32,34,12,5,3,0393,4.122653007507324
128,0.001,relu,8,100,34,5,4,0415,4.212721347808838
128,0.001,relu,8,34,12,5,3,0381,4.281207084655762
64,0.01,relu,128,34,12,5,3,0386,4.291561126708984
64,0.001,relu,16,34,12,5,3,0379,4.292843818664551
64,0.001,relu,32,34,12,5,3,0392,4.33101224899292
32,0.01,relu,128,34,12,5,3,0388,4.33151388168335
64,0.001,relu,8,34,12,5,3,0382,4.337146759033203
128,0.001,relu,32,12,4,5,2,0310,4.346441745758057
128,0.001,relu,64,34,12,5,3,0387,4.366390705108643
64,0.001,relu,8,12,4,5,2,0290,4.376822471618652
64,0.001,relu,32,12,4,5,2,0298,4.376830101013184
64,0.01,relu,128,100,34,5,4,0420,4.412971019744873
32,0.001,relu,8,12,4,5,2,0286,4.41931676864624
128,0.001,relu,8,12,4,5,2,0284,4.430934906005859
128,0.001,relu,64,12,4,5,2,0295,4.442142009735107
128,0.001,relu,128,12,4,5,2,0313,4.447448253631592
32,0.01,relu,256,12,4,5,2,0306,4.463663578033447
64,0.001,relu,16,12,4,5,2,0288,4.46689510345459
32,0.001,relu,8,34,12,5,3,0380,4.469340801239014
64,0.01,relu,128,12,4,5,2,0293,4.487626075744629
32,0.01,relu,128,12,4,5,2,0287,4.490870952606201
32,0.01,relu,256,34,12,5,3,0391,4.507187843322754
64,0.001,relu,16,4,2,5,1,0072,4.579968452453613
32,0.001,relu,8,4,2,5,1,0177,4.6173014640808105
128,0.001,relu,8,4,2,5,1,0275,4.638463497161865
64,0.001,relu,8,4,2,5,1,0112,4.6464691162109375
128,0.0001,relu,8,12,4,5,2,0314,4.653221130371094
64,0.01,relu,256,12,4,5,2,0309,4.655073642730713
16,0.001,relu,8,12,4,5,2,0296,4.69456672668457
64,0.01,relu,64,12,4,5,2,0292,4.712949752807617
16,0.01,relu,128,12,4,5,2,0297,4.7211480140686035
16,0.01,relu,64,12,4,5,2,0307,4.722930908203125
16,0.01,relu,32,12,4,5,2,0285,4.750030994415283
32,0.001,relu,64,12,4,5,2,0315,4.776008605957031
16,0.01,relu,32,4,2,5,1,0266,4.790695667266846
128,0.0001,relu,16,12,4,5,2,0311,4.796031951904297
128,0.001,relu,8,2,0,5,0,,4.828081130981445
16,0.001,relu,8,4,2,5,1,0165,4.844071388244629
8,0.01,relu,64,12,4,5,2,0301,4.884125232696533
32,0.01,relu,32,12,4,5,2,0299,4.884234428405762
64,0.0001,relu,8,12,4,5,2,0318,4.884876251220703
128,0.001,relu,128,4,2,5,1,0174,4.893412113189697
16,0.01,relu,32,2,0,5,0,,4.921894073486328
64,0.01,relu,128,4,2,5,1,0063,4.934178352355957
8,0.001,relu,8,12,4,5,2,0312,4.954020023345947
16,0.001,relu,16,12,4,5,2,0317,4.963085651397705
16,0.01,relu,8,12,4,5,2,0289,4.9716033935546875
8,0.01,relu,128,12,4,5,2,0294,4.977015972137451
8,0.01,relu,16,12,4,5,2,0291,4.9833478927612305
128,0.001,relu,256,12,4,5,2,0300,4.992028713226318
32,0.001,relu,8,2,0,5,0,,5.004059314727783
128,0.0001,relu,32,12,4,5,2,0327,5.00730562210083
128,0.001,relu,64,4,2,5,1,0197,5.008589267730713
32,0.01,relu,128,4,2,5,1,0136,5.012947082519531
32,0.01,relu,32,4,2,5,1,0149,5.04196310043335
64,0.01,relu,64,4,2,5,1,0208,5.054466247558594
32,0.01,relu,256,4,2,5,1,0005,5.060821533203125
32,0.01,relu,128,2,0,5,0,,5.068081378936768
64,0.0001,relu,16,12,4,5,2,0316,5.0785956382751465
64,0.001,relu,16,2,0,5,0,,5.081748008728027
64,0.001,relu,32,4,2,5,1,0105,5.133885383605957
128,0.001,relu,32,4,2,5,1,0013,5.15238618850708
8,0.01,relu,16,4,2,5,1,0248,5.159021854400635
16,0.01,relu,8,2,0,5,0,,5.183099746704102
64,0.001,relu,8,2,0,5,0,,5.2101569175720215
32,0.01,relu,16,4,2,5,1,0173,5.220485687255859
128,0.001,relu,256,4,2,5,1,0124,5.229523658752441
64,0.001,relu,128,4,0,4,0,,5.232577800750732
16,0.01,relu,128,4,2,5,1,0140,5.233172416687012
128,0.01,relu,128,4,0,4,0,,5.235409259796143
32,0.01,relu,16,12,4,5,2,0304,5.30997371673584
8,0.01,relu,16,2,0,5,0,,5.314021110534668
8,0.01,relu,64,4,2,5,1,0032,5.3242268562316895
16,0.01,relu,8,4,2,5,1,0145,5.3376784324646
64,0.01,relu,64,2,0,5,0,,5.390439510345459
64,0.01,relu,128,2,0,5,0,,5.4112138748168945
128,0.0001,relu,8,4,2,5,1,0202,5.421815395355225
16,0.01,relu,64,4,2,5,1,0079,5.447764873504639
16,0.001,relu,16,4,2,5,1,0104,5.456979274749756
64,0.0001,relu,16,4,2,5,1,0077,5.461789608001709
64,0.0001,relu,8,4,2,5,1,0209,5.468303203582764
8,0.001,relu,8,4,2,5,1,0210,5.487210750579834
8,0.01,relu,128,2,0,5,0,,5.509041786193848
128,0.001,relu,64,2,0,5,0,,5.519729137420654
