init_units,learning_rate,activation,batch_size,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,tuner/trial_id,Score
32,0.01,linear,16,2,0,5,0,,3.690513849258423
32,0.01,relu,256,2,0,5,0,,3.6908085346221924
32,0.001,linear,64,2,0,5,0,,3.6931920051574707
8,0.001,relu,16,2,0,5,0,,3.696112871170044
8,0.001,linear,8,2,0,5,0,,3.7027676105499268
128,0.001,relu,128,2,0,5,0,,3.706080913543701
128,0.0001,relu,8,2,0,5,0,,3.7076337337493896
64,0.01,relu,64,4,2,5,1,0208,3.707943916320801
64,0.001,linear,64,4,2,5,1,0001,3.7089295387268066
64,0.001,linear,128,4,2,5,1,0154,3.710574150085449
32,0.01,linear,128,2,0,5,0,,3.71205735206604
16,0.001,relu,16,2,0,5,0,,3.7129788398742676
64,0.01,relu,16,2,0,5,0,,3.7135121822357178
16,0.001,relu,8,2,0,5,0,,3.7149765491485596
32,0.01,linear,32,4,2,5,1,0283,3.7160050868988037
8,0.1,relu,64,2,0,5,0,,3.719553232192993
32,0.01,relu,256,4,2,5,1,0005,3.720278024673462
32,0.01,linear,8,4,2,5,1,0240,3.7223806381225586
32,0.01,linear,64,4,2,5,1,0201,3.739018440246582
128,0.0001,relu,16,2,0,5,0,,3.744358539581299
16,0.01,relu,8,2,0,5,0,,3.7471182346343994
8,0.01,linear,16,2,0,5,0,,3.7493975162506104
8,0.1,relu,8,2,0,5,0,,3.759134531021118
64,0.001,relu,16,2,0,5,0,,3.7606780529022217
32,0.0001,linear,8,2,0,5,0,,3.7676103115081787
64,0.0001,relu,8,2,0,5,0,,3.7685625553131104
8,0.01,linear,128,2,0,5,0,,3.768908739089966
8,0.1,linear,16,2,0,5,0,,3.769704580307007
16,0.001,linear,8,4,2,5,1,0220,3.7752392292022705
8,0.01,relu,32,4,2,5,1,0257,3.775339365005493
16,0.1,linear,8,2,0,5,0,,3.776604652404785
128,0.0001,linear,16,2,0,5,0,,3.7776293754577637
16,0.01,relu,8,4,2,5,1,0145,3.78507137298584
128,0.01,relu,16,2,0,5,0,,3.788083791732788
32,0.01,relu,16,2,0,5,0,,3.788090467453003
128,0.001,linear,64,2,0,5,0,,3.792900562286377
32,0.001,relu,128,2,0,5,0,,3.7931272983551025
16,0.0001,relu,8,4,2,5,1,0253,3.7940499782562256
64,0.01,linear,32,2,0,5,0,,3.7965633869171143
8,0.1,relu,64,4,2,5,1,0231,3.79748272895813
64,0.0001,linear,16,2,0,5,0,,3.8166615962982178
32,0.0001,relu,8,2,0,5,0,,3.818885564804077
32,0.01,relu,8,4,0,4,0,,3.819117784500122
128,0.01,linear,16,2,0,5,0,,3.8343491554260254
16,0.01,relu,64,2,0,5,0,,3.854867696762085
16,0.001,relu,64,2,0,5,0,,3.8550291061401367
128,0.0001,linear,32,4,0,4,0,,3.8559844493865967
64,0.0001,relu,16,2,0,5,0,,3.8614654541015625
8,0.01,relu,128,2,0,5,0,,3.8632264137268066
16,0.001,relu,128,2,0,5,0,,3.874295711517334
8,0.001,relu,8,2,0,5,0,,3.875155210494995
64,0.001,linear,64,2,0,5,0,,3.8756630420684814
128,0.001,linear,256,4,0,4,0,,3.8764488697052
128,0.0001,relu,32,2,0,5,0,,3.87925386428833
8,0.001,linear,64,2,0,5,0,,3.8893749713897705
8,0.1,relu,128,2,0,5,0,,3.8898911476135254
64,0.0001,linear,64,4,0,4,0,,3.8908450603485107
8,0.1,linear,128,4,2,5,1,0270,3.891726493835449
64,0.001,linear,128,2,0,5,0,,3.8922486305236816
128,0.0001,linear,8,2,0,5,0,,3.9057765007019043
128,0.01,relu,8,2,0,5,0,,3.907301902770996
128,0.01,linear,32,2,0,5,0,,3.9166171550750732
128,0.01,linear,64,2,0,5,0,,3.928966522216797
16,0.001,linear,16,2,0,5,0,,3.9292359352111816
128,0.001,relu,256,2,0,5,0,,3.932154417037964
16,0.01,linear,512,2,0,5,0,,3.932631254196167
32,0.001,relu,8,2,0,5,0,,3.939318895339966
32,0.0001,linear,16,4,2,5,1,0171,3.9396984577178955
8,0.001,relu,32,2,0,5,0,,3.943288803100586
32,0.01,linear,256,2,0,5,0,,3.953003406524658
32,0.0001,relu,16,2,0,5,0,,3.964068651199341
128,0.001,linear,16,4,2,5,1,0222,3.9964561462402344
128,0.0001,linear,8,4,2,5,1,0274,4.003893852233887
32,0.01,linear,8,2,0,5,0,,4.008485794067383
64,0.0001,linear,8,2,0,5,0,,4.019786357879639
128,0.01,linear,64,4,2,5,1,0198,4.033170223236084
8,0.1,linear,128,2,0,5,0,,4.04716682434082
32,0.001,linear,128,2,0,5,0,,4.050103664398193
16,0.1,relu,8,2,0,5,0,,4.0512375831604
32,0.0001,linear,16,2,0,5,0,,4.056836128234863
16,0.0001,relu,8,2,0,5,0,,4.057342052459717
32,0.01,relu,16,4,2,5,1,0173,4.058459281921387
