date,wz,wi,wk,qu,qd
1982-01-01,,,,635.78,463.00
1982-01-02,,,,535.79,440.00
1982-01-03,,,,516.76,425.00
1982-01-04,,,,587.22,440.00
1982-01-05,,,,451.44,391.00
1982-01-06,,,,391.81,310.00
1982-01-07,,,,356.43,310.00
1982-01-08,,,,416.06,330.00
1982-01-09,,,,399.87,335.00
1982-01-10,,,,407.36,335.00
1982-01-11,,,,429.56,335.00
1982-01-12,,,,413.76,337.00
1982-01-13,,,,437.56,342.00
1982-01-14,,,,447.38,355.00
1982-01-15,,,,581.28,451.00
1982-01-16,,,,1641.70,1240.00
1982-01-17,,,,3079.80,2320.00
1982-01-18,,,,2378.02,1680.00
1982-01-19,,,,1775.58,1290.00
1982-01-20,,,,1390.47,1020.00
1982-01-21,,,,1148.64,852.00
1982-01-22,,,,991.88,748.00
1982-01-23,,,,1557.74,1410.00
1982-01-24,,,,5379.99,4050.00
1982-01-25,,,,5187.94,3700.00
1982-01-26,,,,4159.06,3290.00
1982-01-27,,,,3690.33,3110.00
1982-01-28,,,,2612.45,2490.00
1982-01-29,,,,1854.56,1930.00
1982-01-30,,,,1581.89,1530.00
1982-01-31,,,,1532.87,1410.00
1982-02-01,,,,1378.00,1340.00
1982-02-02,,,,1343.23,1310.00
1982-02-03,,,,1679.60,1570.00
1982-02-04,,,,1519.69,1400.00
1982-02-05,,,,1222.86,1060.00
1982-02-06,,,,1151.18,980.00
1982-02-07,,,,1027.63,860.00
1982-02-08,,,,904.68,750.00
1982-02-09,,,,796.70,660.00
1982-02-10,,,,696.44,578.00
1982-02-11,,,,646.89,547.00
1982-02-12,,,,600.54,505.00
1982-02-13,,,,590.03,499.00
1982-02-14,,,,2488.40,2450.00
1982-02-15,,,,6166.04,6060.00
1982-02-16,,,,7118.77,6720.00
1982-02-17,,,,6594.68,6150.00
1982-02-18,,,,6190.71,5870.00
1982-02-19,,,,8327.44,7870.00
1982-02-20,,,,9229.40,8550.00
1982-02-21,,,,9231.14,8680.00
1982-02-22,,,,6493.58,6160.00
1982-02-23,,,,4353.32,4310.00
1982-02-24,,,,3106.68,3150.00
1982-02-25,,,,2342.12,2380.00
1982-02-26,,,,2052.06,1960.00
1982-02-27,,,,1839.45,1720.00
1982-02-28,,,,1634.59,1520.00
1982-03-01,,,,1643.97,1540.00
1982-03-02,,,,2387.40,2250.00
1982-03-03,,,,2403.56,2260.00
1982-03-04,,,,2799.08,2640.00
1982-03-05,,,,3191.14,3090.00
1982-03-06,,,,2818.71,2760.00
1982-03-07,,,,2430.28,2350.00
1982-03-08,,,,2271.22,2110.00
1982-03-09,,,,2245.34,2040.00
1982-03-10,,,,2581.23,2440.00
1982-03-11,,,,3278.24,3180.00
1982-03-12,,,,3034.66,2980.00
1982-03-13,,,,2583.71,2430.00
1982-03-14,,,,2329.18,2230.00
1982-03-15,,,,2651.81,2580.00
1982-03-16,,,,2387.19,2340.00
1982-03-17,,,,2210.29,2180.00
1982-03-18,,,,2112.12,2040.00
1982-03-19,,,,1961.19,1900.00
1982-03-20,,,,1731.37,1670.00
1982-03-21,,,,1827.03,1760.00
1982-03-22,,,,1819.09,1780.00
1982-03-23,,,,1837.26,1770.00
1982-03-24,,,,1947.36,1880.00
1982-03-25,,,,1913.79,1880.00
1982-03-26,,,,2113.23,2040.00
1982-03-27,,,,2253.39,2180.00
1982-03-28,,,,2150.90,2100.00
1982-03-29,,,,1985.30,1940.00
1982-03-30,,,,1809.47,1730.00
1982-03-31,,,,1736.65,1600.00
1982-04-01,,,,1591.46,1500.00
1982-04-02,,,,1493.15,1390.00
1982-04-03,,,,1357.49,1300.00
1982-04-04,,,,1194.49,1160.00
1982-04-05,,,,1139.62,1030.00
1982-04-06,,,,1022.58,959.00
1982-04-07,,,,989.73,926.00
1982-04-08,,,,945.86,878.00
1982-04-09,,,,882.37,838.00
1982-04-10,,,,865.21,838.00
1982-04-11,,,,1542.44,1490.00
1982-04-12,,,,3918.32,3930.00
1982-04-13,,,,3773.37,3750.00
1982-04-14,,,,4400.90,4360.00
1982-04-15,,,,3916.64,3940.00
1982-04-16,,,,3064.15,3070.00
1982-04-17,,,,2456.63,2480.00
1982-04-18,,,,2300.08,2230.00
1982-04-19,,,,2015.11,1980.00
1982-04-20,,,,1722.45,1740.00
1982-04-21,,,,1496.58,1520.00
1982-04-22,,,,1767.10,1650.00
1982-04-23,,,,2251.75,2240.00
1982-04-24,,,,2988.25,3000.00
1982-04-25,,,,2818.94,2860.00
1982-04-26,,,,2432.50,2450.00
1982-04-27,,,,2418.36,2260.00
1982-04-28,,,,2624.67,2430.00
1982-04-29,,,,2890.13,2730.00
1982-04-30,,,,2603.32,2520.00
1982-05-01,,,,2711.38,2610.00
1982-05-02,,,,2915.77,2850.00
1982-05-03,,,,2835.71,2800.00
1982-05-04,,,,2445.93,2440.00
1982-05-05,,,,2023.74,2000.00
1982-05-06,,,,1798.18,1810.00
1982-05-07,,,,1870.27,1900.00
1982-05-08,,,,1967.69,1980.00
1982-05-09,,,,1780.44,1780.00
1982-05-10,,,,1630.00,1630.00
1982-05-11,,,,1550.00,1550.00
1982-05-12,,,,1573.75,1550.00
1982-05-13,,,,1580.00,1580.00
1982-05-14,,,,1590.32,1620.00
1982-05-15,,,,1723.97,1730.00
1982-05-16,,,,1758.04,1770.00
1982-05-17,,,,1821.96,1810.00
1982-05-18,,,,1739.77,1710.00
1982-05-19,,,,1400.00,1400.00
1982-05-20,,,,1231.87,1220.00
1982-05-21,,,,1191.91,1180.00
1982-05-22,,,,1270.00,1270.00
1982-05-23,,,,1334.06,1340.00
1982-05-24,,,,1197.76,1180.00
1982-05-25,,,,1068.18,1080.00
1982-05-26,,,,1112.15,1130.00
1982-05-27,,,,953.06,959.00
1982-05-28,,,,823.85,806.00
1982-05-29,,,,752.88,741.00
1982-05-30,,,,651.06,657.00
1982-05-31,,,,612.82,601.00
1982-06-01,,,,608.00,608.00
1982-06-02,,,,636.00,636.00
1982-06-03,,,,652.18,664.00
1982-06-04,,,,584.21,608.00
1982-06-05,,,,603.79,580.00
1982-06-06,,,,544.06,550.00
1982-06-07,,,,525.94,520.00
1982-06-08,,,,484.06,490.00
1982-06-09,,,,478.74,455.00
1982-06-10,,,,401.26,425.00
1982-06-11,,,,386.42,440.00
1982-06-12,,,,430.17,484.00
1982-06-13,,,,641.18,671.00
1982-06-14,,,,640.11,664.00
1982-06-15,,,,556.00,556.00
1982-06-16,,,,508.00,508.00
1982-06-17,,,,466.00,466.00
1982-06-18,,,,406.10,430.00
1982-06-19,,,,342.53,420.00
1982-06-20,,,,300.34,425.00
1982-06-21,,,,335.26,430.00
1982-06-22,,,,297.01,415.00
1982-06-23,,,,287.68,400.00
1982-06-24,,,,259.20,370.00
1982-06-25,,,,231.52,360.00
1982-06-26,,,,217.14,380.00
1982-06-27,,,,229.57,380.00
1982-06-28,,,,212.92,380.00
1982-06-29,,,,242.40,380.00
1982-06-30,,,,231.61,380.00
1982-07-01,,,,220.89,380.00
1982-07-02,,,,238.65,380.00
1982-07-03,,,,289.24,430.00
1982-07-04,,,,298.17,455.00
1982-07-05,,,,289.97,435.00
1982-07-06,,,,276.75,410.00
1982-07-07,,,,250.71,400.00
1982-07-08,,,,253.41,380.00
1982-07-09,,,,222.04,370.00
1982-07-10,,,,212.73,360.00
1982-07-11,,,,165.55,350.00
1982-07-12,,,,144.78,355.00
1982-07-13,,,,146.18,355.00
1982-07-14,,,,126.71,350.00
1982-07-15,,,,116.33,335.00
1982-07-16,,,,121.12,335.00
1982-07-17,,,,106.79,330.00
1982-07-18,,,,103.89,320.00
1982-07-19,,,,73.77,315.00
1982-07-20,,,,54.55,315.00
1982-07-21,,,,41.12,315.00
1982-07-22,,,,17.45,325.00
1982-07-23,,,,25.56,335.00
1982-07-24,,,,28.89,345.00
1982-07-25,,,,32.42,345.00
1982-07-26,,,,21.08,345.00
1982-07-27,,,,5.40,345.00
1982-07-28,,,,-9.33,355.00
1982-07-29,,,,10.40,365.00
1982-07-30,,,,5.17,355.00
1982-07-31,,,,-7.09,355.00
1982-08-01,,,,-1.92,360.00
1982-08-02,,,,-5.32,360.00
1982-08-03,,,,-9.19,360.00
1982-08-04,,,,19.19,360.00
1982-08-05,,,,32.98,360.00
1982-08-06,,,,15.96,345.00
1982-08-07,,,,5.94,335.00
1982-08-08,,,,12.24,330.00
1982-08-09,,,,3.12,325.00
1982-08-10,,,,-4.89,325.00
1982-08-11,,,,4.16,325.00
1982-08-12,,,,25.21,325.00
1982-08-13,,,,31.43,315.00
1982-08-14,,,,5.62,298.00
1982-08-15,,,,-3.06,294.00
1982-08-16,,,,-10.92,290.00
1982-08-17,,,,-22.60,286.00
1982-08-18,,,,-25.79,286.00
1982-08-19,,,,-20.80,286.00
