date,avg water temperature (C),min_temp(C),max_temp(C),inflow(m3/d),outflow(m3/d)
1983-01-20,,,,2598748.268544,2666762.9568
1983-01-21,,,,2594001.9197951998,2412319.51872
1983-01-22,,,,2405469.118464,2245952.6553599997
1983-01-23,,,,2304743.7689855997,2167662.36672
1983-01-24,,,,2154720.0033792,2108944.65024
1983-01-25,,,,2169595.1582208,2089372.07808
1983-01-26,,,,2618320.840704,2285097.79968
1983-01-27,,,,2847368.8664063998,2593365.8112
1983-01-28,,,,3026604.6959615997,2666762.9568
1983-01-29,,,,2742729.002496,2544434.3808
1983-01-30,,,,2599457.7742848,2412319.51872
1983-01-31,,,,2390716.2921984,2285097.79968
1983-02-01,,,,2359620.3681792,2148089.79456
1983-02-02,,,,2082081.2949504,1952364.07296
1983-02-03,,,,1869988.0098816,1744405.49376
1983-02-04,,,,1740686.7050496,1624523.4892799999
1983-02-05,,,,1615030.7917823999,1538893.48608
1983-02-06,,,,1646200.1129472,1487515.48416
1983-02-07,,,,1561548.7383552,1504641.4848
1983-02-08,,,,1538404.171776,1436137.48224
1983-02-09,,,,1869743.3527296,1744405.49376
1983-02-10,,,,2280302.5195008,2108944.65024
1983-02-11,,,,2552116.6153728003,2265525.22752
1983-02-12,,,,3130583.9855616,2715694.3871999998
1983-02-13,,,,3422313.1736064,2911420.1088
1983-02-14,,,,3633183.1729152,3082680.1152
1983-02-15,,,,3673380.3429888003,3082680.1152
1983-02-16,,,,4955970.9966336,3963445.8624
1983-02-17,,,,6035447.282688,5015471.616
1983-02-18,,,,12050881.6103424,10715983.2576
1983-02-19,,,,14090563.820851201,12868966.1952
1983-02-20,,,,9174716.5971456,8318343.168
1983-02-21,,,,6823096.5178368,6189825.9456
1983-02-22,,,,6427534.8344832,5749443.072
1983-02-23,,,,7514595.4922496,6777003.1104
1983-02-24,,,,7929069.173452799,7290783.1296
1983-02-25,,,,6979261.1779584,6483414.528
1983-02-26,,,,6097321.0764288,5773908.7872
1983-02-27,,,,5266710.0453888,5064403.0464
1983-02-28,,,,4562219.7762048,4354897.3056
1983-03-01,,,,3844933.9379712,3571994.4192
1983-03-02,,,,4118607.4281984,3792185.856
1983-03-03,,,,4823489.1488256,4403828.736
1983-03-04,,,,12619807.351603199,11131900.416
1983-03-05,,,,14721803.7387264,13627403.3664
1983-03-06,,,,11445477.4877184,11131900.416
1983-03-07,,,,9697108.548096001,9615026.0736
1983-03-08,,,,9017157.3912576,9003383.193599999
1983-03-09,,,,9313412.736614399,9272506.0608
1983-03-10,,,,9135767.1785472,9272506.0608
1983-03-11,,,,10465625.5939584,10520257.536
1983-03-12,,,,10659907.8383616,10495791.820799999
1983-03-13,,,,11199548.118528,10911708.9792
1983-03-14,,,,11222032.1107968,11180831.8464
1983-03-15,,,,9474128.0197632,9419300.352
1983-03-16,,,,7558707.1767552,7241851.6992
1983-03-17,,,,6268532.1513984,5700511.6416
1983-03-18,,,,5262771.065241599,4648485.888
1983-03-19,,,,4410067.493376,3890048.7168
1983-03-20,,,,3749077.2658176003,3253940.1215999997
1983-03-21,,,,3244300.6298112,2789091.5328
1983-03-22,,,,2724110.5932288,2495502.9504
1983-03-23,,,,2691644.5891584,2404979.80416
1983-03-24,,,,2528580.5973504,2226380.0831999998
1983-03-25,,,,2574037.896192,2299777.2288
1983-03-26,,,,2625807.3495552,2495502.9504
1983-03-27,,,,2944840.2757632,2886954.3936
1983-03-28,,,,3636437.1130367997,3694322.9952
1983-03-29,,,,3908960.7146496,3865583.0016
1983-03-30,,,,7136135.3438208,6874865.9712
1983-03-31,,,,9283907.0840832,8832123.1872
1983-04-01,,,,7833701.815603199,7731166.0032
1983-04-02,,,,8323309.7081856,8367274.5984
1983-04-03,,,,7242047.4249216,7315248.8448
1983-04-04,,,,6423864.9772032,6189825.9456
1983-04-05,,,,5523967.0407168,5480320.2047999995
1983-04-06,,,,4771377.1754495995,4844211.6096
1983-04-07,,,,4106668.1591808,4428294.4512
1983-04-08,,,,3731021.568,4036843.008
1983-04-09,,,,3345099.3764351998,3620925.8496
1983-04-10,,,,3069272.9032704,3156077.2608
1983-04-11,,,,2671313.5798271997,2642297.2416
1983-04-12,,,,2404979.80416,2404979.80416
1983-04-13,,,,2240790.3894528,2226380.0831999998
1983-04-14,,,,2028648.1729535998,2057566.64832
1983-04-15,,,,1896459.913728,1925451.78624
1983-04-16,,,,1752112.194048,1781104.06656
1983-04-17,,,,1741958.92224,1741958.92224
1983-04-18,,,,1858660.383744,1800676.63872
1983-04-19,,,,2115354.6676224,2057566.64832
1983-04-20,,,,2469398.0322816,2324242.944
1983-04-21,,,,2685674.9546496,2642297.2416
1983-04-22,,,,3052929.8055168,3009282.9696
1983-04-23,,,,3111794.316288,3082680.1152
1983-04-24,,,,4036843.008,4036843.008
1983-04-25,,,,3626283.8412288,3669857.28
1983-04-26,,,,3097897.7900544,3156077.2608
1983-04-27,,,,2711241.6270336,2740160.1023999997
1983-04-28,,,,2417432.8531968,2431892.09088
1983-04-29,,,,2285244.5939712,2299777.2288
1983-04-30,,,,2231738.0748288003,2275311.5136
1983-05-01,,,,2846170.0463615996,2715694.3871999998
1983-05-02,,,,4442142.0460032,4354897.3056
1983-05-03,,,,4007802.2040576003,4036843.008
1983-05-04,,,,3630834.464256,3645391.5648
1983-05-05,,,,4222072.9377792,4134705.8688
1983-05-06,,,,5109371.0309376,5211197.3376
1983-05-07,,,,4627592.1672192,4917608.7552
1983-05-08,,,,4993256.7465984,5137800.192
1983-05-09,,,,5101126.0849152,4942074.4704
1983-05-10,,,,5267346.153983999,5064403.0464
1983-05-11,,,,5053564.734566401,4966540.1855999995
1983-05-12,,,,4352034.8169216,4526157.312
