date,inflow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),outflow(m3/d)
1982-01-01,406375.52947199997,,,,822048.03072
1982-01-02,358300.39910399995,,,,817154.88768
1982-01-03,506244.5789184,,,,826941.17376
1982-01-04,505021.2931584,,,,824494.60224
1982-01-05,374325.44256,,,,817154.88768
1982-01-06,334935.64108800003,,,,809815.1731199999
1982-01-07,288083.79648,,,,807368.6015999999
1982-01-08,275777.5417344,,,,802475.4585599999
1982-01-09,228950.1628416,,,,797582.31552
1982-01-10,182122.7839488,,,,792689.17248
1982-01-11,-82400.5287936,,,,413470.58688
1982-01-12,227800.2742272,,,,195725.7216
1982-01-13,180092.1295872,,,,146794.2912
1982-01-14,265404.0784896,,,,122328.576
1982-01-15,266651.8299648,,,,122328.576
1982-01-16,445471.74236160005,,,,124775.14752
1982-01-17,1768993.537536,,,,127221.71904
1982-01-18,1930834.243584,,,,242210.58048
1982-01-19,1423513.1731968,,,,435489.73056
1982-01-20,963998.1103103999,,,,513780.0192
1982-01-21,743219.4963455999,,,,511333.44768
1982-01-22,643277.0497536,,,,516226.59072
1982-01-23,1579286.3818752,,,,540692.30592
1982-01-24,3187589.1019776003,,,,557818.3065599999
1982-01-25,2372342.5400831997,,,,548032.02048
1982-01-26,1611336.4687872,,,,543138.87744
1982-01-27,1595311.4253311998,,,,689933.16864
1982-01-28,1197988.2104832001,,,,853853.46048
1982-01-29,1018997.03808,,,,870979.46112
1982-01-30,831540.7282176,,,,868532.8896
1982-01-31,700844.8776191999,,,,861193.17504
1982-02-01,660182.8589568,,,,856300.032
1982-02-02,534380.1513984,,,,853853.46048
1982-02-03,496164.704256,,,,851406.88896
1982-02-04,444395.2508928,,,,846513.74592
1982-02-05,117288.63866879999,,,,579837.45024
1982-02-06,292071.70805759996,,,,327840.58368
1982-02-07,310812.4459008,,,,298481.72544
1982-02-08,245978.3006208,,,,234870.86592
1982-02-09,285735.0878208,,,,200618.86463999999
1982-02-10,273404.36736,,,,200618.86463999999
1982-02-11,240082.06325759998,,,,203065.43615999998
1982-02-12,358496.1248256,,,,200618.86463999999
1982-02-13,349859.72736,,,,203065.43615999998
1982-02-14,1392123.6605952,,,,205512.00768
1982-02-15,1545034.3805952,,,,210405.15072
1982-02-16,2079096.477696,,,,215298.29376
1982-02-17,2020207.5012096001,,,,322947.44064
1982-02-18,1453141.154304,,,,430596.58752
1982-02-19,2004084.5948927999,,,,481974.58944
1982-02-20,2964681.9707903997,,,,812261.7446399999
1982-02-21,3157006.9579776004,,,,973735.46496
1982-02-22,1915127.2544256,,,,944376.60672
1982-02-23,1706948.4837888002,,,,1206159.75936
1982-02-24,1552007.1094272,,,,1741958.92224
1982-02-25,1100149.8153984,,,,1937684.64384
