date,avg discharge (cfs),outflow(m3/d)
2012-02-29 00:00:00+00:00,-126.0,-308268.01152
2012-03-01 00:00:00+00:00,-160.0,-391451.4432
2012-03-02 00:00:00+00:00,-171.0,-418363.72992
2012-03-03 00:00:00+00:00,-162.0,-396344.58624000003
2012-03-04 00:00:00+00:00,-131.0,-320500.86912
2012-03-05 00:00:00+00:00,-121.0,-296035.15392
2012-03-06 00:00:00+00:00,-114.0,-278909.15327999997
2012-03-07 00:00:00+00:00,-106.0,-259336.58112000002
2012-03-08 00:00:00+00:00,-87.8,-214808.97945599997
2012-03-09 00:00:00+00:00,-59.8,-146304.97689599998
2012-03-10 00:00:00+00:00,-70.0,-171260.00639999998
2012-03-11 00:00:00+00:00,-85.7,-209671.17926399998
2012-03-12 00:00:00+00:00,-41.7,-102022.032384
2012-03-13 00:00:00+00:00,-41.0,-100309.43231999999
2012-03-14 00:00:00+00:00,0.28,685.0400256
2012-03-15 00:00:00+00:00,-2.42,-5920.703078399999
2012-03-16 00:00:00+00:00,-128.0,-313161.15456
2012-03-17 00:00:00+00:00,-646.0,-1580485.20192
2012-03-18 00:00:00+00:00,-411.0,-1005540.89472
2012-03-19 00:00:00+00:00,-169.0,-413470.58687999996
2012-03-20 00:00:00+00:00,-83.1,-203310.093312
2012-03-21 00:00:00+00:00,-102.0,-249550.29504
2012-03-22 00:00:00+00:00,-319.0,-780456.3148800001
2012-03-23 00:00:00+00:00,-156.0,-381665.15712000005
2012-03-24 00:00:00+00:00,-137.0,-335180.29824
2012-03-25 00:00:00+00:00,-119.0,-291142.01088
2012-03-26 00:00:00+00:00,-109.0,-266676.29568
2012-03-27 00:00:00+00:00,-88.1,-215542.950912
2012-03-28 00:00:00+00:00,-107.0,-261783.15264
2012-03-29 00:00:00+00:00,-79.2,-193768.46438400002
2012-03-30 00:00:00+00:00,-96.6,-236338.80883199998
2012-03-31 00:00:00+00:00,-136.0,-332733.72672
2012-04-01 00:00:00+00:00,-121.0,-296035.15392
2012-04-02 00:00:00+00:00,-87.9,-215053.636608
