date,outflow(m3/d),inflow(m3/d),spill(m3/d),wse(m)
1999-01-01,4917608.755199999,1981722.9312,0.0,1073.56656
1999-01-02,5064403.046399999,1125422.8992,0.0,1073.523888
1999-01-03,5406923.059199999,1981722.9312,0.0,1073.47512
1999-01-04,5504785.92,856300.0319999999,0.0,1073.426352
1999-01-05,5284594.483200001,2862488.6783999996,0.0,1073.38368
1999-01-06,5309060.198399999,660574.3104000001,0.0,1073.331864
1999-01-07,5455854.4896,2275311.5136,0.0,1073.295288
1999-01-08,5480320.2048,2299777.2287999997,0.0,1073.252616
1999-01-09,5504785.92,1370080.0512,0.0,1073.2068960000001
1999-01-10,5455854.4896,3743254.4256,0.0,1073.167272
1999-01-11,8954451.7632,4085774.4384,0.0,1073.136792
1999-01-12,9566094.6432,3743254.4256,0.0,1073.06364
1999-01-13,9541628.928,2495502.9504,0.0,1072.981344
1999-01-14,9492697.4976,3180542.976,0.0,1072.902096
1999-01-15,9492697.4976,3205008.6912,0.0,1072.822848
1999-01-16,5529251.6351999985,2617831.5264000003,0.0,1072.764936
1999-01-17,5406923.059199999,3474131.5583999995,0.0,1072.734456
1999-01-18,9394834.6368,3327337.2672,0.0,1072.688736
1999-01-19,9394834.6368,3107145.8304,0.0,1072.609488
1999-01-20,9296971.775999999,3253940.1216,0.0,1072.527192
1999-01-21,8954451.7632,1737065.7791999998,0.0,1072.4388000000001
1999-01-22,9761820.3648,2544434.3808,0.0,1072.359552
1999-01-23,18740737.843200002,2422105.8048,0.0,1072.198008
1999-01-24,18936463.5648,1932791.5008,0.0,1071.975504
1999-01-25,18911997.849600002,1272217.1904,0.0,1071.7560480000002
1999-01-26,10251134.668800002,1003094.3231999999,0.0,1071.5914559999999
1999-01-27,9345903.2064,3156077.2608,0.0,1071.496968
1999-01-28,9663957.504,2299777.2287999997,0.0,1071.405528
1999-01-29,9492697.4976,978628.608,0.0,1071.3049440000002
1999-01-30,5064403.046399999,1761531.4944,0.0,1071.231792
1999-01-31,5333525.913600001,856300.0319999999,0.0,1071.1799760000001
1999-02-01,9615026.0736,3229474.4064,0.0,1071.11292
1999-02-02,9908614.656,2617831.5264000003,0.0,1071.018432
1999-02-03,9688423.2192,513780.0192,0.0,1070.9148
1999-02-04,9492697.4976,1492408.6271999998,0.0,1070.811168
1999-02-05,12477514.751999998,1957257.216,0.0,1070.698392
1999-02-06,5357991.628799999,2079585.792,0.0,1070.597808
1999-02-07,5309060.198399999,2275311.5136,0.0,1070.558184
1999-02-08,9223574.6304,1737065.7791999998,0.0,1070.48808
1999-02-09,13284883.353600001,1198820.0448,0.0,1070.363112
1999-02-10,9663957.504,1981722.9312,0.0,1070.232048
1999-02-11,9688423.2192,1345614.3360000001,0.0,1070.125368
1999-02-12,9688423.2192,1100957.1840000001,0.0,1070.01564
1999-02-13,5773908.787199999,1370080.0512,0.0,1069.9242000000002
1999-02-14,5724977.356799999,1100957.1840000001,0.0,1069.8693360000002
1999-02-15,9663957.504,1834928.64,0.0,1069.790088
1999-02-16,9615026.0736,1565805.7728,0.0,1069.683408
1999-02-17,9712888.9344,1443477.1967999998,0.0,1069.579776
1999-02-18,11131900.416000001,2201914.3680000002,0.0,1069.467
1999-02-19,7780097.4336,464848.58879999997,0.0,1069.3542240000002
1999-02-20,5724977.356799999,1370080.0512,0.0,1069.26888
1999-02-21,5994100.224,1443477.1967999998,0.0,1069.204872
1999-02-22,9810751.7952,1859394.3551999999,0.0,1069.128672
1999-02-23,9737354.6496,1541340.0576,0.0,1069.015896
1999-02-24,9688423.2192,3131611.5456,0.0,1068.924456
1999-02-25,9810751.7952,2104051.5072,0.0,1068.823872
1999-02-26,10055408.9472,1908325.7856,0.0,1068.72024
1999-02-27,11523351.8592,2519968.6656,0.0,1068.592224
1999-02-28,11474420.4288,4281500.159999999,0.0,1068.4916400000002
1999-03-01,18080163.532799996,3058214.4,0.0,1068.33924
1999-03-02,19841695.027199995,880765.7472,0.0,1068.104544
1999-03-03,20233146.470399998,3376268.6975999996,0.0,1067.863752
1999-03-04,20208680.7552,2348708.6592,0.0,1067.616864
1999-03-05,19841695.027199995,1639202.9184,0.0,1067.369976
1999-03-06,11792474.726400001,2152982.9376,0.0,1067.177952
1999-03-07,11792474.726400001,1785997.2096,0.0,1067.0377440000002
1999-03-08,18251423.5392,1981722.9312,0.0,1066.864008
1999-03-09,20110817.8944,1565805.7728,0.0,1066.607976
1999-03-10,20159749.3248,1957257.216,0.0,1066.351944
1999-03-11,20110817.8944,2055120.0768,0.0,1066.0867680000001
1999-03-12,19230052.1472,1516874.3424,0.0,1065.8307360000001
1999-03-13,12012666.163200002,2128517.2224,0.0,1065.635664
1999-03-14,11939269.017599998,1712600.0639999998,0.0,1065.48936
1999-03-15,17664246.3744,2886954.3935999996,0.0,1065.312576
1999-03-16,19694900.736,2960351.5391999995,0.0,1065.071784
1999-03-17,19792763.5968,3376268.6975999996,0.0,1064.8188
1999-03-18,19841695.027199995,2299777.2287999997,0.0,1064.562768
1999-03-19,19474709.2992,2691228.6720000003,0.0,1064.312832
1999-03-20,12917897.6256,3645391.5648,0.0,1064.11776
1999-03-21,12868966.195199998,4648485.887999999,0.0,1063.986696
1999-03-22,17737643.520000003,5920703.078399999,0.0,1063.84344
1999-03-23,19401312.1536,6263223.0912,0.0,1063.642272
1999-03-24,19376846.4384,7070591.6928,0.0,1063.4472
1999-03-25,19376846.4384,8098151.7312,0.0,1063.267368
1999-03-26,18765203.5584,11449954.713599999,0.0,1063.121064
1999-03-27,12281789.030399999,9321437.4912,0.0,1063.05096
1999-03-28,12257323.3152,8709794.6112,0.0,1063.0021920000002
1999-03-29,17835506.3808,8978917.478400001,0.0,1062.904656
1999-03-30,19743832.1664,5431388.7744,0.0,1062.712632
1999-03-31,19352380.7232,6434483.097599999,0.0,1062.511464
1999-04-01,19670435.020799994,5406923.059199999,0.0,1062.295056
1999-04-02,19132189.2864,4721883.0336,0.0,1062.069504
