date,chum,sockeye,steelhead,lamprey,avg_temp(C),pink,chinook,shad,coho
1962-04-01,,,129.0,1.0,,,,,
1962-04-02,,,172.0,,,,,,
1962-04-03,,,478.0,,,,,,
1962-04-04,,,693.0,,,,,,
1962-04-05,,,964.0,,,,9.0,,
1962-04-06,,,632.0,,,,,,
1962-04-07,,,750.0,1.0,,,5.0,,
1962-04-08,,,430.0,,,,12.0,,
1962-04-09,,,101.0,,,,5.0,,
1962-04-10,,,38.0,,,,,,
1962-04-11,,,74.0,,,,,,
1962-04-12,,,147.0,,,,2.0,,
1962-04-13,,,264.0,,,,1.0,,
1962-04-14,,,202.0,,,,5.0,,
1962-04-15,,,291.0,,,,6.0,,
1962-04-16,,,601.0,1.0,,,40.0,,
1962-04-17,,,923.0,7.0,,,40.0,,
1962-04-18,,,214.0,2.0,,,34.0,,
1962-04-19,,,87.0,,,,20.0,,
1962-04-20,,,130.0,,,,46.0,,
1962-04-21,,,271.0,1.0,,,119.0,,
1962-04-22,,,242.0,,,,83.0,,
1962-04-23,,,143.0,3.0,,,68.0,,
1962-04-24,,,120.0,2.0,,,34.0,,
1962-04-25,,,235.0,,,,235.0,,
1962-04-26,,,121.0,,,,322.0,,
1962-04-27,,,156.0,,,,494.0,,
1962-04-28,,,89.0,,,,272.0,,
1962-04-29,,,50.0,,,,481.0,,
1962-04-30,,,11.0,,,,246.0,,
1962-05-01,,,43.0,,,,739.0,,
1962-05-02,,,43.0,,,,1393.0,,
1962-05-03,,,18.0,,,,1075.0,,
1962-05-04,,,59.0,,,,2280.0,,
1962-05-05,,,129.0,1.0,,,1372.0,,
1962-05-06,,,87.0,1.0,,,1451.0,,
1962-05-07,,,38.0,,,,1885.0,,
1962-05-08,,,11.0,1.0,,,797.0,,
1962-05-09,,,2.0,,,,739.0,,
1962-05-10,,,13.0,,11.1,,1999.0,,
1962-05-11,,,14.0,,11.7,,149.0,,
1962-05-12,,,32.0,4.0,11.7,,1156.0,,
1962-05-13,,,24.0,,12.2,,1344.0,,
1962-05-14,,,10.0,,12.2,,1162.0,,
1962-05-15,,,13.0,,12.2,,1750.0,,
1962-05-16,,,9.0,,12.2,,589.0,,
1962-05-17,,,12.0,,12.2,,2425.0,,
1962-05-18,,,8.0,,12.2,,298.0,,
1962-05-19,,,18.0,,12.2,,2181.0,,
1962-05-20,,,20.0,,12.2,,1096.0,,
1962-05-21,,,14.0,,12.2,,215.0,,
1962-05-22,,,7.0,,12.2,,126.0,,
1962-05-23,,,2.0,,12.2,,198.0,,
1962-05-24,,,8.0,,12.2,,322.0,,
1962-05-25,,,5.0,,12.2,,682.0,,
1962-05-26,,,4.0,,12.2,,335.0,,
1962-05-27,,,6.0,,12.2,,270.0,,
1962-05-28,,,13.0,4.0,12.2,,316.0,,
1962-05-29,,,36.0,10.0,12.8,,140.0,,
1962-05-30,,,13.0,20.0,12.8,,97.0,,
1962-05-31,,,5.0,,12.8,,370.0,,
1962-06-01,,,7.0,,12.8,,347.0,,
1962-06-02,,,,,12.8,,167.0,,
1962-06-03,,,,,12.8,,276.0,,
1962-06-04,,,1.0,,12.8,,211.0,,
1962-06-05,,,2.0,,12.8,,144.0,,
1962-06-06,,,3.0,,12.8,,125.0,,
1962-06-07,,,,,12.8,,112.0,,
1962-06-08,,,,,12.8,,141.0,,
1962-06-09,,1.0,,,13.3,,80.0,,
1962-06-10,,,,,13.3,,266.0,,
1962-06-11,,,,12.0,13.9,,214.0,,
1962-06-12,,,,18.0,14.4,,87.0,,
1962-06-13,,,1.0,2.0,15.0,,138.0,,
1962-06-14,,,,,15.6,,150.0,,
1962-06-15,,,1.0,1.0,15.6,,183.0,,
1962-06-16,,,,1.0,15.6,,231.0,,
1962-06-17,,1.0,6.0,,15.6,,396.0,,
1962-06-18,,4.0,11.0,2.0,15.6,,555.0,,
1962-06-19,,1.0,30.0,7.0,15.6,,797.0,,
1962-06-20,,,11.0,11.0,15.6,,930.0,,
1962-06-21,,1.0,11.0,25.0,16.1,,1128.0,,
1962-06-22,,,21.0,21.0,16.1,,1573.0,,
1962-06-23,,,20.0,11.0,16.7,,1699.0,,
1962-06-24,,,40.0,36.0,16.7,,1890.0,,
1962-06-25,,,7.0,3.0,16.7,,1646.0,,
1962-06-26,,2.0,32.0,12.0,17.2,,2467.0,,
1962-06-27,,4.0,14.0,14.0,17.8,,2113.0,,
1962-06-28,,2.0,25.0,31.0,17.8,,2509.0,,
1962-06-29,,,17.0,6.0,18.3,,1496.0,,
1962-06-30,,1.0,1.0,9.0,18.9,,1179.0,,
1962-07-01,,5.0,7.0,5.0,18.9,,813.0,,
1962-07-02,,2.0,7.0,18.0,18.9,,1048.0,,
1962-07-03,,2.0,26.0,,18.9,,536.0,,
1962-07-04,,,27.0,1.0,18.9,,801.0,,
1962-07-05,,,18.0,2.0,18.9,,400.0,,
1962-07-06,,2.0,22.0,18.0,18.9,,443.0,,
1962-07-07,,2.0,10.0,24.0,18.9,,349.0,,
1962-07-08,,4.0,16.0,26.0,19.4,,379.0,,
1962-07-09,,2.0,22.0,5.0,19.4,,471.0,,
1962-07-10,,,7.0,7.0,19.4,,259.0,,
1962-07-11,,2.0,22.0,5.0,19.4,,236.0,2.0,
1962-07-12,,,37.0,1.0,19.4,,465.0,4.0,
1962-07-13,,,47.0,21.0,19.4,,271.0,6.0,
1962-07-14,,,67.0,3.0,20.0,,215.0,4.0,
1962-07-15,,,39.0,10.0,20.0,,218.0,2.0,
1962-07-16,,,47.0,14.0,20.6,,184.0,5.0,
1962-07-17,,,55.0,13.0,20.6,,197.0,2.0,
1962-07-18,,,77.0,22.0,20.6,,184.0,13.0,
1962-07-19,,,96.0,19.0,21.1,,112.0,8.0,
1962-07-20,,,100.0,24.0,21.1,,142.0,8.0,
1962-07-21,,,124.0,38.0,21.1,,117.0,4.0,
1962-07-22,,,92.0,102.0,21.1,,64.0,2.0,
1962-07-23,,,88.0,126.0,21.1,,32.0,5.0,
1962-07-24,,,166.0,122.0,21.1,,83.0,,
1962-07-25,,,281.0,1011.0,22.2,,55.0,4.0,
1962-07-26,,,130.0,1054.0,22.2,,92.0,11.0,
1962-07-27,,,188.0,1175.0,23.9,,51.0,2.0,
