units,learning_rate,activation,batch_size,Score
32,0.0001,relu,32,8.364413261413574
24,0.0001,linear,32,8.508444786071777
32,1e-05,relu,32,8.565081596374512
24,1e-05,linear,32,8.76679515838623
48,0.0001,linear,8,8.78210163116455
48,1e-05,linear,16,8.785177230834961
16,0.0001,relu,32,8.824369430541992
8,0.0001,linear,8,8.836739540100098
24,0.0001,relu,64,8.864513397216797
40,1e-05,linear,64,8.877493858337402
40,1e-05,relu,64,8.896635055541992
40,0.001,linear,32,8.9286527633667
8,0.001,relu,8,8.940004348754883
32,1e-05,linear,8,8.94553279876709
24,0.0001,linear,8,8.967123031616211
16,0.001,linear,64,8.976040840148926
40,0.0001,relu,8,8.980168342590332
48,0.001,linear,8,8.991533279418945
16,0.0001,relu,64,8.991645812988281
32,0.001,linear,32,8.997401237487793
16,1e-05,relu,64,8.997461318969727
16,0.0001,linear,64,8.998441696166992
40,0.0001,relu,16,9.008305549621582
24,0.001,linear,16,9.01206111907959
24,0.001,linear,64,9.014054298400879
16,1e-05,linear,8,9.030256271362305
48,0.001,relu,16,9.037308692932129
8,0.0001,relu,64,9.058629989624023
64,0.001,relu,8,9.058780670166016
48,0.001,relu,64,9.066095352172852
16,1e-05,linear,64,9.071266174316406
40,0.01,linear,16,9.072041511535645
48,1e-05,linear,64,9.084171295166016
48,1e-05,linear,8,9.097576141357422
40,0.001,linear,64,9.098406791687012
24,1e-05,relu,64,9.099037170410156
32,0.0001,linear,16,9.109256744384766
56,0.01,relu,8,9.109518051147461
24,0.0001,relu,32,9.112295150756836
8,1e-05,relu,8,9.112430572509766
16,0.01,linear,8,9.123150825500488
16,1e-05,linear,16,9.127364158630371
64,0.001,linear,16,9.158246040344238
32,0.0001,linear,8,9.166316032409668
56,0.01,relu,32,9.175397872924805
40,1e-05,relu,8,9.178210258483887
24,1e-05,relu,8,9.17965316772461
48,1e-05,relu,64,9.181678771972656
40,1e-05,linear,8,9.187238693237305
16,0.001,relu,32,9.189537048339844
8,0.0001,linear,64,9.192342758178711
8,0.01,relu,8,9.194417953491211
8,1e-05,relu,16,9.19784164428711
40,0.0001,linear,32,9.199082374572754
64,0.0001,relu,16,9.202469825744629
24,0.0001,linear,16,9.218742370605469
48,0.0001,relu,32,9.226996421813965
56,0.0001,linear,16,9.230111122131348
40,0.0001,relu,64,9.244915008544922
48,1e-05,relu,32,9.246993064880371
56,1e-05,relu,64,9.254290580749512
56,0.001,linear,64,9.25722599029541
56,1e-05,linear,32,9.261404991149902
8,1e-05,linear,8,9.266124725341797
40,0.01,linear,8,9.271336555480957
8,0.01,linear,8,9.271671295166016
16,1e-05,relu,16,9.27204704284668
64,1e-05,linear,32,9.273346900939941
56,0.0001,relu,64,9.278030395507812
24,0.0001,relu,16,9.28515338897705
16,0.001,relu,8,9.28579044342041
16,1e-05,relu,32,9.28762149810791
64,0.0001,relu,32,9.289345741271973
48,0.0001,linear,64,9.29503059387207
