units,learning_rate,activation,batch_size,Score
64,0.01,relu,8,8.085600852966309
16,0.01,relu,8,8.618338584899902
8,0.01,relu,8,8.694538116455078
16,0.0001,relu,32,8.79232120513916
48,1e-05,relu,16,9.510013580322266
64,1e-05,linear,64,9.622403144836426
40,0.0001,relu,32,9.63453483581543
8,0.0001,relu,16,9.674150466918945
40,1e-05,linear,32,9.70761775970459
56,0.0001,relu,16,9.80208683013916
40,1e-05,relu,16,9.844552993774414
56,0.01,relu,32,9.94055461883545
24,0.01,relu,32,10.04256820678711
48,0.01,relu,16,10.092931747436523
8,0.001,relu,64,10.194012641906738
32,1e-05,linear,16,10.247257232666016
40,0.001,relu,32,10.331941604614258
56,1e-05,linear,16,10.46104621887207
56,1e-05,linear,32,10.52502727508545
48,1e-05,linear,64,10.553004264831543
24,0.001,relu,16,10.720588684082031
8,1e-05,linear,16,10.740517616271973
56,0.01,relu,8,10.790501594543457
16,0.01,relu,16,10.876628875732422
56,0.001,relu,64,10.878026008605957
16,1e-05,linear,64,10.959345817565918
24,0.0001,relu,64,10.963418006896973
32,0.01,relu,64,10.989410400390625
64,0.01,relu,32,10.99099349975586
56,1e-05,linear,64,11.007832527160645
16,0.0001,relu,8,11.015609741210938
16,0.0001,linear,64,11.034012794494629
40,0.0001,relu,16,11.086398124694824
8,1e-05,relu,16,11.088414192199707
48,1e-05,linear,8,11.118416786193848
40,0.0001,linear,32,11.139405250549316
8,1e-05,linear,8,11.162081718444824
64,0.01,relu,16,11.175421714782715
56,0.01,linear,8,11.239922523498535
56,0.0001,relu,64,11.245850563049316
40,0.01,relu,8,11.39894962310791
24,1e-05,relu,32,11.446499824523926
8,0.001,relu,32,11.45875358581543
32,0.001,relu,8,11.478774070739746
32,1e-05,linear,64,11.480388641357422
16,1e-05,relu,64,11.491065979003906
48,0.001,relu,16,11.518816947937012
8,1e-05,linear,64,11.537508964538574
48,1e-05,linear,16,11.542152404785156
40,0.01,linear,16,11.551885604858398
16,0.001,relu,64,11.572915077209473
56,1e-05,relu,32,11.618711471557617
32,1e-05,relu,8,11.627128601074219
56,1e-05,linear,8,11.646258354187012
16,1e-05,linear,32,11.663382530212402
40,1e-05,linear,64,11.664645195007324
16,0.01,linear,16,11.688464164733887
32,0.0001,relu,8,11.68986988067627
64,0.0001,relu,32,11.70067024230957
64,1e-05,linear,32,11.713685989379883
40,0.01,linear,64,11.716775894165039
32,1e-05,linear,32,11.738213539123535
8,0.01,relu,16,11.747733116149902
24,0.0001,relu,32,11.754194259643555
24,0.0001,relu,16,11.783811569213867
64,0.01,linear,16,11.7877197265625
32,0.001,relu,64,11.797710418701172
24,1e-05,relu,16,11.806206703186035
16,0.0001,linear,32,11.84582233428955
16,1e-05,linear,16,11.852987289428711
16,1e-05,linear,8,11.85531997680664
32,1e-05,relu,32,11.86489200592041
64,1e-05,relu,8,11.884461402893066
64,1e-05,linear,8,11.922883987426758
32,0.01,relu,16,11.940439224243164
32,0.001,relu,32,11.952292442321777
32,0.01,linear,32,11.966532707214355
16,0.01,linear,8,11.972033500671387
8,0.01,linear,32,11.981764793395996
64,0.0001,relu,8,11.988598823547363
48,0.01,linear,64,12.013148307800293
56,0.01,relu,16,12.02367877960205
8,0.001,linear,16,12.028477668762207
56,0.001,linear,16,12.03235912322998
48,1e-05,relu,8,12.032522201538086
16,1e-05,relu,32,12.049267768859863
48,0.001,linear,16,12.069436073303223
16,0.01,linear,32,12.07030963897705
8,0.0001,linear,32,12.090717315673828
56,1e-05,relu,8,12.100939750671387
56,1e-05,relu,16,12.106287002563477
24,0.001,relu,64,12.106926918029785
24,1e-05,relu,8,12.108717918395996
40,1e-05,relu,8,12.113173484802246
24,0.01,linear,16,12.119561195373535
64,0.001,linear,32,12.162274360656738
56,0.001,relu,16,12.168980598449707
8,0.001,linear,8,12.169075965881348
32,0.0001,relu,64,12.177456855773926
24,0.0001,relu,8,12.180852890014648
8,0.0001,relu,32,12.180895805358887
48,0.001,relu,64,12.213239669799805
48,0.01,relu,8,12.261935234069824
8,0.001,linear,32,12.262528419494629
32,0.0001,relu,32,12.275883674621582
64,0.001,linear,8,12.29081916809082
8,0.01,linear,16,12.29212474822998
32,0.0001,relu,16,12.313942909240723
32,0.01,linear,64,12.317821502685547
64,0.0001,relu,16,12.328104972839355
40,0.01,relu,32,12.362131118774414
48,0.0001,relu,32,12.37110710144043
64,0.001,relu,32,12.388154983520508
24,0.001,linear,16,12.478620529174805
40,0.001,linear,64,12.501497268676758
32,0.001,linear,16,12.514374732971191
16,0.001,relu,32,12.514566421508789
56,0.001,linear,64,12.529192924499512
24,0.001,linear,32,12.530681610107422
24,1e-05,linear,32,12.540461540222168
40,1e-05,relu,32,12.541956901550293
48,0.001,linear,8,12.549927711486816
40,1e-05,linear,16,12.568388938903809
56,0.0001,relu,32,12.580230712890625
48,0.001,relu,32,12.594614028930664
64,0.01,linear,8,12.605892181396484
56,0.001,linear,32,12.616049766540527
48,1e-05,linear,32,12.649831771850586
64,1e-05,relu,64,12.651599884033203
32,0.01,linear,8,12.653505325317383
40,0.01,linear,32,12.669071197509766
8,1e-05,linear,32,12.689810752868652
16,1e-05,relu,16,12.69933795928955
8,1e-05,relu,32,12.707088470458984
64,0.0001,linear,32,12.712775230407715
64,0.0001,relu,64,12.713671684265137
24,1e-05,linear,8,12.734537124633789
48,0.01,linear,16,12.747360229492188
40,0.001,linear,32,12.749251365661621
8,0.0001,linear,16,12.750967979431152
40,0.001,relu,16,12.781220436096191
24,0.01,linear,32,12.794722557067871
32,0.0001,linear,8,12.808359146118164
24,0.01,linear,8,12.812832832336426
16,1e-05,relu,8,12.815926551818848
56,0.01,linear,16,12.81859302520752
56,0.0001,relu,8,12.821667671203613
8,0.01,linear,64,12.834002494812012
16,0.01,relu,32,12.864209175109863
64,1e-05,linear,16,12.902552604675293
32,0.0001,linear,16,12.906761169433594
16,0.0001,linear,8,12.908605575561523
8,0.0001,linear,8,12.912725448608398
64,0.001,relu,64,12.922271728515625
56,1e-05,relu,64,12.94420337677002
24,0.001,linear,8,12.946866035461426
40,0.01,relu,64,12.979899406433105
48,0.001,linear,32,12.985827445983887
16,0.001,linear,16,13.005990982055664
24,0.01,linear,64,13.008584976196289
8,0.01,relu,64,13.017311096191406
64,0.001,linear,64,13.039572715759277
64,0.001,linear,16,13.044068336486816
32,0.0001,linear,64,13.049017906188965
48,0.001,linear,64,13.055522918701172
16,0.0001,relu,16,13.075007438659668
48,0.0001,relu,16,13.078322410583496
16,0.001,linear,32,13.082688331604004
16,0.0001,linear,16,13.08975601196289
48,0.01,linear,32,13.091140747070312
64,0.01,linear,64,13.092913627624512
48,1e-05,relu,32,13.116226196289062
8,0.001,relu,16,13.123250007629395
56,0.001,linear,8,13.14699935913086
8,0.001,linear,64,13.147082328796387
32,0.001,linear,8,13.154963493347168
40,0.001,linear,8,13.159398078918457
16,0.001,relu,16,13.170615196228027
8,0.0001,relu,8,13.174617767333984
32,0.01,linear,16,13.19460391998291
16,0.001,linear,8,13.2020902633667
24,0.0001,linear,8,13.206221580505371
32,0.001,linear,64,13.219048500061035
64,0.0001,linear,8,13.223315238952637
56,0.01,linear,32,13.224387168884277
32,1e-05,relu,16,13.229887008666992
24,0.001,linear,64,13.239790916442871
40,0.0001,relu,64,13.259772300720215
40,0.0001,relu,8,13.299101829528809
56,0.01,relu,64,13.299881935119629
48,0.0001,linear,32,13.31265640258789
32,0.001,relu,16,13.332833290100098
64,0.01,linear,32,13.33448600769043
64,0.0001,linear,16,13.359066009521484
56,0.0001,linear,16,13.362749099731445
40,0.0001,linear,16,13.39837646484375
24,0.0001,linear,16,13.414548873901367
56,0.01,linear,64,13.446450233459473
32,0.001,linear,32,13.449624061584473
16,0.001,linear,64,13.466383934020996
64,0.0001,linear,64,13.474132537841797
24,1e-05,linear,64,13.500654220581055
24,0.0001,linear,64,13.504546165466309
40,0.001,linear,16,13.515639305114746
56,0.0001,linear,8,13.521072387695312
24,0.001,relu,8,13.652997016906738
16,0.01,linear,64,13.674952507019043
32,1e-05,linear,8,13.675615310668945
48,0.0001,linear,8,13.728556632995605
48,0.0001,linear,16,13.732421875
40,0.0001,linear,8,13.73287296295166
40,1e-05,linear,8,13.742948532104492
8,0.01,linear,8,13.755685806274414
48,0.0001,relu,8,13.761096000671387
64,1e-05,relu,16,13.762616157531738
24,0.01,relu,8,13.789483070373535
48,0.01,linear,8,13.851202964782715
56,0.0001,linear,64,13.901369094848633
24,0.0001,linear,32,14.038348197937012
32,0.0001,linear,32,14.065160751342773
16,0.01,relu,64,14.083148956298828
16,0.0001,relu,64,14.168222427368164
48,0.01,relu,32,14.275252342224121
8,0.001,relu,8,14.294474601745605
40,0.01,relu,16,14.35806941986084
48,0.0001,relu,64,14.577564239501953
40,0.01,linear,8,14.671745300292969
32,1e-05,relu,64,14.702279090881348
8,0.0001,linear,64,14.711652755737305
24,1e-05,linear,16,14.777621269226074
32,0.01,relu,32,14.872769355773926
64,1e-05,relu,32,14.898956298828125
56,0.0001,linear,32,14.900282859802246
24,0.01,relu,64,14.953827857971191
16,0.001,relu,8,15.256491661071777
40,0.001,relu,64,15.472533226013184
40,0.001,relu,8,15.557902336120605
56,0.001,relu,8,15.814029693603516
56,0.001,relu,32,16.032825469970703
48,0.0001,linear,64,16.082799911499023
24,1e-05,relu,64,16.23160171508789
8,0.01,relu,32,16.54412841796875
40,1e-05,relu,64,16.93828582763672
8,0.0001,relu,64,17.006908416748047
8,1e-05,relu,8,17.241806030273438
24,0.01,relu,16,17.70356559753418
64,0.01,relu,64,17.916593551635742
8,1e-05,relu,64,18.177898406982422
64,0.001,relu,8,18.22325897216797
64,0.001,relu,16,18.404088973999023
40,0.0001,linear,64,18.939842224121094
32,0.01,relu,8,19.113298416137695
48,1e-05,relu,64,19.190288543701172
48,0.01,relu,64,19.20451545715332
24,0.001,relu,32,21.22382164001465
48,0.001,relu,8,26.632600784301758
