units,learning_rate,activation,batch_size,Score
24,0.01,relu,16,3.0424599647521973
16,0.01,relu,8,3.068235158920288
48,0.01,relu,8,3.2318115234375
16,0.01,relu,64,3.2620718479156494
56,0.001,relu,8,3.2739291191101074
32,0.01,relu,64,3.3328616619110107
64,0.01,relu,32,3.379009246826172
64,0.001,relu,8,3.483020305633545
48,0.01,relu,64,3.488258123397827
48,0.001,relu,64,3.55259370803833
8,0.01,relu,64,3.5872161388397217
56,0.01,relu,8,3.5999834537506104
24,0.01,relu,32,3.613060474395752
40,0.001,relu,16,3.6247503757476807
8,0.001,relu,16,3.695620536804199
40,0.0001,relu,16,3.727794885635376
48,0.001,relu,16,3.7335658073425293
64,0.001,relu,64,3.791710376739502
8,0.01,relu,16,3.815462112426758
56,0.01,relu,16,3.832688808441162
8,0.01,relu,32,3.835461139678955
56,0.01,relu,64,3.8718080520629883
24,0.01,relu,8,3.879211187362671
56,0.001,relu,16,3.894615650177002
64,0.01,relu,8,3.894775152206421
56,0.001,relu,64,3.904412031173706
32,0.001,relu,8,3.9053332805633545
48,0.01,relu,32,3.921672821044922
64,0.001,relu,16,3.9324140548706055
8,0.001,relu,32,3.9927172660827637
32,0.01,relu,16,4.006382942199707
64,0.01,relu,64,4.006570339202881
8,0.01,relu,8,4.00985050201416
8,0.001,relu,8,4.019746780395508
40,0.01,relu,64,4.0505170822143555
16,0.01,relu,32,4.056161403656006
24,0.01,relu,64,4.066771507263184
40,0.001,relu,64,4.152466773986816
16,0.001,relu,16,4.166970729827881
32,0.01,relu,8,4.193897724151611
64,0.0001,relu,8,4.221057891845703
40,0.001,relu,32,4.2264323234558105
56,0.001,relu,32,4.265193939208984
64,0.01,relu,16,4.296860218048096
16,1e-05,relu,16,4.321287631988525
16,0.001,relu,8,4.338609218597412
16,0.001,relu,32,4.365802764892578
56,0.01,relu,32,4.44787073135376
48,0.0001,relu,16,4.507847785949707
40,0.001,relu,8,4.549619197845459
64,0.0001,relu,32,4.5500335693359375
40,0.01,relu,16,4.60619592666626
64,1e-05,relu,32,4.620484828948975
32,0.001,relu,64,4.638158321380615
48,0.01,relu,16,4.642498970031738
