units,learning_rate,activation,batch_size,Score
56,0.01,linear,8,10.415464401245117
64,0.0001,relu,8,10.524232864379883
8,0.01,relu,64,10.529391288757324
32,0.001,linear,8,10.530826568603516
48,0.0001,relu,16,10.531323432922363
8,0.001,relu,8,10.582101821899414
32,1e-05,relu,8,10.602178573608398
24,0.0001,linear,8,10.607089042663574
64,0.0001,relu,32,10.635005950927734
56,0.0001,relu,16,10.64278507232666
24,0.001,relu,64,10.649603843688965
56,0.0001,relu,8,10.654871940612793
16,0.001,linear,16,10.669181823730469
64,0.0001,relu,16,10.67160415649414
64,1e-05,linear,8,10.725743293762207
8,0.001,linear,64,10.734736442565918
16,0.01,relu,8,10.750153541564941
40,0.0001,linear,8,10.791441917419434
16,0.0001,relu,16,10.79228687286377
32,0.001,relu,16,10.814679145812988
16,1e-05,relu,8,10.81868839263916
48,0.001,relu,32,10.819657325744629
16,1e-05,linear,32,10.828189849853516
40,0.01,linear,8,10.830368041992188
40,0.01,relu,16,10.836187362670898
56,1e-05,relu,16,10.84933853149414
64,0.01,linear,8,10.853809356689453
64,0.01,linear,32,10.870565414428711
8,0.0001,linear,16,10.879570960998535
16,0.0001,relu,32,10.890344619750977
64,0.0001,relu,64,10.899142265319824
8,0.001,relu,32,10.909366607666016
16,0.001,relu,8,10.91151237487793
56,0.0001,linear,8,10.913650512695312
56,0.001,linear,8,10.914031028747559
8,0.001,linear,16,10.924043655395508
40,0.0001,linear,16,10.935827255249023
64,0.01,relu,16,10.982431411743164
16,0.0001,linear,64,10.983955383300781
40,0.001,linear,32,10.984545707702637
56,0.0001,relu,32,10.987517356872559
56,0.01,relu,32,11.013237953186035
64,0.001,linear,32,11.01516342163086
32,0.0001,relu,32,11.019598007202148
40,0.001,linear,8,11.019919395446777
48,0.0001,linear,32,11.030570983886719
8,1e-05,relu,32,11.033735275268555
48,0.01,linear,64,11.035151481628418
24,1e-05,relu,16,11.045180320739746
40,0.001,relu,64,11.049848556518555
64,0.01,relu,32,11.05810832977295
48,0.01,relu,16,11.059548377990723
16,0.0001,linear,16,11.067788124084473
56,0.001,linear,16,11.078096389770508
64,0.001,relu,8,11.078265190124512
48,0.0001,relu,32,11.080625534057617
32,0.01,relu,16,11.081750869750977
48,0.0001,linear,16,11.085373878479004
8,0.01,relu,16,11.095044136047363
16,0.001,linear,8,11.095446586608887
32,0.001,relu,8,11.126810073852539
64,0.001,linear,16,11.137370109558105
24,0.001,relu,32,11.13782787322998
56,0.0001,linear,64,11.138116836547852
32,0.001,relu,64,11.145601272583008
48,1e-05,linear,8,11.146175384521484
16,0.01,linear,64,11.156232833862305
56,0.001,linear,32,11.16419792175293
8,0.001,relu,16,11.166803359985352
56,0.01,relu,8,11.171557426452637
32,0.001,linear,16,11.178593635559082
8,0.001,linear,32,11.178640365600586
56,1e-05,linear,8,11.183627128601074
16,0.001,linear,64,11.188961029052734
48,0.01,relu,64,11.209768295288086
8,0.001,linear,8,11.213399887084961
32,0.0001,linear,32,11.214808464050293
56,0.01,linear,32,11.221863746643066
8,1e-05,relu,16,11.233044624328613
32,0.0001,linear,8,11.24356746673584
48,0.001,relu,16,11.248004913330078
24,0.001,linear,32,11.253503799438477
32,0.0001,relu,8,11.257840156555176
56,0.001,relu,64,11.259243965148926
24,0.01,linear,8,11.26778507232666
