date,max water temperature (C),min water temperature (C),avg water temperature (C)
2023-01-04 00:00:00+00:00,6.7,6.0,
2023-01-05 00:00:00+00:00,7.7,6.7,7.1
2023-01-06 00:00:00+00:00,7.0,5.9,6.5
2023-01-07 00:00:00+00:00,7.4,6.6,7.0
2023-01-08 00:00:00+00:00,7.4,6.1,6.9
2023-01-09 00:00:00+00:00,7.3,5.6,6.4
2023-01-10 00:00:00+00:00,6.4,4.6,5.5
2023-01-11 00:00:00+00:00,6.5,5.5,6.0
2023-01-12 00:00:00+00:00,7.7,6.5,7.0
2023-01-13 00:00:00+00:00,8.0,7.4,7.7
2023-01-14 00:00:00+00:00,7.9,7.0,7.4
2023-01-15 00:00:00+00:00,7.2,6.5,6.9
2023-01-16 00:00:00+00:00,6.5,5.9,6.2
2023-01-17 00:00:00+00:00,6.7,5.6,6.1
2023-01-18 00:00:00+00:00,6.0,5.4,5.6
2023-01-19 00:00:00+00:00,6.2,4.8,5.5
2023-01-20 00:00:00+00:00,4.8,3.6,4.2
2023-01-21 00:00:00+00:00,4.4,3.2,3.8
2023-01-22 00:00:00+00:00,5.5,4.2,4.7
2023-01-23 00:00:00+00:00,4.8,3.7,4.3
2023-01-24 00:00:00+00:00,4.1,3.1,3.7
2023-01-25 00:00:00+00:00,4.2,3.0,3.7
2023-01-26 00:00:00+00:00,4.6,3.3,4.0
2023-01-27 00:00:00+00:00,5.4,3.8,4.6
2023-01-28 00:00:00+00:00,6.0,4.8,5.3
2023-01-29 00:00:00+00:00,4.8,1.2,2.6
2023-01-30 00:00:00+00:00,1.9,0.3,1.2
2023-01-31 00:00:00+00:00,3.2,0.9,2.0
2023-02-01 00:00:00+00:00,3.3,1.6,2.5
2023-02-02 00:00:00+00:00,4.0,1.6,2.9
2023-02-03 00:00:00+00:00,5.3,3.3,4.2
2023-02-04 00:00:00+00:00,5.6,4.2,5.0
2023-02-05 00:00:00+00:00,6.2,5.3,5.6
2023-02-06 00:00:00+00:00,6.2,4.8,5.4
2023-02-07 00:00:00+00:00,5.2,4.1,4.6
2023-02-08 00:00:00+00:00,6.0,4.5,5.1
2023-02-09 00:00:00+00:00,5.8,3.9,4.9
2023-02-10 00:00:00+00:00,7.0,5.2,5.9
2023-02-11 00:00:00+00:00,6.8,4.9,5.8
2023-02-12 00:00:00+00:00,5.6,3.9,4.8
2023-02-13 00:00:00+00:00,5.5,4.0,4.9
2023-02-14 00:00:00+00:00,4.5,2.3,3.6
2023-02-15 00:00:00+00:00,4.4,2.4,3.4
2023-02-16 00:00:00+00:00,4.9,2.4,3.5
2023-02-17 00:00:00+00:00,4.6,2.2,3.4
2023-02-18 00:00:00+00:00,5.4,2.7,4.0
2023-02-19 00:00:00+00:00,6.2,4.1,5.0
2023-02-20 00:00:00+00:00,6.3,3.4,4.9
2023-02-21 00:00:00+00:00,5.8,2.7,4.7
2023-02-22 00:00:00+00:00,4.4,2.6,3.4
2023-02-23 00:00:00+00:00,4.1,1.2,2.8
2023-02-24 00:00:00+00:00,3.5,0.5,1.9
2023-02-25 00:00:00+00:00,4.2,1.0,2.6
2023-02-26 00:00:00+00:00,4.0,2.5,3.0
2023-02-27 00:00:00+00:00,4.8,2.9,3.6
2023-02-28 00:00:00+00:00,4.2,2.7,3.2
2023-03-01 00:00:00+00:00,5.3,2.7,3.8
2023-03-02 00:00:00+00:00,4.9,3.6,4.1
2023-03-03 00:00:00+00:00,5.7,3.6,4.6
