date,max water temperature (C),min water temperature (C),avg water temperature (C)
1999-05-13 00:00:00+00:00,11.6,7.0,8.8
1999-05-14 00:00:00+00:00,10.8,5.6,8.0
1999-05-15 00:00:00+00:00,8.7,5.9,7.1
1999-05-16 00:00:00+00:00,9.7,5.6,7.6
1999-05-17 00:00:00+00:00,12.1,5.9,8.8
1999-05-18 00:00:00+00:00,13.3,7.3,10.1
1999-05-19 00:00:00+00:00,14.4,8.2,11.1
1999-05-20 00:00:00+00:00,13.6,8.4,10.7
1999-05-21 00:00:00+00:00,14.4,8.5,11.2
1999-05-22 00:00:00+00:00,13.9,8.7,11.1
1999-05-23 00:00:00+00:00,13.9,9.4,11.6
1999-05-24 00:00:00+00:00,13.6,9.3,11.3
1999-05-25 00:00:00+00:00,11.6,9.0,10.4
1999-05-26 00:00:00+00:00,12.5,8.4,10.5
1999-05-27 00:00:00+00:00,12.1,7.6,10.1
1999-05-28 00:00:00+00:00,11.5,8.4,10.0
1999-05-29 00:00:00+00:00,11.1,8.7,9.6
1999-05-30 00:00:00+00:00,9.7,7.9,8.8
1999-05-31 00:00:00+00:00,11.5,6.8,9.0
1999-06-01 00:00:00+00:00,11.3,7.7,9.6
1999-06-02 00:00:00+00:00,9.6,7.9,8.5
1999-06-03 00:00:00+00:00,9.1,7.3,8.0
1999-06-04 00:00:00+00:00,12.2,6.3,9.3
1999-06-05 00:00:00+00:00,11.9,7.9,10.0
1999-06-06 00:00:00+00:00,9.7,7.9,8.9
1999-06-07 00:00:00+00:00,11.5,7.0,8.9
1999-06-08 00:00:00+00:00,11.3,7.6,9.2
1999-06-09 00:00:00+00:00,11.8,6.7,9.0
1999-06-10 00:00:00+00:00,12.9,7.0,9.7
1999-06-11 00:00:00+00:00,13.8,8.2,10.8
1999-06-12 00:00:00+00:00,14.7,8.8,11.6
1999-06-13 00:00:00+00:00,13.8,9.7,11.8
1999-06-14 00:00:00+00:00,14.7,9.9,12.1
1999-06-15 00:00:00+00:00,14.7,10.2,12.4
1999-06-16 00:00:00+00:00,13.8,9.9,11.8
1999-06-17 00:00:00+00:00,13.3,9.7,11.5
1999-06-18 00:00:00+00:00,13.6,9.4,11.5
1999-06-19 00:00:00+00:00,13.3,9.6,11.7
1999-06-20 00:00:00+00:00,13.8,9.3,11.6
1999-06-21 00:00:00+00:00,12.7,10.1,11.2
1999-06-22 00:00:00+00:00,13.6,8.7,11.0
1999-06-23 00:00:00+00:00,14.1,9.7,11.9
1999-06-24 00:00:00+00:00,13.6,10.2,12.0
1999-06-25 00:00:00+00:00,13.5,10.2,11.7
1999-06-26 00:00:00+00:00,13.5,8.5,10.9
1999-06-27 00:00:00+00:00,13.9,9.1,11.3
1999-06-28 00:00:00+00:00,13.6,9.4,11.5
1999-06-29 00:00:00+00:00,15.5,10.1,12.4
1999-06-30 00:00:00+00:00,15.7,10.7,12.9
1999-07-01 00:00:00+00:00,15.5,10.4,12.8
1999-07-02 00:00:00+00:00,15.0,10.2,12.3
1999-07-03 00:00:00+00:00,15.7,9.7,12.5
1999-07-04 00:00:00+00:00,15.2,10.2,12.5
1999-07-17 00:00:00+00:00,18.9,12.2,15.2
1999-07-18 00:00:00+00:00,19.2,11.8,15.4
1999-07-19 00:00:00+00:00,19.7,12.7,15.9
1999-07-20 00:00:00+00:00,20.0,13.3,16.3
1999-07-21 00:00:00+00:00,20.0,12.7,16.1
1999-07-22 00:00:00+00:00,20.0,12.9,16.2
1999-07-23 00:00:00+00:00,20.3,12.9,16.4
1999-07-24 00:00:00+00:00,19.5,13.3,16.0
1999-07-25 00:00:00+00:00,19.8,12.7,15.9
1999-07-26 00:00:00+00:00,20.5,12.7,16.3
1999-07-27 00:00:00+00:00,21.8,13.8,17.1
1999-07-28 00:00:00+00:00,21.8,14.4,17.2
1999-07-29 00:00:00+00:00,21.3,14.6,17.3
1999-07-30 00:00:00+00:00,20.5,14.2,16.8
1999-07-31 00:00:00+00:00,20.3,13.6,16.6
1999-08-01 00:00:00+00:00,19.2,14.1,16.2
1999-08-02 00:00:00+00:00,20.3,14.6,17.1
1999-08-03 00:00:00+00:00,20.0,15.0,16.6
1999-08-04 00:00:00+00:00,21.3,14.6,17.4
1999-08-05 00:00:00+00:00,21.6,14.9,17.4
1999-08-06 00:00:00+00:00,19.7,14.6,17.0
1999-08-07 00:00:00+00:00,17.9,14.6,16.1
1999-08-08 00:00:00+00:00,20.8,13.8,16.7
1999-08-09 00:00:00+00:00,21.3,13.9,17.1
1999-08-10 00:00:00+00:00,17.7,13.9,15.6
1999-08-11 00:00:00+00:00,19.3,13.8,16.1
1999-08-12 00:00:00+00:00,19.3,13.5,16.1
1999-08-13 00:00:00+00:00,20.2,13.8,16.2
1999-08-14 00:00:00+00:00,19.3,13.2,15.8
1999-08-15 00:00:00+00:00,19.2,13.0,15.5
1999-08-16 00:00:00+00:00,20.0,12.5,15.8
1999-08-17 00:00:00+00:00,20.6,13.2,16.4
1999-08-18 00:00:00+00:00,20.0,13.5,16.4
1999-08-19 00:00:00+00:00,20.8,14.7,17.3
1999-08-20 00:00:00+00:00,20.6,14.7,17.2
1999-08-21 00:00:00+00:00,21.1,15.0,17.4
1999-08-22 00:00:00+00:00,20.6,14.6,17.2
1999-08-23 00:00:00+00:00,19.8,15.0,17.2
1999-08-24 00:00:00+00:00,20.8,15.5,17.6
1999-08-25 00:00:00+00:00,20.5,14.7,17.1
1999-08-26 00:00:00+00:00,21.0,14.6,17.3
1999-08-27 00:00:00+00:00,19.8,14.9,17.1
1999-08-28 00:00:00+00:00,20.6,15.5,17.5
1999-08-29 00:00:00+00:00,20.6,14.9,17.3
1999-08-30 00:00:00+00:00,18.4,14.1,16.2
1999-08-31 00:00:00+00:00,18.4,12.2,14.9
1999-09-01 00:00:00+00:00,16.6,13.3,14.4
1999-09-02 00:00:00+00:00,16.8,12.5,14.2
1999-09-03 00:00:00+00:00,16.0,12.4,13.8
1999-09-04 00:00:00+00:00,18.2,11.9,14.5
1999-09-05 00:00:00+00:00,18.9,12.2,15.0
1999-09-06 00:00:00+00:00,17.7,12.5,14.5
1999-09-07 00:00:00+00:00,18.1,11.9,14.4
1999-09-08 00:00:00+00:00,18.5,11.8,14.7
1999-09-09 00:00:00+00:00,18.1,12.4,14.9
1999-09-10 00:00:00+00:00,17.6,12.9,14.6
1999-09-11 00:00:00+00:00,17.7,11.9,14.3
1999-09-12 00:00:00+00:00,17.9,12.1,14.5
