date,max water temperature (C),min water temperature (C),avg water temperature (C),avg discharge (cfs),avg discharge (m3/d)
1999-01-01 00:00:00+00:00,5.3,5.1,5.1,4000.0,9786286.08
1999-01-02 00:00:00+00:00,5.2,5.0,5.1,3990.0,9761820.3648
1999-01-03 00:00:00+00:00,5.1,4.9,5.0,3930.0,9615026.0736
1999-01-04 00:00:00+00:00,4.9,4.8,4.9,2840.0,6948263.1168
1999-01-05 00:00:00+00:00,4.8,4.7,4.7,2050.0,5015471.615999999
1999-01-06 00:00:00+00:00,4.7,4.6,4.7,1790.0,4379363.0208
1999-01-07 00:00:00+00:00,4.7,4.6,4.6,1560.0,3816651.5712
1999-01-08 00:00:00+00:00,4.6,4.5,4.5,1540.0,3767720.1408
1999-01-09 00:00:00+00:00,4.5,4.4,4.5,1530.0,3743254.4255999997
1999-01-10 00:00:00+00:00,4.5,4.4,4.4,1260.0,3082680.1152
1999-01-11 00:00:00+00:00,4.4,4.4,4.4,1100.0,2691228.672
1999-01-12 00:00:00+00:00,4.4,4.4,4.4,1100.0,2691228.672
1999-01-13 00:00:00+00:00,4.4,4.3,4.4,1090.0,2666762.9568
1999-01-14 00:00:00+00:00,4.8,4.4,4.5,1100.0,2691228.672
1999-01-15 00:00:00+00:00,4.8,4.6,4.7,1120.0,2740160.1023999997
1999-01-16 00:00:00+00:00,4.7,4.6,4.6,1130.0,2764625.8175999997
1999-01-17 00:00:00+00:00,4.9,4.7,4.7,1120.0,2740160.1023999997
1999-01-18 00:00:00+00:00,5.0,4.9,5.0,1100.0,2691228.672
1999-01-19 00:00:00+00:00,5.0,4.9,5.0,2270.0,5553717.3504
1999-01-20 00:00:00+00:00,5.0,4.9,5.0,3280.0,8024754.5856
1999-01-21 00:00:00+00:00,5.2,5.0,5.1,2070.0,5064403.046399999
1999-01-22 00:00:00+00:00,5.2,5.0,5.1,1260.0,3082680.1152
1999-01-23 00:00:00+00:00,5.2,5.0,5.1,1620.0,3963445.8624
1999-01-24 00:00:00+00:00,5.0,4.9,4.9,2550.0,6238757.376
1999-01-25 00:00:00+00:00,4.9,4.8,4.9,2510.0,6140894.5152
1999-01-26 00:00:00+00:00,4.9,4.7,4.8,2460.0,6018565.9392
1999-01-27 00:00:00+00:00,4.8,4.7,4.7,2740.0,6703605.9648
1999-01-28 00:00:00+00:00,4.7,4.7,4.7,2580.0,6312154.5216
1999-01-29 00:00:00+00:00,4.8,4.7,4.7,1930.0,4721883.0336
1999-01-30 00:00:00+00:00,4.8,4.6,4.7,1300.0,3180542.976
1999-01-31 00:00:00+00:00,4.7,4.6,4.6,1080.0,2642297.2416
1999-02-01 00:00:00+00:00,4.8,4.6,4.6,603.0,1475282.62656
1999-02-02 00:00:00+00:00,4.6,4.2,4.5,354.0,866086.31808
1999-02-03 00:00:00+00:00,4.8,4.5,4.6,358.0,875872.6041599999
1999-02-04 00:00:00+00:00,4.7,4.5,4.6,361.0,883212.31872
1999-02-05 00:00:00+00:00,4.6,4.4,4.5,344.0,841620.60288
1999-02-06 00:00:00+00:00,4.8,4.5,4.6,337.0,824494.60224
1999-02-07 00:00:00+00:00,5.0,4.6,4.8,349.0,853853.46048
1999-02-08 00:00:00+00:00,4.6,4.3,4.5,341.0,834280.8883199999
1999-02-09 00:00:00+00:00,4.7,4.1,4.4,335.0,819601.4591999999
1999-02-10 00:00:00+00:00,4.6,4.0,4.3,336.0,822048.0307199999
1999-02-11 00:00:00+00:00,4.5,4.2,4.3,340.0,831834.3168
1999-02-12 00:00:00+00:00,4.7,4.2,4.3,340.0,831834.3168
1999-02-13 00:00:00+00:00,4.5,4.2,4.3,340.0,831834.3168
1999-02-14 00:00:00+00:00,4.7,4.3,4.4,342.0,836727.45984
1999-02-15 00:00:00+00:00,4.8,4.3,4.4,338.0,826941.1737599999
1999-02-16 00:00:00+00:00,4.7,4.4,4.5,339.0,829387.74528
1999-02-17 00:00:00+00:00,4.8,4.6,4.7,347.0,848960.31744
1999-02-18 00:00:00+00:00,5.0,4.4,4.7,359.0,878319.17568
1999-02-19 00:00:00+00:00,5.0,4.4,4.7,346.0,846513.74592
1999-02-20 00:00:00+00:00,4.6,4.4,4.5,339.0,829387.74528
1999-02-21 00:00:00+00:00,4.7,4.4,4.5,343.0,839174.0313599999
1999-02-22 00:00:00+00:00,4.6,4.4,4.5,347.0,848960.31744
1999-02-23 00:00:00+00:00,4.8,4.5,4.7,349.0,853853.46048
1999-02-24 00:00:00+00:00,4.8,4.6,4.7,340.0,831834.3168
1999-02-25 00:00:00+00:00,4.9,4.6,4.6,338.0,826941.1737599999
1999-02-26 00:00:00+00:00,5.1,4.6,4.7,343.0,839174.0313599999
1999-02-27 00:00:00+00:00,4.8,4.7,4.7,342.0,836727.45984
1999-02-28 00:00:00+00:00,5.1,4.7,4.9,344.0,841620.60288
1999-03-01 00:00:00+00:00,5.2,4.7,4.8,531.0,1299129.47712
1999-03-02 00:00:00+00:00,5.1,4.7,5.0,899.0,2199467.79648
