date,max water temperature (C),min water temperature (C),avg water temperature (C)
2023-08-25 00:00:00+00:00,12.3,10.3,11.2
2023-08-26 00:00:00+00:00,12.1,10.2,11.1
2023-08-27 00:00:00+00:00,11.7,10.2,10.9
2023-08-28 00:00:00+00:00,11.5,10.3,10.9
2023-08-29 00:00:00+00:00,11.3,10.2,10.8
2023-08-30 00:00:00+00:00,11.6,9.7,10.5
2023-08-31 00:00:00+00:00,10.1,9.5,9.7
2023-09-01 00:00:00+00:00,11.2,9.5,10.2
2023-09-02 00:00:00+00:00,10.9,9.8,10.3
2023-09-03 00:00:00+00:00,10.7,9.9,10.2
2023-09-04 00:00:00+00:00,10.7,9.5,10.0
2023-09-05 00:00:00+00:00,10.7,9.0,9.7
2023-09-06 00:00:00+00:00,10.7,8.8,9.6
2023-09-07 00:00:00+00:00,10.7,8.7,9.6
2023-09-08 00:00:00+00:00,10.9,9.0,9.9
2023-09-09 00:00:00+00:00,11.4,9.4,10.3
2023-09-10 00:00:00+00:00,11.5,9.6,10.4
2023-09-11 00:00:00+00:00,11.1,9.5,10.2
2023-09-12 00:00:00+00:00,11.2,9.6,10.2
2023-09-13 00:00:00+00:00,10.9,9.3,10.0
2023-09-14 00:00:00+00:00,10.9,9.3,10.0
2023-09-15 00:00:00+00:00,10.7,9.1,9.9
2023-09-16 00:00:00+00:00,10.8,9.2,9.9
2023-09-17 00:00:00+00:00,10.7,9.3,10.0
2023-09-18 00:00:00+00:00,10.7,9.3,9.8
2023-09-19 00:00:00+00:00,10.2,8.7,9.5
2023-09-20 00:00:00+00:00,9.0,8.2,8.6
2023-09-21 00:00:00+00:00,8.9,7.6,8.3
2023-09-22 00:00:00+00:00,9.0,7.5,8.2
2023-09-23 00:00:00+00:00,9.0,8.0,8.5
2023-09-24 00:00:00+00:00,8.6,8.2,8.5
2023-09-25 00:00:00+00:00,9.2,8.6,8.9
2023-09-26 00:00:00+00:00,9.4,8.6,8.9
2023-09-27 00:00:00+00:00,9.1,8.3,8.7
2023-09-28 00:00:00+00:00,9.0,8.1,8.5
2023-09-29 00:00:00+00:00,9.2,8.3,8.7
2023-09-30 00:00:00+00:00,9.3,8.2,8.8
2023-10-01 00:00:00+00:00,8.4,7.2,7.9
2023-10-02 00:00:00+00:00,8.2,7.5,7.9
2023-10-03 00:00:00+00:00,9.4,8.1,8.7
2023-10-04 00:00:00+00:00,9.1,8.4,8.7
2023-10-05 00:00:00+00:00,9.3,8.2,8.8
2023-10-06 00:00:00+00:00,9.6,8.7,9.2
2023-10-07 00:00:00+00:00,9.8,8.8,9.3
2023-10-08 00:00:00+00:00,9.8,8.9,9.3
2023-10-09 00:00:00+00:00,9.2,8.7,8.9
2023-10-10 00:00:00+00:00,9.0,8.5,8.7
