date,max water temperature (C),min water temperature (C),avg water temperature (C),avg discharge (cfs),avg discharge (m3/d)
1999-01-01 00:00:00+00:00,,,,1510.0,3694322.9952
1999-01-02 00:00:00+00:00,,,,1010.0,2471037.2352
1999-01-03 00:00:00+00:00,,,,984.0,2407426.37568
1999-01-04 00:00:00+00:00,,,,859.0,2101604.93568
1999-01-05 00:00:00+00:00,,,,516.0,1262430.90432
1999-01-06 00:00:00+00:00,,,,383.0,937036.89216
1999-01-07 00:00:00+00:00,,,,345.0,844067.1744
1999-01-08 00:00:00+00:00,,,,279.0,682593.4540799999
1999-01-09 00:00:00+00:00,,,,248.0,606749.73696
1999-01-10 00:00:00+00:00,,,,223.0,545585.44896
1999-01-11 00:00:00+00:00,,,,198.0,484421.16096
1999-01-12 00:00:00+00:00,,,,213.0,521119.73376000003
1999-01-13 00:00:00+00:00,,,,234.0,572497.7356799999
1999-01-14 00:00:00+00:00,,,,252.0,616536.02304
1999-01-15 00:00:00+00:00,,,,1120.0,2740160.1023999997
1999-01-16 00:00:00+00:00,,,,1320.0,3229474.4063999997
1999-01-17 00:00:00+00:00,,,,1100.0,2691228.672
1999-01-18 00:00:00+00:00,,,,1030.0,2519968.6656
1999-01-19 00:00:00+00:00,,,,1280.0,3131611.5456
1999-01-20 00:00:00+00:00,,,,1690.0,4134705.8688000003
1999-01-21 00:00:00+00:00,,,,1600.0,3914514.432
1999-01-22 00:00:00+00:00,,,,1330.0,3253940.1216
1999-01-23 00:00:00+00:00,,,,1660.0,4061308.7232
1999-01-24 00:00:00+00:00,,,,2240.0,5480320.2047999995
1999-01-25 00:00:00+00:00,,,,1980.0,4844211.6096
1999-01-26 00:00:00+00:00,,,,1300.0,3180542.976
1999-01-27 00:00:00+00:00,,,,901.0,2204360.93952
1999-01-28 00:00:00+00:00,,,,651.0,1592718.0595200001
1999-01-29 00:00:00+00:00,,,,521.0,1274663.76192
1999-01-30 00:00:00+00:00,,,,424.0,1037346.3244800001
1999-01-31 00:00:00+00:00,,,,337.0,824494.60224
1999-02-01 00:00:00+00:00,,,,338.0,826941.1737599999
1999-02-02 00:00:00+00:00,,,,185.0,452615.73120000004
1999-02-03 00:00:00+00:00,,,,311.0,760883.74272
1999-02-04 00:00:00+00:00,,,,318.0,778009.74336
1999-02-05 00:00:00+00:00,,,,454.0,1110743.47008
1999-02-06 00:00:00+00:00,,,,617.0,1509534.62784
1999-02-07 00:00:00+00:00,,,,1350.0,3302871.552
1999-02-08 00:00:00+00:00,,,,1430.0,3498597.2736
1999-02-09 00:00:00+00:00,,,,1280.0,3131611.5456
1999-02-10 00:00:00+00:00,,,,1090.0,2666762.9568
1999-02-11 00:00:00+00:00,,,,662.0,1619630.3462399999
1999-02-12 00:00:00+00:00,,,,495.0,1211052.9024
1999-02-13 00:00:00+00:00,,,,495.0,1211052.9024
1999-02-14 00:00:00+00:00,,,,410.0,1003094.3232
1999-02-15 00:00:00+00:00,,,,409.0,1000647.7516799999
1999-02-16 00:00:00+00:00,,,,445.0,1088724.3264
1999-02-17 00:00:00+00:00,,,,602.0,1472836.05504
1999-02-18 00:00:00+00:00,,,,872.0,2133410.36544
1999-02-19 00:00:00+00:00,,,,1570.0,3841117.2863999996
1999-02-20 00:00:00+00:00,,,,1980.0,4844211.6096
1999-02-21 00:00:00+00:00,,,,1000.0,2446571.52
1999-02-22 00:00:00+00:00,,,,570.0,1394545.7663999998
1999-02-23 00:00:00+00:00,,,,690.0,1688134.3488
1999-02-24 00:00:00+00:00,,,,827.0,2023314.64704
1999-02-25 00:00:00+00:00,,,,742.0,1815356.06784
1999-02-26 00:00:00+00:00,,,,768.0,1878966.9273599999
1999-02-27 00:00:00+00:00,,,,959.0,2346262.08768
1999-02-28 00:00:00+00:00,,,,1130.0,2764625.8175999997
1999-03-01 00:00:00+00:00,,,,1870.0,4575088.7424
1999-03-02 00:00:00+00:00,,,,882.0,2157876.08064
1999-03-03 00:00:00+00:00,,,,652.0,1595164.63104
1999-03-04 00:00:00+00:00,,,,802.0,1962150.35904
1999-03-05 00:00:00+00:00,,,,731.0,1788443.78112
1999-03-06 00:00:00+00:00,,,,522.0,1277110.33344
1999-03-07 00:00:00+00:00,,,,421.0,1030006.6099200001
1999-03-08 00:00:00+00:00,,,,366.0,895445.17632
1999-03-09 00:00:00+00:00,,,,340.0,831834.3168
1999-03-10 00:00:00+00:00,,,,239.0,584730.5932799999
1999-03-11 00:00:00+00:00,,,,237.0,579837.45024
1999-03-12 00:00:00+00:00,,,,237.0,579837.45024
1999-03-13 00:00:00+00:00,,,,237.0,579837.45024
1999-03-14 00:00:00+00:00,,,,239.0,584730.5932799999
1999-03-15 00:00:00+00:00,,,,240.0,587177.1648
1999-03-16 00:00:00+00:00,,,,240.0,587177.1648
1999-03-17 00:00:00+00:00,,,,240.0,587177.1648
1999-03-18 00:00:00+00:00,,,,176.0,430596.58752
1999-03-19 00:00:00+00:00,,,,125.0,305821.44
1999-03-20 00:00:00+00:00,,,,125.0,305821.44
1999-03-21 00:00:00+00:00,,,,140.0,342520.01279999997
1999-03-22 00:00:00+00:00,,,,143.0,349859.72736
1999-03-23 00:00:00+00:00,,,,143.0,349859.72736
1999-03-24 00:00:00+00:00,,,,143.0,349859.72736
1999-03-25 00:00:00+00:00,,,,192.0,469741.73183999996
1999-03-26 00:00:00+00:00,,,,196.0,479528.01792
1999-03-27 00:00:00+00:00,,,,196.0,479528.01792
1999-03-28 00:00:00+00:00,,,,197.0,481974.58943999995
1999-03-29 00:00:00+00:00,,,,200.0,489314.304
1999-03-30 00:00:00+00:00,,,,519.0,1269770.61888
1999-03-31 00:00:00+00:00,,,,799.0,1954810.64448
1999-04-01 00:00:00+00:00,,,,722.0,1766424.63744
1999-04-02 00:00:00+00:00,,,,500.0,1223285.76
1999-04-03 00:00:00+00:00,,,,395.0,966395.7504
1999-04-04 00:00:00+00:00,,,,241.0,589623.73632
1999-04-05 00:00:00+00:00,,,,371.0,907678.03392
1999-04-06 00:00:00+00:00,,,,374.0,915017.74848
1999-04-07 00:00:00+00:00,,,,293.0,716845.45536
1999-04-08 00:00:00+00:00,,,,295.0,721738.5984
1999-04-09 00:00:00+00:00,,,,296.0,724185.16992
1999-04-10 00:00:00+00:00,,,,296.0,724185.16992
1999-04-11 00:00:00+00:00,,,,296.0,724185.16992
1999-04-12 00:00:00+00:00,,,,391.0,956609.46432
1999-04-13 00:00:00+00:00,,,,424.0,1037346.3244800001
1999-04-14 00:00:00+00:00,,,,221.0,540692.30592
1999-04-15 00:00:00+00:00,,,,209.0,511333.44768
1999-04-16 00:00:00+00:00,,,,176.0,430596.58752
1999-04-17 00:00:00+00:00,,,,148.0,362092.58496
1999-04-18 00:00:00+00:00,,,,148.0,362092.58496
1999-04-19 00:00:00+00:00,,,,176.0,430596.58752
1999-04-20 00:00:00+00:00,,,,145.0,354752.87039999996
1999-04-21 00:00:00+00:00,,,,89.0,217744.86528
1999-04-22 00:00:00+00:00,,,,72.0,176153.14944
1999-04-23 00:00:00+00:00,,,,72.0,176153.14944
1999-04-24 00:00:00+00:00,,,,72.0,176153.14944
1999-04-25 00:00:00+00:00,,,,72.0,176153.14944
1999-04-26 00:00:00+00:00,,,,72.0,176153.14944
1999-04-27 00:00:00+00:00,,,,72.0,176153.14944
1999-04-28 00:00:00+00:00,,,,72.0,176153.14944
1999-04-29 00:00:00+00:00,,,,72.0,176153.14944
1999-04-30 00:00:00+00:00,,,,72.0,176153.14944
1999-05-01 00:00:00+00:00,,,,72.0,176153.14944
1999-05-02 00:00:00+00:00,,,,72.0,176153.14944
1999-05-03 00:00:00+00:00,,,,222.0,543138.8774400001
1999-05-04 00:00:00+00:00,,,,621.0,1519320.9139200002
1999-05-05 00:00:00+00:00,,,,463.0,1132762.6137599999
1999-05-06 00:00:00+00:00,,,,324.0,792689.1724800001
1999-05-07 00:00:00+00:00,,,,294.0,719292.02688
1999-05-08 00:00:00+00:00,,,,226.0,552925.1635200001
1999-05-09 00:00:00+00:00,,,,125.0,305821.44
1999-05-10 00:00:00+00:00,,,,117.0,286248.86783999996
1999-05-11 00:00:00+00:00,,,,117.0,286248.86783999996
1999-05-12 00:00:00+00:00,,,,117.0,286248.86783999996
1999-05-13 00:00:00+00:00,,,,117.0,286248.86783999996
1999-05-14 00:00:00+00:00,,,,118.0,288695.43936
1999-05-15 00:00:00+00:00,,,,119.0,291142.01088
1999-05-16 00:00:00+00:00,,,,174.0,425703.44447999995
1999-05-17 00:00:00+00:00,,,,263.0,643448.30976
1999-05-18 00:00:00+00:00,,,,393.0,961502.60736
1999-05-19 00:00:00+00:00,,,,420.0,1027560.0384
1999-05-20 00:00:00+00:00,,,,347.0,848960.31744
1999-05-21 00:00:00+00:00,,,,266.0,650788.02432
1999-05-22 00:00:00+00:00,,,,245.0,599410.0224
1999-05-23 00:00:00+00:00,,,,204.0,499100.59008
1999-05-24 00:00:00+00:00,,,,201.0,491760.87552
1999-05-25 00:00:00+00:00,,,,201.0,491760.87552
1999-05-26 00:00:00+00:00,,,,201.0,491760.87552
1999-05-27 00:00:00+00:00,,,,165.0,403684.30079999997
1999-05-28 00:00:00+00:00,,,,162.0,396344.58624000003
1999-05-29 00:00:00+00:00,,,,115.0,281355.72479999997
1999-05-30 00:00:00+00:00,,,,59.0,144347.71968
1999-05-31 00:00:00+00:00,,,,48.0,117435.43295999999
1999-06-01 00:00:00+00:00,,,,90.0,220191.4368
1999-06-02 00:00:00+00:00,,,,121.0,296035.15392
1999-06-03 00:00:00+00:00,,,,125.0,305821.44
1999-06-04 00:00:00+00:00,,,,95.0,232424.2944
1999-06-05 00:00:00+00:00,,,,95.0,232424.2944
1999-06-06 00:00:00+00:00,,,,143.0,349859.72736
1999-06-07 00:00:00+00:00,,,,135.0,330287.1552
1999-06-08 00:00:00+00:00,,,,93.0,227531.15136
1999-06-09 00:00:00+00:00,,,,83.0,203065.43616
1999-06-10 00:00:00+00:00,,,,72.0,176153.14944
1999-06-11 00:00:00+00:00,,,,72.0,176153.14944
1999-06-12 00:00:00+00:00,,,,72.0,176153.14944
1999-06-13 00:00:00+00:00,,,,72.0,176153.14944
1999-06-14 00:00:00+00:00,,,,72.0,176153.14944
1999-06-15 00:00:00+00:00,,,,72.0,176153.14944
1999-06-16 00:00:00+00:00,,,,72.0,176153.14944
1999-06-17 00:00:00+00:00,,,,59.0,144347.71968
1999-06-18 00:00:00+00:00,,,,71.0,173706.57792
1999-06-19 00:00:00+00:00,,,,71.0,173706.57792
1999-06-20 00:00:00+00:00,,,,71.0,173706.57792
1999-06-21 00:00:00+00:00,,,,71.0,173706.57792
1999-06-22 00:00:00+00:00,,,,71.0,173706.57792
1999-06-23 00:00:00+00:00,,,,71.0,173706.57792
1999-06-24 00:00:00+00:00,,,,71.0,173706.57792
1999-06-25 00:00:00+00:00,,,,71.0,173706.57792
1999-06-26 00:00:00+00:00,,,,71.0,173706.57792
1999-06-27 00:00:00+00:00,,,,71.0,173706.57792
1999-06-28 00:00:00+00:00,,,,71.0,173706.57792
1999-06-29 00:00:00+00:00,,,,71.0,173706.57792
1999-06-30 00:00:00+00:00,,,,72.0,176153.14944
1999-07-01 00:00:00+00:00,,,,55.0,134561.4336
1999-07-02 00:00:00+00:00,,,,48.0,117435.43295999999
1999-07-03 00:00:00+00:00,,,,48.0,117435.43295999999
1999-07-04 00:00:00+00:00,,,,48.0,117435.43295999999
1999-07-05 00:00:00+00:00,,,,48.0,117435.43295999999
1999-07-06 00:00:00+00:00,,,,48.0,117435.43295999999
1999-07-07 00:00:00+00:00,,,,48.0,117435.43295999999
1999-07-08 00:00:00+00:00,,,,45.0,110095.7184
1999-07-09 00:00:00+00:00,,,,42.0,102756.00383999999
1999-07-10 00:00:00+00:00,,,,42.0,102756.00383999999
1999-07-11 00:00:00+00:00,,,,42.0,102756.00383999999
1999-07-12 00:00:00+00:00,,,,44.0,107649.14688
1999-07-13 00:00:00+00:00,,,,47.0,114988.86144
1999-07-14 00:00:00+00:00,,,,47.0,114988.86144
1999-07-15 00:00:00+00:00,,,,47.0,114988.86144
1999-07-16 00:00:00+00:00,,,,47.0,114988.86144
1999-07-17 00:00:00+00:00,,,,47.0,114988.86144
1999-07-18 00:00:00+00:00,,,,47.0,114988.86144
1999-07-19 00:00:00+00:00,,,,47.0,114988.86144
1999-07-20 00:00:00+00:00,,,,47.0,114988.86144
1999-07-21 00:00:00+00:00,,,,47.0,114988.86144
1999-07-22 00:00:00+00:00,,,,47.0,114988.86144
1999-07-23 00:00:00+00:00,,,,47.0,114988.86144
1999-07-24 00:00:00+00:00,,,,47.0,114988.86144
1999-07-25 00:00:00+00:00,,,,47.0,114988.86144
1999-07-26 00:00:00+00:00,,,,47.0,114988.86144
1999-07-27 00:00:00+00:00,,,,47.0,114988.86144
1999-07-28 00:00:00+00:00,,,,47.0,114988.86144
1999-07-29 00:00:00+00:00,,,,48.0,117435.43295999999
1999-07-30 00:00:00+00:00,,,,48.0,117435.43295999999
1999-07-31 00:00:00+00:00,,,,48.0,117435.43295999999
1999-08-01 00:00:00+00:00,,,,48.0,117435.43295999999
1999-08-02 00:00:00+00:00,,,,48.0,117435.43295999999
1999-08-03 00:00:00+00:00,,,,48.0,117435.43295999999
1999-08-04 00:00:00+00:00,,,,48.0,117435.43295999999
1999-08-05 00:00:00+00:00,,,,48.0,117435.43295999999
1999-08-06 00:00:00+00:00,,,,48.0,117435.43295999999
1999-08-07 00:00:00+00:00,,,,48.0,117435.43295999999
1999-08-08 00:00:00+00:00,,,,48.0,117435.43295999999
1999-08-09 00:00:00+00:00,,,,48.0,117435.43295999999
1999-08-10 00:00:00+00:00,,,,48.0,117435.43295999999
1999-08-11 00:00:00+00:00,,,,48.0,117435.43295999999
