date,avg gain (m3/d),power discharge (m3/d),computed inflow (m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),elevation (m),storage (m3)
1990-01-01,397078.55769600003,,482708.560896,-1.816561199999997,0.3279004000000043,-3.688798399999998,1468.35876,498352439.82
1990-01-02,656757.6588288,,747280.8050688,-6.116595599999998,-2.466566399999998,-14.7388868,1468.361808,498620647.7112
1990-01-03,389763.3088512,,477839.8835712,-12.5110912,-7.011047199999998,-19.7667048,1468.361808,498620647.7112
1990-01-04,593391.4564608,,686361.1742208,-4.366581599999998,-2.422121599999997,-6.9666023999999975,1468.3648560000001,498821815.96440005
1990-01-05,380784.3913728,,478647.25217279996,-3.2443503999999983,1.4223536000000045,-6.049928399999999,1468.3648560000001,498821815.96440005
1990-01-06,382227.8685696,,482537.30088959995,0.9834612000000043,2.511251200000004,-0.46099479999999815,1468.3648560000001,498821815.96440005
1990-01-07,3210537.9428352,,3330419.9473151998,0.789015200000005,3.605704400000004,-1.0721107999999973,1468.398384,501663482.5188
1990-01-08,5178706.867814399,,5323054.587494399,3.1834787999999996,6.177947200000002,-0.28321559999999835,1468.4562960000003,506482540.86120003
1990-01-09,2456113.148928,,2602907.440128,5.216828400000004,10.983541200000005,0.11123200000000466,1468.4806800000001,508586660.38440007
1990-01-10,1304218.3458816002,,1448566.0655616,3.7390387999999994,10.289091200000005,0.7667928000000046,1468.4928720000003,509536871.7024
1990-01-11,1436480.0022528,,1578381.1504128,1.1279068000000017,3.6890384000000047,-0.19432599999999667,1468.5050640000002,510622864.4988
1990-01-12,552680.5063680001,,692135.0830079999,-1.2665567999999965,1.5945771999999998,-2.599900799999997,1468.508112,510826512.04679996
1990-01-13,825987.0108672,,962995.0159872,0.8167932000000029,4.216820400000003,-2.377676799999998,1468.514208,511301586.8688
1990-01-14,958909.2415488,,1095917.2466688,1.166796000000005,4.1279308000000015,-0.8943315999999975,1468.520304,511912467.8388
1990-01-15,554221.8464256,,686336.7085055999,-0.08876959999999912,4.433488800000003,-3.605464399999997,1468.523352,512116115.3868
1990-01-16,831858.7825152,,961527.0730752,-0.7943307999999973,2.7279196,-2.466566399999998,1468.5294480000002,512594927.65320003
1990-01-17,767146.9658112,,896815.2563712,-2.4943443999999975,3.4279252000000042,-6.177707199999999,1468.5324960000003,513009611.29440004
1990-01-18,354434.8161024,,479209.9636224,-5.899927199999999,1.0723508000000024,-10.855522399999998,1468.5324960000003,513009611.29440004
1990-01-19,351376.6017024,,471258.6061824,-6.866601599999997,0.9834612000000043,-12.427757199999999,1468.5324960000003,513009611.29440004
1990-01-20,346679.18438399996,,461668.045824,-6.999935999999998,-1.5943371999999982,-12.427757199999999,1468.5324960000003,513009611.29440004
1990-01-21,835357.3797888,,945453.0981887999,-4.894363599999997,1.155684800000003,-11.116635599999999,1468.538592,513493406.82
1990-01-22,-129252.3734016,,-21603.2265216,-0.7109967999999967,5.177939200000004,-4.783251599999998,1468.5324960000003,513009611.29440004
1990-01-23,1046374.1733888,,1161363.0348288,-2.9276811999999968,0.41679000000000244,-10.938856399999999,1468.5416400000001,513700742.4732
1990-01-24,644304.609792,,761740.042752,-8.966618399999998,-0.11099199999999598,-15.350002799999999,1468.5446880000002,513977202.34559995
1990-01-25,390864.2660352,,508299.6989952,-1.1887783999999968,4.5223784000000045,-8.494392399999997,1468.5446880000002,513977202.34559995
1990-01-26,586443.1933439999,,701432.0547839999,-3.177683199999997,3.4279252000000042,-9.238842799999999,1468.547736,514184537.9988
1990-01-27,1009969.1891712,,1124958.0506112,-5.394367599999999,-2.905458799999998,-7.794386799999998,1468.553832,514806606.63240004
1990-01-28,2174757.4241279997,,2299532.571648,-2.1776751999999995,0.3279004000000043,-3.338795599999999,1468.575168,516603552.6312
1990-01-29,87831.91756799999,,219946.77964800003,-2.5499003999999967,-0.46099479999999815,-4.083245999999999,1468.57212,516327092.7588
1990-01-30,1467771.6519936,,1609672.8001535998,-2.2054531999999973,1.4612428000000044,-4.261025199999999,1468.584312,517432907.5788
1990-01-31,560949.9181056,,705297.6377855999,-3.2999063999999994,-0.5443287999999988,-4.477693599999997,1468.58736,517640255.5668
1990-02-01,1110474.3472128,,1262161.7814528,-2.711012799999997,1.811245600000003,-4.566583199999997,1468.5965039999999,518400498.63
1990-02-02,558429.94944,,707670.81216,-2.661012399999997,-0.3721052,-4.911030399999998,1468.599552,518607834.2832
1990-02-03,699646.0575744001,,846440.3487744001,-1.0721107999999973,5.527942000000003,-8.188834399999998,1468.6026000000002,518953443.04440004
1990-02-04,625514.9405183999,,774755.8032384,-3.9610227999999967,1.3779088000000002,-13.6055444,1468.6056480000002,519229902.91679996
1990-02-05,350789.42453759996,,497583.7157376,-10.311073599999999,-2.466566399999998,-21.905610799999998,1468.6056480000002,519229902.91679996
1990-02-06,1043242.5618432,,1192483.4245632,-4.266580799999998,-0.8054419999999958,-12.599980799999997,1468.614792,519921034.09559995
1990-02-07,631973.8893312,,776321.6090112,-7.944387999999998,-3.3832403999999983,-14.7388868,1468.6178400000001,520197481.63320005
1990-02-08,2281158.8195328,,2437739.3968128,-3.327684399999997,0.41679000000000244,-8.188834399999998,1468.6391760000001,522132663.7356
