date,max water temperature (C),min water temperature (C),avg water temperature (C),avg discharge (cfs),avg discharge (m3/d)
1999-01-01 00:00:00+00:00,,,,806.0,1971936.64512
1999-01-02 00:00:00+00:00,,,,545.0,1333381.4784
1999-01-03 00:00:00+00:00,,,,397.0,971288.89344
1999-01-04 00:00:00+00:00,,,,310.0,758437.1712
1999-01-05 00:00:00+00:00,,,,253.0,618982.59456
1999-01-06 00:00:00+00:00,,,,214.0,523566.30528
1999-01-07 00:00:00+00:00,,,,209.0,511333.44768
1999-01-08 00:00:00+00:00,,,,184.0,450169.15968000004
1999-01-09 00:00:00+00:00,,,,164.0,401237.72927999997
1999-01-10 00:00:00+00:00,,,,157.0,384111.72864
1999-01-11 00:00:00+00:00,,,,164.0,401237.72927999997
1999-01-12 00:00:00+00:00,,,,183.0,447722.58816
1999-01-13 00:00:00+00:00,,,,208.0,508886.87616000004
1999-01-14 00:00:00+00:00,,,,568.0,1389652.62336
1999-01-15 00:00:00+00:00,,,,1240.0,3033748.6848
1999-01-16 00:00:00+00:00,,,,753.0,1842268.3545600001
1999-01-17 00:00:00+00:00,,,,933.0,2282651.22816
1999-01-18 00:00:00+00:00,,,,1600.0,3914514.432
1999-01-19 00:00:00+00:00,,,,989.0,2419659.23328
1999-01-20 00:00:00+00:00,,,,756.0,1849608.0691200001
1999-01-21 00:00:00+00:00,,,,829.0,2028207.79008
1999-01-22 00:00:00+00:00,,,,641.0,1568252.3443200001
1999-01-23 00:00:00+00:00,,,,495.0,1211052.9024
1999-01-24 00:00:00+00:00,,,,388.0,949269.74976
1999-01-25 00:00:00+00:00,,,,306.0,748650.88512
1999-01-26 00:00:00+00:00,,,,249.0,609196.30848
1999-01-27 00:00:00+00:00,,,,206.0,503993.73312
1999-01-28 00:00:00+00:00,,,,203.0,496654.01856
1999-01-29 00:00:00+00:00,,,,231.0,565158.02112
1999-01-30 00:00:00+00:00,,,,237.0,579837.45024
1999-01-31 00:00:00+00:00,,,,211.0,516226.59072
1999-02-01 00:00:00+00:00,,,,181.0,442829.44512
1999-02-02 00:00:00+00:00,,,,257.0,628768.88064
1999-02-03 00:00:00+00:00,,,,317.0,775563.1718400001
1999-02-04 00:00:00+00:00,,,,301.0,736418.02752
1999-02-05 00:00:00+00:00,,,,262.0,641001.73824
1999-02-06 00:00:00+00:00,,,,646.0,1580485.20192
1999-02-07 00:00:00+00:00,,,,866.0,2118730.93632
1999-02-08 00:00:00+00:00,,,,485.0,1186587.1872
1999-02-09 00:00:00+00:00,,,,328.0,802475.4585599999
1999-02-10 00:00:00+00:00,,,,249.0,609196.30848
1999-02-11 00:00:00+00:00,,,,196.0,479528.01792
1999-02-12 00:00:00+00:00,,,,168.0,411024.01535999996
1999-02-13 00:00:00+00:00,,,,154.0,376772.01408
1999-02-14 00:00:00+00:00,,,,144.0,352306.29888
1999-02-15 00:00:00+00:00,,,,139.0,340073.44128
1999-02-16 00:00:00+00:00,,,,215.0,526012.8768
1999-02-17 00:00:00+00:00,,,,386.0,944376.6067199999
1999-02-18 00:00:00+00:00,,,,394.0,963949.1788799999
1999-02-19 00:00:00+00:00,,,,538.0,1316255.47776
1999-02-20 00:00:00+00:00,,,,351.0,858746.60352
1999-02-21 00:00:00+00:00,,,,269.0,658127.73888
1999-02-22 00:00:00+00:00,,,,278.0,680146.88256
1999-02-23 00:00:00+00:00,,,,1000.0,2446571.52
1999-02-24 00:00:00+00:00,,,,1150.0,2813557.248
1999-02-25 00:00:00+00:00,,,,807.0,1974383.21664
1999-02-26 00:00:00+00:00,,,,537.0,1313808.90624
1999-02-27 00:00:00+00:00,,,,1090.0,2666762.9568
1999-02-28 00:00:00+00:00,,,,1980.0,4844211.6096
1999-03-01 00:00:00+00:00,,,,1010.0,2471037.2352
1999-03-02 00:00:00+00:00,,,,662.0,1619630.3462399999
1999-03-03 00:00:00+00:00,,,,554.0,1355400.6220800001
1999-03-04 00:00:00+00:00,,,,426.0,1042239.4675200001
1999-03-05 00:00:00+00:00,,,,333.0,814708.3161599999
1999-03-06 00:00:00+00:00,,,,276.0,675253.73952
1999-03-07 00:00:00+00:00,,,,233.0,570051.16416
1999-03-08 00:00:00+00:00,,,,208.0,508886.87616000004
1999-03-09 00:00:00+00:00,,,,186.0,455062.30272
1999-03-10 00:00:00+00:00,,,,165.0,403684.30079999997
1999-03-11 00:00:00+00:00,,,,148.0,362092.58496
1999-03-12 00:00:00+00:00,,,,153.0,374325.44256
