date,unregulated flow (m3/d),discharge (m3/d),avg air temperature (C),max air temperature (C),min air temperature (C)
1990-01-01,125191.0646784,0.0,-4.149913199999997,0.37234520000000515,-9.016618799999998
1990-01-02,133020.0935424,0.0,-4.4721379999999975,2.2056932000000025,-11.377748799999999
1990-01-03,99110.6122752,0.0,-9.266620799999998,-4.038801199999998,-15.0055556
1990-01-04,125191.0646784,0.0,-3.3887959999999993,3.605704400000004,-9.9777376
1990-01-05,132995.6278272,0.0,-2.7832355999999994,4.389044000000002,-8.449947599999998
1990-01-06,159076.0802304,0.0,-1.5832259999999998,4.739046800000004,-5.8332599999999974
1990-01-07,224277.2112384,0.0,5.161272400000001,9.672419600000001,-0.5887735999999961
1990-01-08,273844.75023360003,0.0,6.727951600000004,10.505759600000001,1.9890248000000028
1990-01-09,232106.2401024,0.0,2.4112504000000037,5.483497200000002,1.0723508000000024
1990-01-10,204998.2276608,0.0,5.572386800000004,8.494632400000004,2.466806400000003
1990-01-11,175712.76656639998,0.0,4.305710000000001,8.800190400000005,0.41679000000000244
1990-01-12,189022.1156352,0.0,2.283471600000002,6.050168400000004,-0.6776631999999978
1990-01-13,189022.1156352,0.0,3.5612595999999996,6.527950000000004,1.9890248000000028
1990-01-14,175712.76656639998,0.0,2.705697200000003,5.611276000000004,-0.4165499999999973
1990-01-15,162403.4174976,0.0,0.5779024000000028,6.661284400000003,-4.299914399999997
1990-01-16,149094.0684288,0.0,0.7445704000000042,3.4279252000000042,-1.6387819999999955
1990-01-17,141999.01102079998,0.0,0.2667888000000005,6.833508000000002,-4.477693599999997
1990-01-18,108285.2554752,0.0,-2.433232799999997,6.3112816000000045,-8.5388372
1990-01-19,70387.86263039999,0.0,-3.4832411999999984,0.9834612000000043,-8.277723999999997
1990-01-20,89348.7919104,0.0,-4.7943627999999965,0.4612348000000033,-11.116635599999999
1990-01-21,124530.490368,0.0,-3.805465999999999,-0.499883999999998,-8.233279199999998
1990-01-22,173266.19504639998,0.0,1.016794800000003,8.800190400000005,-6.749933999999998
1990-01-23,151614.0370944,0.0,2.4056948000000027,6.050168400000004,-3.688798399999998
1990-01-24,135368.8022016,0.0,-2.794346799999998,3.777928000000003,-9.105508399999998
1990-01-25,146207.1140352,0.0,-1.110999999999997,1.289019200000002,-3.1221271999999978
1990-01-26,148898.3427072,0.0,-0.12210319999999797,4.5223784000000045,-6.3999311999999975
1990-01-27,165143.5776,0.0,-0.8332199999999972,3.8223728000000037,-5.6999255999999985
