date,max water temperature (C),min water temperature (C),avg water temperature (C),avg discharge (cfs),avg discharge (m3/d)
1999-01-01 00:00:00+00:00,,,,17200.0,42081030.143999994
1999-01-02 00:00:00+00:00,,,,17200.0,42081030.143999994
1999-01-03 00:00:00+00:00,,,,17900.0,43793630.208
1999-01-04 00:00:00+00:00,,,,17900.0,43793630.208
1999-01-05 00:00:00+00:00,,,,17300.0,42325687.296
1999-01-06 00:00:00+00:00,,,,16700.0,40857744.383999996
1999-01-07 00:00:00+00:00,,,,17300.0,42325687.296
1999-01-08 00:00:00+00:00,,,,17300.0,42325687.296
1999-01-09 00:00:00+00:00,,,,16800.0,41102401.536
1999-01-10 00:00:00+00:00,,,,16600.0,40613087.232
1999-01-11 00:00:00+00:00,,,,17100.0,41836372.992
1999-01-12 00:00:00+00:00,,,,17400.0,42570344.448
1999-01-13 00:00:00+00:00,,,,16900.0,41347058.688
1999-01-14 00:00:00+00:00,,,,16900.0,41347058.688
1999-01-15 00:00:00+00:00,,,,17600.0,43059658.752
1999-01-16 00:00:00+00:00,,,,17500.0,42815001.6
1999-01-17 00:00:00+00:00,,,,17600.0,43059658.752
1999-01-18 00:00:00+00:00,,,,18000.0,44038287.36
1999-01-19 00:00:00+00:00,,,,17300.0,42325687.296
1999-01-20 00:00:00+00:00,,,,16900.0,41347058.688
1999-01-21 00:00:00+00:00,,,,16900.0,41347058.688
1999-01-22 00:00:00+00:00,,,,17400.0,42570344.448
1999-01-23 00:00:00+00:00,,,,18600.0,45506230.27200001
1999-01-24 00:00:00+00:00,,,,18100.0,44282944.512
1999-01-25 00:00:00+00:00,,,,17900.0,43793630.208
1999-01-26 00:00:00+00:00,,,,17700.0,43304315.904
1999-01-27 00:00:00+00:00,,,,17000.0,41591715.84
1999-01-28 00:00:00+00:00,,,,17700.0,43304315.904
1999-01-29 00:00:00+00:00,,,,18300.0,44772258.816
1999-01-30 00:00:00+00:00,,,,17000.0,41591715.84
1999-01-31 00:00:00+00:00,,,,16600.0,40613087.232
1999-02-01 00:00:00+00:00,,,,15400.0,37677201.408
1999-02-02 00:00:00+00:00,,,,15800.0,38655830.016
1999-02-03 00:00:00+00:00,,,,16800.0,41102401.536
1999-02-04 00:00:00+00:00,,,,16600.0,40613087.232
1999-02-05 00:00:00+00:00,,,,15700.0,38411172.864
1999-02-06 00:00:00+00:00,,,,16000.0,39145144.32
1999-02-07 00:00:00+00:00,,,,16800.0,41102401.536
1999-02-08 00:00:00+00:00,,,,16400.0,40123772.927999996
1999-02-09 00:00:00+00:00,,,,16700.0,40857744.383999996
1999-02-10 00:00:00+00:00,,,,17000.0,41591715.84
1999-02-11 00:00:00+00:00,,,,18000.0,44038287.36
1999-02-12 00:00:00+00:00,,,,18500.0,45261573.120000005
1999-02-13 00:00:00+00:00,,,,17100.0,41836372.992
1999-02-14 00:00:00+00:00,,,,17300.0,42325687.296
1999-02-15 00:00:00+00:00,,,,17200.0,42081030.143999994
1999-02-16 00:00:00+00:00,,,,16600.0,40613087.232
1999-02-17 00:00:00+00:00,,,,18000.0,44038287.36
1999-02-18 00:00:00+00:00,,,,19100.0,46729516.032
1999-02-19 00:00:00+00:00,,,,19400.0,47463487.488
1999-02-20 00:00:00+00:00,,,,19600.0,47952801.791999996
1999-02-21 00:00:00+00:00,,,,19600.0,47952801.791999996
1999-02-22 00:00:00+00:00,,,,20800.0,50888687.616
1999-02-23 00:00:00+00:00,,,,20600.0,50399373.31200001
1999-02-24 00:00:00+00:00,,,,21300.0,52111973.375999995
1999-02-25 00:00:00+00:00,,,,22500.0,55047859.2
1999-02-26 00:00:00+00:00,,,,22600.0,55292516.352
1999-02-27 00:00:00+00:00,,,,22300.0,54558544.896000005
1999-02-28 00:00:00+00:00,,,,23200.0,56760459.264
1999-03-01 00:00:00+00:00,,,,23100.0,56515802.111999996
1999-03-02 00:00:00+00:00,,,,22900.0,56026487.808
1999-03-03 00:00:00+00:00,,,,24900.0,60919630.848
1999-03-04 00:00:00+00:00,,,,25100.0,61408945.151999995
1999-03-05 00:00:00+00:00,,,,24000.0,58717716.480000004
1999-03-06 00:00:00+00:00,,,,24900.0,60919630.848
1999-03-07 00:00:00+00:00,,,,26200.0,64100173.824
1999-03-08 00:00:00+00:00,,,,26000.0,63610859.52
1999-03-09 00:00:00+00:00,,,,26400.0,64589488.128000006
1999-03-10 00:00:00+00:00,,,,26700.0,65323459.58399999
1999-03-11 00:00:00+00:00,,,,26600.0,65078802.432
1999-03-12 00:00:00+00:00,,,,26500.0,64834145.28
1999-03-13 00:00:00+00:00,,,,25500.0,62387573.76
1999-03-14 00:00:00+00:00,,,,25100.0,61408945.151999995
1999-03-15 00:00:00+00:00,,,,23400.0,57249773.567999996
1999-03-16 00:00:00+00:00,,,,23100.0,56515802.111999996
1999-03-17 00:00:00+00:00,,,,21700.0,53090601.984
1999-03-18 00:00:00+00:00,,,,21700.0,53090601.984
1999-03-19 00:00:00+00:00,,,,21200.0,51867316.224
1999-03-20 00:00:00+00:00,,,,22000.0,53824573.44
1999-03-21 00:00:00+00:00,,,,25500.0,62387573.76
1999-03-22 00:00:00+00:00,,,,29000.0,70950574.08
1999-03-23 00:00:00+00:00,,,,30800.0,75354402.816
1999-03-24 00:00:00+00:00,,,,30200.0,73886459.904
1999-03-25 00:00:00+00:00,,,,30800.0,75354402.816
1999-03-26 00:00:00+00:00,,,,29500.0,72173859.84
