date,avg gain (m3/d),computed inflow (m3/d),unregulated flow (m3/d),elevation (m),discharge (m3/d),total avg discharge (m3/d),spillway discharge (m3/d),storage (m3)
1990-04-29,,15360530.1654528,15929088.9209856,927.610032,6679140.2496,,,287829474.3
1990-04-30,,14802883.1188992,13369608.1253376,928.3598400000001,6679140.2496,,,295707649.38600004
1990-05-01,,13765732.5201408,11557872.9833472,929.002968,6679140.2496,,,302546703.9156
1990-05-02,,13155630.9801984,11125319.138611201,929.582088,6703605.9648,,,308774100.3828
1990-05-03,,12384447.1713792,9959968.1922048,930.085008,6679140.2496,,,314232212.37839997
1990-05-04,,11721891.138047999,9408070.5887232,930.5239200000001,6679140.2496,,,319031991.4284
1990-05-05,,11237934.8256768,9557898.628608,930.907968,6728071.68,,,323257523.8644
1990-05-06,,10565690.3691264,9978023.890022399,931.22496,6752537.3952,,,326774101.33559996
1990-05-07,,8074053.001728,11045536.441343999,931.282872,7266317.4144,,,327412007.8524
1990-05-08,,6831268.0667135995,10652103.2752128,931.188384,7780097.4336,,,326364043.2444
1990-05-09,,6984350.04672,8926193.862143999,931.0969440000001,7877960.2944,,,325349888.32320005
1990-05-10,,7667799.800832,8802250.5489408,931.066464,7902426.0095999995,,,325016231.9832
1990-05-11,,8667004.0753152,8877140.103168,931.1121840000001,8073686.016,,,325519541.1624
1990-05-12,,8449601.730048,8378700.0873984,931.130472,8171548.8768,,,325723102.36679995
1990-05-13,,8245533.1995648,7718639.5570176,931.130472,8171548.8768,,,325723102.36679995
1990-05-14,,7842876.458803199,6858082.4905728,931.0938960000001,8196014.592,,,325321604.6268
1990-05-15,,8138104.2441216,7315395.6390912,931.084752,8196014.592,,,325214168.5188
1990-05-16,,8005597.9305984,6752121.4780415995,931.0634160000001,8171548.8768,,,324976649.61
1990-05-17,,8111754.6688512,6875991.3940992,931.048176,8220480.3072,,,324812670.7788
1990-05-18,,8229067.7732352,6803426.082816,931.04208,8269411.7376,,,324744792.3744
1990-05-19,,8054309.169561599,6640288.6938624,931.0207440000001,8269411.7376,,,324507273.46559995
1990-05-20,,8167022.7194880005,7368437.3096448,931.008552,8269411.7376,,,324377215.33440006
1990-05-21,,8964874.1578752,5469946.741555201,931.069512,8269411.7376,,,325044528.01440006
1990-05-22,,9418737.6405504,9844759.139328,931.1700960000001,8244946.0224,,,326170386.8844
1990-05-23,,8508588.569395201,8667591.25248,931.197528,8196014.592,,,326466545.4324
1990-05-24,,7816110.966374399,9486360.8773632,931.1822880000001,8024754.5856,,,326295708.4524
1990-05-25,,7823866.5980928,8390859.5478528,931.2097200000001,7339714.56,,,326603227.3512
1990-05-26,,7808673.388953599,8258915.9457792,931.2554400000001,7021660.2624,,,327115849.3044
1990-05-27,,7818435.2093184,8088805.8279936,931.3072559999999,6972728.8319999995,,,327691082.7024
1990-05-28,,8060547.926937601,8626831.3709568,931.3804080000001,6972728.8319999995,,,328505561.8812
1990-05-29,,6694162.1987328,10328935.643136,931.383456,6410017.3824,,,328539716.94240004
1990-05-30,,4810155.3340416,16975193.9715072,931.276776,5676045.9264,,,327355070.41559994
1990-05-31,,5190915.2596992,15749975.4200064,931.228008,5406923.0592,,,326808293.4012
1990-06-01,,6079363.241471999,14534322.963148799,931.2615360000001,5357991.6288,,,327184196.4312
1990-06-02,,6751167.3151488,12448571.8109184,931.356024,5357991.6288,,,328237859.7168
1990-06-03,,6643346.9082624,12031186.7096064,931.441368,5357991.6288,,,329183322.1368
1990-06-04,,4853948.9642496,11853100.768665599,931.365168,5406923.0592,,,328334687.8968
1990-06-05,,3006347.083776,10674538.336051201,931.099992,5994100.223999999,,,325389483.0312
1990-06-06,,5279652.4087296,11018697.5517696,930.999408,6483414.528,,,324269791.5612
1990-06-07,,6865226.4794112,11236197.7598976,931.0116,6850400.256,,,324411136.03440005
1990-06-08,,7747533.5666688,10374270.6134016,931.0817040000001,7095057.408,,,325185884.82240003
1990-06-09,,8384009.1475968,11802970.518220799,931.2005760000001,7192920.2688,,,326506436.1756
1990-06-10,,8410578.914304,13109537.572761599,931.322496,7192920.2688,,,327861956.68679994
1990-06-11,,7697476.7133696,15465537.015091201,931.359072,7315248.8448,,,328266340.77
1990-06-12,,7014516.2735616,12062943.207936,931.304208,7608837.4272,,,327662626.3188
1990-06-13,,6972508.640563199,8351298.4863744,931.22496,7804563.1488,,,326774101.33559996
1990-06-14,,7075289.1101184,11363541.8075136,931.14876,7877960.2944,,,325921038.9024
1990-06-15,,7253179.3253376,8918609.490432,931.084752,7926891.7248,,,325214168.5188
1990-06-16,,8233691.793408,8166753.5966208,931.1030400000001,7951357.4399999995,,,325423403.7312
1990-06-17,,8658563.4035712,7480196.6966784,931.157904,8049220.3008,,,326028499.68
1990-06-18,,8368277.6927232,7488368.245555201,931.17924,8049220.3008,,,326267215.0644
1990-06-19,,8201421.5150592,7570157.1314688,931.1822880000001,8049220.3008,,,326295708.4524
1990-06-20,,8243942.9280768,8253655.8170112,931.17924,8098151.7312,,,326267215.0644
1990-06-21,,8213409.7155072,8528038.8129792,931.157904,8244946.0224,,,326028499.68
1990-06-22,,8587319.2409088,8637327.1627776,931.136568,8563000.32,,,325796642.4444
1990-06-23,,8955846.3089664,8647137.9145728,931.139616,8660863.1808,,,325824901.4712
1990-06-24,,8859353.5282176,8348338.1348352,931.1335200000001,8660863.1808,,,325757060.0712
1990-06-25,,9377292.7190016,7777528.533503999,931.1457120000001,8929986.048,,,325892779.8756
1990-06-26,,9805344.8721408,7092831.0279168,931.154856,9296971.776,,,325988917.30679995
1990-06-27,,9787411.5028992,6743411.6834304,931.1518080000001,9419300.352,,,325960621.27559996
1990-06-28,,9646831.50336,6163280.644608,931.136568,9394834.6368,,,325796642.4444
1990-06-29,,9615613.2507648,5661464.3601408,931.11828,9394834.6368,,,325587382.5624
1990-06-30,,9576174.5178624,5306222.1754368,931.0969440000001,9394834.6368,,,325349888.32320005
1990-07-01,,9334037.334528,5017991.5846656,931.054272,9394834.6368,,,324880512.1788
1990-07-02,,9775129.7138688,4828651.4147328,931.051224,9468231.782399999,,,324852228.4824
1990-07-03,,10585483.1327232,5066091.1807488,931.1213280000001,9468231.782399999,,,325626964.9356
1990-07-04,,10654305.1895808,4293586.2233088,931.206672,9370368.9216,,,326574783.3024
1990-07-05,,9893763.9668736,4084061.8383359998,931.231056,9296971.776,,,326842448.4624
1990-07-06,,9353340.7838208,3671251.8257664,931.2097200000001,9248040.3456,,,326603227.3512
1990-07-07,,9255428.9915904,3543198.2724096,931.1822880000001,9248040.3456,,,326295708.4524
1990-07-08,,9140219.938713599,3424931.0051328,931.142664,9248040.3456,,,325864483.84440005
1990-07-09,,8898596.5353984,3084148.0581119996,931.0938960000001,9150177.4848,,,325321604.6268
1990-07-10,,9367726.6243584,3283690.4312832,931.1030400000001,8954451.7632,,,325423403.7312
1990-07-11,,9420230.0491776,3040721.413632,931.1274240000001,8856588.9024,,,325683507.6588
1990-07-12,,9147926.6390016,2861240.9269248,931.1274240000001,8832123.1872,,,325683507.6588
1990-07-13,,9174349.6114176,2781605.0239488003,931.130472,8832123.1872,,,325723102.36679995
1990-07-14,,9242731.2854016,2420491.0675968,931.139616,8832123.1872,,,325824901.4712
1990-07-15,,8976275.1811584,2260901.2073472,931.124376,8832123.1872,,,325655260.9668
1990-07-16,,9041060.395008,2064661.705728,931.1152320000001,8856588.9024,,,325559123.53559995
1990-07-17,,9087129.3367296,1966211.6677632,931.1030400000001,8929986.048,,,325423403.7312
1990-07-18,,9304556.147712,1944363.7840896,931.099992,9027848.9088,,,325389483.0312
1990-07-19,,9572333.400576001,1873951.4557440002,931.11828,9076780.3392,,,325587382.5624
1990-07-20,,9309326.962176,1412210.0127744,931.1121840000001,9052314.624,,,325519541.1624
1990-07-21,,9309791.810764799,1735842.4934399999,931.106088,9052314.624,,,325451650.4232
1990-07-22,,9011505.811046401,1788737.3697024,931.07256,9052314.624,,,325084073.38320005
1990-07-23,,9233727.902208,1666041.8079744,931.0634160000001,9027848.9088,,,324976649.61
1990-07-24,,9422750.0178432,1747953.0224640002,931.0756080000001,8978917.4784,,,325118043.4224
1990-07-25,,10119166.601011202,1437654.3565824,931.157904,8905520.332799999,,,326028499.68
1990-07-26,,9529689.6589824,1639153.9869696,931.188384,8905520.332799999,,,326364043.2444
