date,avg discharge (cfs),avg discharge (m3/d)
1999-01-01 00:00:00+00:00,34.0,83183.43168
1999-01-02 00:00:00+00:00,28.0,68504.00256
1999-01-03 00:00:00+00:00,24.0,58717.716479999995
1999-01-04 00:00:00+00:00,22.0,53824.57344
1999-01-05 00:00:00+00:00,20.0,48931.4304
1999-01-06 00:00:00+00:00,19.0,46484.85888
1999-01-07 00:00:00+00:00,17.0,41591.71584
1999-01-08 00:00:00+00:00,15.0,36698.5728
1999-01-09 00:00:00+00:00,15.0,36698.5728
1999-01-10 00:00:00+00:00,18.0,44038.28736
1999-01-11 00:00:00+00:00,20.0,48931.4304
1999-01-12 00:00:00+00:00,20.0,48931.4304
1999-01-13 00:00:00+00:00,20.0,48931.4304
1999-01-14 00:00:00+00:00,40.0,97862.8608
1999-01-15 00:00:00+00:00,96.0,234870.86591999998
1999-01-16 00:00:00+00:00,64.0,156580.57728
1999-01-17 00:00:00+00:00,47.0,114988.86144
1999-01-18 00:00:00+00:00,43.0,105202.57536
1999-01-19 00:00:00+00:00,41.0,100309.43231999999
1999-01-20 00:00:00+00:00,39.0,95416.28928000001
1999-01-21 00:00:00+00:00,34.0,83183.43168
1999-01-22 00:00:00+00:00,30.0,73397.1456
1999-01-23 00:00:00+00:00,28.0,68504.00256
1999-01-24 00:00:00+00:00,25.0,61164.288
1999-01-25 00:00:00+00:00,23.0,56271.144960000005
1999-01-26 00:00:00+00:00,21.0,51378.001919999995
1999-01-27 00:00:00+00:00,20.0,48931.4304
1999-01-28 00:00:00+00:00,20.0,48931.4304
1999-01-29 00:00:00+00:00,18.0,44038.28736
1999-01-30 00:00:00+00:00,17.0,41591.71584
1999-01-31 00:00:00+00:00,17.0,41591.71584
1999-02-01 00:00:00+00:00,16.0,39145.14432
1999-02-02 00:00:00+00:00,16.0,39145.14432
1999-02-03 00:00:00+00:00,15.0,36698.5728
1999-02-04 00:00:00+00:00,15.0,36698.5728
1999-02-05 00:00:00+00:00,14.0,34252.00128
1999-02-06 00:00:00+00:00,16.0,39145.14432
1999-02-07 00:00:00+00:00,16.0,39145.14432
1999-02-08 00:00:00+00:00,15.0,36698.5728
1999-02-09 00:00:00+00:00,14.0,34252.00128
1999-02-10 00:00:00+00:00,14.0,34252.00128
1999-02-11 00:00:00+00:00,13.0,31805.429760000003
1999-02-12 00:00:00+00:00,12.0,29358.858239999998
1999-02-13 00:00:00+00:00,12.0,29358.858239999998
1999-02-14 00:00:00+00:00,12.0,29358.858239999998
1999-02-15 00:00:00+00:00,12.0,29358.858239999998
1999-02-16 00:00:00+00:00,12.0,29358.858239999998
1999-02-17 00:00:00+00:00,12.0,29358.858239999998
1999-02-18 00:00:00+00:00,11.0,26912.28672
1999-02-19 00:00:00+00:00,11.0,26912.28672
1999-02-20 00:00:00+00:00,10.0,24465.7152
1999-02-21 00:00:00+00:00,11.0,26912.28672
1999-02-22 00:00:00+00:00,10.0,24465.7152
1999-02-23 00:00:00+00:00,12.0,29358.858239999998
1999-02-24 00:00:00+00:00,38.0,92969.71776
1999-02-25 00:00:00+00:00,55.0,134561.4336
1999-02-26 00:00:00+00:00,45.0,110095.7184
1999-02-27 00:00:00+00:00,36.0,88076.57472
1999-02-28 00:00:00+00:00,55.0,134561.4336
1999-03-01 00:00:00+00:00,64.0,156580.57728
1999-03-02 00:00:00+00:00,51.0,124775.14752
1999-03-03 00:00:00+00:00,43.0,105202.57536
1999-03-04 00:00:00+00:00,36.0,88076.57472
1999-03-05 00:00:00+00:00,31.0,75843.71712
1999-03-06 00:00:00+00:00,28.0,68504.00256
1999-03-07 00:00:00+00:00,27.0,66057.43104
1999-03-08 00:00:00+00:00,25.0,61164.288
1999-03-09 00:00:00+00:00,25.0,61164.288
1999-03-10 00:00:00+00:00,24.0,58717.716479999995
1999-03-11 00:00:00+00:00,23.0,56271.144960000005
1999-03-12 00:00:00+00:00,23.0,56271.144960000005
1999-03-13 00:00:00+00:00,24.0,58717.716479999995
1999-03-14 00:00:00+00:00,31.0,75843.71712
1999-03-15 00:00:00+00:00,41.0,100309.43231999999
1999-03-16 00:00:00+00:00,40.0,97862.8608
1999-03-17 00:00:00+00:00,37.0,90523.14624
1999-03-18 00:00:00+00:00,36.0,88076.57472
1999-03-19 00:00:00+00:00,40.0,97862.8608
1999-03-20 00:00:00+00:00,65.0,159027.1488
1999-03-21 00:00:00+00:00,98.0,239764.00896
1999-03-22 00:00:00+00:00,105.0,256890.0096
1999-03-23 00:00:00+00:00,103.0,251996.86656
1999-03-24 00:00:00+00:00,106.0,259336.58112000002
1999-03-25 00:00:00+00:00,120.0,293588.5824
1999-03-26 00:00:00+00:00,135.0,330287.1552
1999-03-27 00:00:00+00:00,109.0,266676.29568
1999-03-28 00:00:00+00:00,100.0,244657.152
1999-03-29 00:00:00+00:00,89.0,217744.86528
1999-03-30 00:00:00+00:00,79.0,193279.15008
1999-03-31 00:00:00+00:00,72.0,176153.14944
1999-04-01 00:00:00+00:00,64.0,156580.57728
1999-04-02 00:00:00+00:00,57.0,139454.57663999998
1999-04-03 00:00:00+00:00,54.0,132114.86208
1999-04-04 00:00:00+00:00,51.0,124775.14752
1999-04-05 00:00:00+00:00,48.0,117435.43295999999
1999-04-06 00:00:00+00:00,46.0,112542.28992000001
1999-04-07 00:00:00+00:00,46.0,112542.28992000001
1999-04-08 00:00:00+00:00,48.0,117435.43295999999
1999-04-09 00:00:00+00:00,45.0,110095.7184
1999-04-10 00:00:00+00:00,44.0,107649.14688
1999-04-11 00:00:00+00:00,43.0,105202.57536
1999-04-12 00:00:00+00:00,47.0,114988.86144
1999-04-13 00:00:00+00:00,49.0,119882.00448
1999-04-14 00:00:00+00:00,48.0,117435.43295999999
1999-04-15 00:00:00+00:00,51.0,124775.14752
1999-04-16 00:00:00+00:00,64.0,156580.57728
1999-04-17 00:00:00+00:00,82.0,200618.86463999999
1999-04-18 00:00:00+00:00,106.0,259336.58112000002
1999-04-19 00:00:00+00:00,142.0,347413.15584
1999-04-20 00:00:00+00:00,134.0,327840.58368000004
1999-04-21 00:00:00+00:00,131.0,320500.86912
1999-04-22 00:00:00+00:00,104.0,254443.43808000002
1999-04-23 00:00:00+00:00,94.0,229977.72288
1999-04-24 00:00:00+00:00,111.0,271569.43872000003
1999-04-25 00:00:00+00:00,151.0,369432.29951999994
1999-04-26 00:00:00+00:00,182.0,445276.01664
1999-04-27 00:00:00+00:00,144.0,352306.29888
1999-04-28 00:00:00+00:00,123.0,300928.29696
1999-04-29 00:00:00+00:00,100.0,244657.152
1999-04-30 00:00:00+00:00,97.0,237317.43744
1999-05-01 00:00:00+00:00,114.0,278909.15327999997
1999-05-02 00:00:00+00:00,122.0,298481.72543999995
1999-05-03 00:00:00+00:00,114.0,278909.15327999997
1999-05-04 00:00:00+00:00,104.0,254443.43808000002
1999-05-05 00:00:00+00:00,93.0,227531.15136
1999-05-06 00:00:00+00:00,84.0,205512.00767999998
1999-05-07 00:00:00+00:00,87.0,212851.72223999997
1999-05-08 00:00:00+00:00,87.0,212851.72223999997
1999-05-09 00:00:00+00:00,86.0,210405.15072
1999-05-10 00:00:00+00:00,77.0,188386.00704
1999-05-11 00:00:00+00:00,74.0,181046.29248
1999-05-12 00:00:00+00:00,80.0,195725.7216
1999-05-13 00:00:00+00:00,83.0,203065.43616
1999-05-14 00:00:00+00:00,83.0,203065.43616
1999-05-15 00:00:00+00:00,77.0,188386.00704
1999-05-16 00:00:00+00:00,79.0,193279.15008
1999-05-17 00:00:00+00:00,90.0,220191.4368
1999-05-18 00:00:00+00:00,107.0,261783.15264
1999-05-19 00:00:00+00:00,126.0,308268.01152
1999-05-20 00:00:00+00:00,136.0,332733.72672
1999-05-21 00:00:00+00:00,144.0,352306.29888
1999-05-22 00:00:00+00:00,172.0,420810.30144
1999-05-23 00:00:00+00:00,206.0,503993.73312
1999-05-24 00:00:00+00:00,287.0,702166.0262399999
1999-05-25 00:00:00+00:00,326.0,797582.31552
1999-05-26 00:00:00+00:00,270.0,660574.3104
1999-05-27 00:00:00+00:00,202.0,494207.44703999994
1999-05-28 00:00:00+00:00,211.0,516226.59072
1999-05-29 00:00:00+00:00,206.0,503993.73312
1999-05-30 00:00:00+00:00,182.0,445276.01664
1999-05-31 00:00:00+00:00,163.0,398791.15776
1999-06-01 00:00:00+00:00,162.0,396344.58624000003
1999-06-02 00:00:00+00:00,157.0,384111.72864
1999-06-03 00:00:00+00:00,151.0,369432.29951999994
1999-06-04 00:00:00+00:00,151.0,369432.29951999994
1999-06-05 00:00:00+00:00,151.0,369432.29951999994
1999-06-06 00:00:00+00:00,143.0,349859.72736
1999-06-07 00:00:00+00:00,134.0,327840.58368000004
1999-06-08 00:00:00+00:00,124.0,303374.86848
1999-06-09 00:00:00+00:00,109.0,266676.29568
1999-06-10 00:00:00+00:00,100.0,244657.152
1999-06-11 00:00:00+00:00,102.0,249550.29504
1999-06-12 00:00:00+00:00,110.0,269122.8672
1999-06-13 00:00:00+00:00,127.0,310714.58304
1999-06-14 00:00:00+00:00,158.0,386558.30016
1999-06-15 00:00:00+00:00,181.0,442829.44512
1999-06-16 00:00:00+00:00,194.0,474634.87488
1999-06-17 00:00:00+00:00,163.0,398791.15776
1999-06-18 00:00:00+00:00,141.0,344966.58432
1999-06-19 00:00:00+00:00,122.0,298481.72543999995
1999-06-20 00:00:00+00:00,106.0,259336.58112000002
1999-06-21 00:00:00+00:00,100.0,244657.152
1999-06-22 00:00:00+00:00,96.0,234870.86591999998
1999-06-23 00:00:00+00:00,85.0,207958.5792
1999-06-24 00:00:00+00:00,78.0,190832.57856000002
1999-06-25 00:00:00+00:00,88.0,215298.29376
1999-06-26 00:00:00+00:00,75.0,183492.864
1999-06-27 00:00:00+00:00,66.0,161473.72032
1999-06-28 00:00:00+00:00,63.0,154134.00576
1999-06-29 00:00:00+00:00,58.0,141901.14816
1999-06-30 00:00:00+00:00,57.0,139454.57663999998
1999-07-01 00:00:00+00:00,54.0,132114.86208
1999-07-02 00:00:00+00:00,49.0,119882.00448
1999-07-03 00:00:00+00:00,44.0,107649.14688
1999-07-04 00:00:00+00:00,41.0,100309.43231999999
1999-07-05 00:00:00+00:00,38.0,92969.71776
1999-07-06 00:00:00+00:00,35.0,85630.00319999999
1999-07-07 00:00:00+00:00,35.0,85630.00319999999
1999-07-08 00:00:00+00:00,33.0,80736.86016
1999-07-09 00:00:00+00:00,32.0,78290.28864
1999-07-10 00:00:00+00:00,31.0,75843.71712
1999-07-11 00:00:00+00:00,30.0,73397.1456
1999-07-12 00:00:00+00:00,28.0,68504.00256
1999-07-13 00:00:00+00:00,27.0,66057.43104
1999-07-14 00:00:00+00:00,26.0,63610.859520000005
1999-07-15 00:00:00+00:00,26.0,63610.859520000005
1999-07-16 00:00:00+00:00,25.0,61164.288
1999-07-17 00:00:00+00:00,24.0,58717.716479999995
1999-07-18 00:00:00+00:00,24.0,58717.716479999995
1999-07-19 00:00:00+00:00,21.0,51378.001919999995
1999-07-20 00:00:00+00:00,20.0,48931.4304
1999-07-21 00:00:00+00:00,20.0,48931.4304
1999-07-22 00:00:00+00:00,18.0,44038.28736
1999-07-23 00:00:00+00:00,18.0,44038.28736
1999-07-24 00:00:00+00:00,18.0,44038.28736
1999-07-25 00:00:00+00:00,17.0,41591.71584
1999-07-26 00:00:00+00:00,16.0,39145.14432
1999-07-27 00:00:00+00:00,15.0,36698.5728
1999-07-28 00:00:00+00:00,15.0,36698.5728
1999-07-29 00:00:00+00:00,14.0,34252.00128
1999-07-30 00:00:00+00:00,14.0,34252.00128
1999-07-31 00:00:00+00:00,14.0,34252.00128
1999-08-01 00:00:00+00:00,14.0,34252.00128
1999-08-02 00:00:00+00:00,13.0,31805.429760000003
1999-08-03 00:00:00+00:00,13.0,31805.429760000003
1999-08-04 00:00:00+00:00,15.0,36698.5728
1999-08-05 00:00:00+00:00,13.0,31805.429760000003
1999-08-06 00:00:00+00:00,12.0,29358.858239999998
1999-08-07 00:00:00+00:00,16.0,39145.14432
1999-08-08 00:00:00+00:00,15.0,36698.5728
1999-08-09 00:00:00+00:00,13.0,31805.429760000003
1999-08-10 00:00:00+00:00,12.0,29358.858239999998
1999-08-11 00:00:00+00:00,12.0,29358.858239999998
1999-08-12 00:00:00+00:00,12.0,29358.858239999998
1999-08-13 00:00:00+00:00,12.0,29358.858239999998
1999-08-14 00:00:00+00:00,12.0,29358.858239999998
1999-08-15 00:00:00+00:00,11.0,26912.28672
1999-08-16 00:00:00+00:00,11.0,26912.28672
1999-08-17 00:00:00+00:00,10.0,24465.7152
1999-08-18 00:00:00+00:00,9.7,23731.743743999996
1999-08-19 00:00:00+00:00,9.7,23731.743743999996
1999-08-20 00:00:00+00:00,9.1,22263.800832
1999-08-21 00:00:00+00:00,9.1,22263.800832
1999-08-22 00:00:00+00:00,8.6,21040.515072
1999-08-23 00:00:00+00:00,8.5,20795.85792
1999-08-24 00:00:00+00:00,8.4,20551.200768000002
1999-08-25 00:00:00+00:00,8.0,19572.57216
1999-08-26 00:00:00+00:00,7.8,19083.257856
1999-08-27 00:00:00+00:00,7.6,18593.943551999997
1999-08-28 00:00:00+00:00,7.8,19083.257856
1999-08-29 00:00:00+00:00,7.7,18838.600704
1999-08-30 00:00:00+00:00,7.8,19083.257856
1999-08-31 00:00:00+00:00,9.0,22019.14368
1999-09-01 00:00:00+00:00,7.7,18838.600704
1999-09-02 00:00:00+00:00,7.4,18104.629248
1999-09-03 00:00:00+00:00,7.1,17370.657791999998
1999-09-04 00:00:00+00:00,6.9,16881.343488000002
1999-09-05 00:00:00+00:00,6.8,16636.686336
1999-09-06 00:00:00+00:00,7.1,17370.657791999998
1999-09-07 00:00:00+00:00,6.8,16636.686336
1999-09-08 00:00:00+00:00,6.4,15658.057728
1999-09-09 00:00:00+00:00,6.1,14924.086271999999
1999-09-10 00:00:00+00:00,5.9,14434.771968000001
1999-09-11 00:00:00+00:00,5.9,14434.771968000001
1999-09-12 00:00:00+00:00,5.8,14190.114816
1999-09-13 00:00:00+00:00,5.5,13456.14336
1999-09-14 00:00:00+00:00,5.5,13456.14336
1999-09-15 00:00:00+00:00,5.4,13211.486208
1999-09-16 00:00:00+00:00,5.3,12966.829056
1999-09-17 00:00:00+00:00,5.2,12722.171903999999
1999-09-18 00:00:00+00:00,5.3,12966.829056
1999-09-19 00:00:00+00:00,5.1,12477.514752
1999-09-20 00:00:00+00:00,5.0,12232.8576
1999-09-21 00:00:00+00:00,4.9,11988.200448000001
1999-09-22 00:00:00+00:00,4.8,11743.543295999998
1999-09-23 00:00:00+00:00,4.9,11988.200448000001
1999-09-24 00:00:00+00:00,5.4,13211.486208
1999-09-25 00:00:00+00:00,6.1,14924.086271999999
1999-09-26 00:00:00+00:00,6.4,15658.057728
1999-09-27 00:00:00+00:00,6.2,15168.743424
1999-09-28 00:00:00+00:00,5.8,14190.114816
1999-09-29 00:00:00+00:00,5.4,13211.486208
1999-09-30 00:00:00+00:00,5.5,13456.14336
1999-10-01 00:00:00+00:00,5.3,12966.829056
1999-10-02 00:00:00+00:00,5.3,12966.829056
1999-10-03 00:00:00+00:00,5.2,12722.171903999999
1999-10-04 00:00:00+00:00,5.2,12722.171903999999
1999-10-05 00:00:00+00:00,5.1,12477.514752
1999-10-06 00:00:00+00:00,5.2,12722.171903999999
1999-10-07 00:00:00+00:00,5.2,12722.171903999999
1999-10-08 00:00:00+00:00,12.0,29358.858239999998
1999-10-09 00:00:00+00:00,12.0,29358.858239999998
