date,max water temperature (C),min water temperature (C),avg water temperature (C)
2023-08-18 00:00:00+00:00,12.4,8.5,9.7
2023-08-19 00:00:00+00:00,11.2,7.4,8.9
2023-08-20 00:00:00+00:00,10.8,7.6,8.9
2023-08-21 00:00:00+00:00,10.1,7.9,8.8
2023-08-22 00:00:00+00:00,10.8,7.6,8.6
2023-08-23 00:00:00+00:00,10.6,6.7,8.1
2023-08-24 00:00:00+00:00,10.8,6.8,8.4
2023-08-25 00:00:00+00:00,10.6,7.6,8.8
2023-08-26 00:00:00+00:00,11.5,7.7,9.1
2023-08-27 00:00:00+00:00,11.7,7.8,9.2
2023-08-28 00:00:00+00:00,11.0,8.0,9.1
2023-08-29 00:00:00+00:00,9.7,8.1,8.7
2023-08-30 00:00:00+00:00,9.8,7.8,8.5
2023-08-31 00:00:00+00:00,8.2,7.3,7.8
2023-09-01 00:00:00+00:00,10.2,7.7,8.5
2023-09-02 00:00:00+00:00,10.1,7.6,8.5
2023-09-03 00:00:00+00:00,9.7,7.8,8.5
2023-09-04 00:00:00+00:00,10.2,7.8,8.5
2023-09-05 00:00:00+00:00,10.5,7.3,8.3
2023-09-06 00:00:00+00:00,10.2,6.6,7.8
2023-09-07 00:00:00+00:00,10.2,6.6,7.8
2023-09-08 00:00:00+00:00,10.2,6.6,7.8
2023-09-09 00:00:00+00:00,10.4,6.9,8.1
2023-09-10 00:00:00+00:00,10.6,7.2,8.3
2023-09-11 00:00:00+00:00,10.2,7.2,8.2
2023-09-12 00:00:00+00:00,10.4,7.2,8.2
2023-09-13 00:00:00+00:00,10.2,6.8,8.0
2023-09-14 00:00:00+00:00,10.2,6.7,7.9
2023-09-15 00:00:00+00:00,10.0,6.6,7.8
2023-09-16 00:00:00+00:00,9.8,6.7,7.9
2023-09-17 00:00:00+00:00,9.8,7.0,7.9
2023-09-18 00:00:00+00:00,9.7,7.0,7.8
2023-09-19 00:00:00+00:00,9.4,6.6,7.5
2023-09-20 00:00:00+00:00,7.9,6.4,6.9
2023-09-21 00:00:00+00:00,7.7,5.5,6.5
2023-09-22 00:00:00+00:00,8.6,5.4,6.6
2023-09-23 00:00:00+00:00,7.4,6.1,6.7
2023-09-24 00:00:00+00:00,6.9,6.2,6.6
2023-09-25 00:00:00+00:00,7.3,6.7,7.0
2023-09-26 00:00:00+00:00,7.8,6.7,7.1
2023-09-27 00:00:00+00:00,7.8,6.6,7.1
2023-09-28 00:00:00+00:00,8.0,6.6,7.1
2023-09-29 00:00:00+00:00,7.8,6.7,7.2
2023-09-30 00:00:00+00:00,8.4,6.2,7.2
2023-10-01 00:00:00+00:00,7.8,5.1,6.1
2023-10-02 00:00:00+00:00,6.7,5.4,6.2
2023-10-03 00:00:00+00:00,7.7,6.5,7.0
2023-10-04 00:00:00+00:00,8.6,6.6,7.1
2023-10-05 00:00:00+00:00,8.6,6.1,7.0
2023-10-06 00:00:00+00:00,8.9,6.4,7.2
2023-10-07 00:00:00+00:00,8.7,6.4,7.3
2023-10-08 00:00:00+00:00,8.9,6.5,7.3
2023-10-09 00:00:00+00:00,7.5,6.6,6.9
2023-10-10 00:00:00+00:00,7.6,6.6,7.0
2023-10-11 00:00:00+00:00,7.8,6.8,7.4
2023-10-12 00:00:00+00:00,8.4,6.6,7.4
