date,sockeye,steelhead,lamprey,avg_temp(C),chinook,shad,bull_trout,coho
2006-01-30,,,,3.6,,,,
2006-01-31,,,,3.6,,,,
2006-02-01,,,,3.6,,,,
2006-02-02,,,,3.6,,,,
2006-02-03,,,,3.6,,,,
2006-02-04,,,,3.6,,,,
2006-02-05,,,,3.7,,,,
2006-02-06,,,,3.7,,,,
2006-02-07,,,,3.7,,,,
2006-02-08,,,,3.8,,,,
2006-02-09,,,,3.7,,,,
2006-02-10,,,,3.7,,,,
2006-02-11,,,,3.6,,,,
2006-02-12,,,,3.7,,,,
2006-02-13,,,,3.6,,,,
2006-02-14,,,,3.6,,,,
2006-02-15,,,,3.5,,,,
2006-02-16,,,,,,,,
2006-02-17,,,,,,,,
2006-02-18,,,,,,,,
2006-02-19,,,,,,,,
2006-02-20,,,,,,,,
2006-02-21,,,,,,,,
2006-02-22,,,,,,,,
2006-02-23,,,,,,,,
2006-02-24,,,,,,,,
2006-02-25,,,,,,,,
2006-02-26,,,,,,,,
2006-02-27,,,,3.4,,,,
2006-02-28,,,,3.4,,,,
2006-03-01,,,,3.5,,,,
2006-03-02,,,,3.5,,,,
2006-03-03,,,,,,,,
2006-03-04,,,,,,,,
2006-03-05,,,,,,,,
2006-03-06,,,,,,,,
2006-03-07,,,,,,,,
2006-03-08,,,,,,,,
2006-03-09,,,,,,,,
2006-03-10,,,,,,,,
2006-03-11,,,,,,,,
2006-03-12,,,,,,,,
2006-03-13,,,,,,,,
2006-03-14,,,,,,,,
2006-03-15,,,,,,,,
2006-03-16,,,,,,,,
2006-03-17,,,,,,,,
2006-03-18,,,,,,,,
2006-03-19,,,,,,,,
2006-03-20,,,,,,,,
2006-03-21,,,,,,,,
2006-03-22,,,,,,,,
2006-03-23,,,,,,,,
2006-03-24,,,,,,,,
2006-03-25,,,,,,,,
2006-03-26,,,,,,,,
2006-03-27,,,,,,,,
2006-03-28,,,,,,,,
2006-03-29,,,,,,,,
2006-03-30,,,,,,,,
2006-03-31,,,,,,,,
2006-04-05,,,,5.4,,,,
2006-04-06,,,,5.4,,,,
2006-04-07,,,,5.5,,,,
2006-04-08,,,,5.6,,,,
2006-04-09,,,,5.4,,,,
2006-04-10,,,,5.4,,,,
2006-04-11,,,,5.5,,,,
2006-04-12,,,,5.6,,,,
2006-04-13,,,,5.7,,,,
2006-04-14,,,,5.7,,,,
2006-04-15,,,,5.7,,,,
2006-04-16,,,,5.7,,,,
2006-04-17,,-1.0,,5.7,,,,
2006-04-18,,3.0,,6.0,,,,
2006-04-19,,2.0,,6.3,1.0,,,
2006-04-20,,3.0,,6.6,2.0,,,
2006-04-21,,,,6.8,,,,
2006-04-22,,4.0,,7.1,1.0,,,
2006-04-23,,2.0,,7.3,1.0,,,
2006-04-24,,2.0,,7.5,,,,
2006-04-25,,1.0,,7.9,,,,
2006-04-26,,1.0,,8.1,2.0,,,
2006-04-27,,2.0,,8.3,,,,
2006-04-28,,,,8.8,1.0,,,
2006-04-29,,,,8.9,3.0,,,
2006-04-30,,,,8.9,7.0,,,
2006-05-01,,,,8.9,4.0,,,
2006-05-02,,,,9.7,4.0,,,
2006-05-03,,,,9.3,4.0,,,
2006-05-04,,1.0,,9.5,5.0,,,
2006-05-05,,,,9.7,5.0,,,
2006-05-06,,,,9.5,18.0,,,
2006-05-07,,,,9.5,23.0,,,
2006-05-08,,,,9.4,32.0,,,
2006-05-09,,,,9.6,41.0,,,
2006-05-10,,,,10.2,61.0,,,
2006-05-11,,,,10.0,132.0,,,
2006-05-12,,,,9.9,207.0,,,
2006-05-13,,,,10.8,184.0,,,
2006-05-14,,,,11.3,509.0,,,
2006-05-15,,1.0,,11.9,544.0,,,
2006-05-16,,,,11.7,715.0,,,
2006-05-17,,,,11.8,643.0,,,
2006-05-18,,1.0,,12.3,37.0,,,
2006-05-19,,,,12.5,579.0,,,
2006-05-20,,2.0,,12.2,537.0,,,
2006-05-21,,2.0,1.0,12.3,547.0,,,
2006-05-22,,,,12.0,430.0,,,
2006-05-23,,,,12.1,334.0,,,
2006-05-24,,,,11.8,105.0,,,
2006-05-25,,,,11.5,97.0,,,
2006-05-26,,1.0,,11.3,112.0,,,
2006-05-27,,13.0,,11.5,154.0,,,
2006-05-28,,5.0,,11.6,139.0,,,
2006-05-29,,,,11.8,205.0,,,
2006-05-30,,,,12.3,134.0,,,
2006-05-31,,,,13.0,149.0,,,
2006-06-01,,,,12.9,246.0,,,
2006-06-02,,3.0,,12.8,165.0,,,
2006-06-03,,-1.0,,13.0,196.0,,,
2006-06-04,,,,13.2,136.0,,,
2006-06-05,,,,13.4,107.0,,,
2006-06-06,,1.0,,13.7,120.0,,,
2006-06-07,,,,13.7,86.0,,,
2006-06-08,,1.0,1.0,13.4,89.0,,,
2006-06-09,,,,14.0,96.0,,,
2006-06-10,,2.0,,14.1,116.0,,,
2006-06-11,2.0,1.0,3.0,14.7,204.0,,,
2006-06-12,10.0,,4.0,14.2,191.0,,,
2006-06-13,11.0,1.0,-1.0,13.7,154.0,,,
2006-06-14,17.0,1.0,2.0,13.4,176.0,,,
2006-06-15,30.0,1.0,2.0,13.4,133.0,,,
2006-06-16,16.0,3.0,7.0,13.8,138.0,,,
2006-06-17,24.0,8.0,,14.1,251.0,,,
2006-06-18,51.0,9.0,7.0,14.5,332.0,,,
2006-06-19,31.0,7.0,8.0,14.0,535.0,,,
2006-06-20,82.0,1.0,1.0,14.1,486.0,1.0,,
2006-06-21,106.0,3.0,1.0,14.3,740.0,,,
2006-06-22,234.0,6.0,,14.6,1298.0,,,
2006-06-23,258.0,4.0,8.0,15.3,978.0,,,
2006-06-24,255.0,5.0,4.0,15.9,783.0,,,
