Date,dS (m3),GranD_ID
2019-12-01,-136448.78633816668,389
2019-12-15,64353.77284230002,389
2020-01-01,-29118.575310143035,389
2020-01-15,127843.79032334572,389
2020-02-01,170517.96751683333,389
2020-02-15,325715.2245858925,389
2020-03-01,-186740.295944675,389
2020-03-15,179742.71720616223,389
2020-04-01,56759.679691148485,389
2020-04-15,49275.964321141655,389
2020-05-01,-27981.5396294464,389
2020-05-15,-205269.4667774603,389
2020-06-01,-676046.7608845667,389
2020-06-15,-524099.4547605375,389
2020-07-01,614617.5104271255,389
2020-07-15,-38533.3780108667,389
2020-08-01,-1757.9034290028283,389
2020-08-15,-20362.92393713584,389
2020-09-01,-422474.45102428924,389
2020-09-15,387028.16969717725,389
2020-10-01,-232619.22017744998,389
2020-10-15,17797.04698304041,389
2020-11-01,167244.61103909643,389
2020-11-15,-224586.26874995,389
2020-12-01,94077.01594130001,389
2020-12-15,145173.12962046664,389
2021-01-01,146006.411046775,389
2021-01-15,165340.37596340006,389
2021-02-01,-125021.18537047502,389
2021-02-15,-7875.156560950127,389
2021-03-01,-205463.30587511626,389
2021-03-15,491655.622088125,389
2021-04-01,-125856.71117729996,389
2021-04-15,-25081.691793719572,389
2021-05-01,29733.758139442398,389
2021-05-15,-98867.21037894058,389
2021-06-01,-755266.2303755,389
2021-06-15,66312.79155342166,389
2021-07-01,56398.78605093426,389
2021-07-15,-80271.75778905301,389
2021-08-01,66898.99775612545,389
2021-08-15,-60872.25047051875,389
2021-09-01,-52990.23369064301,389
2021-09-15,9637.494316933618,389
2021-10-01,-64837.374183581785,389
2021-10-15,10413.001911876778,389
2021-11-01,31444.393888372306,389
2021-11-15,214121.0067326528,389
2021-12-01,-614779.00835875,389
2021-12-15,553369.906417425,389
2022-01-01,-18102.201713473147,389
2022-01-15,507073.9911715,389
2022-02-01,-376094.2805513416,389
2022-02-15,-90217.60656832426,389
2022-03-01,42206.86120125496,389
2022-03-15,11149.120386105555,389
2022-04-01,42648.16231778001,389
2022-04-15,188928.42350180136,389
2022-05-01,40889.62959558,389
2022-05-15,21707.188737449964,389
2022-06-01,-806771.8533161246,389
2022-06-15,685970.2312347114,389
2022-07-01,-198218.51825316667,389
2022-07-15,-49126.08615539577,389
2022-08-01,-74540.4867063308,389
2022-08-15,-8376.344489890489,389
2022-09-01,-10137.502571779543,389
2022-09-15,56928.74284117376,389
2022-10-01,39770.703425554355,389
2022-10-15,-50819.61281472663,389
2022-11-01,109368.16332298209,389
2022-11-15,24632.614608396612,389
2022-12-01,94196.97804358188,389
2022-12-15,108559.4014168067,389
2023-01-01,-299268.7807225,389
2023-01-15,-465964.24779972836,389
2023-02-01,763445.9931845181,389
2023-02-15,80.92208224832139,389
2023-03-01,19135.49819465828,389
2023-03-15,64850.01804510735,389
2023-04-01,-138117.274511575,389
2023-04-15,0.0,389
2019-06-01,,353
2019-06-15,-21537.333525057773,353
2019-07-01,-23206.603576347305,353
2019-07-15,-3554.4593719678614,353
2019-08-01,-2884.258612435633,353
2019-08-15,8816.090978168075,353
2019-09-01,4412.991852529448,353
2019-09-15,21395.093219850503,353
2019-10-01,14385.059017731188,353
2019-10-15,5787.081960810056,353
2019-11-01,17972.44414313911,353
2019-11-15,-25469.704661361062,353
2019-12-01,-39382.46811502575,353
2019-12-15,-18998.791186735303,353
2020-01-01,-48241.90371594605,353
2020-01-15,-512808.5105994324,353
2020-02-01,665805.284124475,353
2020-02-15,15162.587740147746,353
2020-03-01,20842.76604708479,353
2020-03-15,19940.504171356995,353
2020-04-01,27428.22151340382,353
2020-04-15,31466.699708208835,353
2020-05-01,88.52836585671503,353
2020-05-15,-28562.449150368036,353
2020-06-01,-19179.22366878958,353
2020-06-15,-11326.78973512491,353
2020-07-01,4297.949875719187,353
2020-07-15,5981.310787756991,353
2020-08-01,-28770.07692025816,353
2020-08-15,-8221.439928908756,353
2020-09-01,-6421.683764846943,353
2020-09-15,1566.833984814842,353
2020-10-01,3604.6402093461766,353
2020-10-15,12698.680589943098,353
2020-11-01,-35627.21643374331,353
2020-11-15,-595412.5355721005,353
2020-12-01,-76467.40053763559,353
2020-12-15,166961.72901402315,353
2021-01-01,733629.3932177,353
2021-01-15,19637.33821740035,353
2021-02-01,20945.559369969527,353
2021-02-15,9001.794918830909,353
2021-03-01,24688.485775515826,353
2021-03-15,28126.409488125482,353
2021-04-01,6687.363730493661,353
2021-04-15,-15833.950589754522,353
2021-05-01,-14921.261468809502,353
2021-05-15,-11401.94139118518,353
2021-06-01,-8276.657091450546,353
2021-06-15,-15776.720225899546,353
2021-07-01,-10572.767950997733,353
2021-07-15,-5560.8216797982295,353
2021-08-01,92.75917932788661,353
2021-08-15,-4453.012940461813,353
2021-09-01,-5864.350672441378,353
2021-09-15,-264.98006106481216,353
2021-10-01,2050.176612165225,353
2021-10-15,-3221.8153712033245,353
2021-11-01,2361.4067145517033,353
2021-11-15,-4656.498988503169,353
2021-12-01,-12653.810612799036,353
2021-12-15,-2202.742097416779,353
2022-01-01,-1858.5903725540425,353
2022-01-15,-19820.42886618029,353
2022-02-01,-145121.8542426004,353
2022-02-15,-222255.86208740002,353
2022-03-01,-476557.0459459,353
2022-03-15,-45549.38816203916,353
2022-04-01,0.0,353
2022-04-15,0.0,353
2022-05-01,0.0,353
2022-05-15,0.0,353
2022-06-01,31034.602090565564,353
2022-06-15,153582.7756782,353
2022-07-01,369982.633774425,353
2022-07-15,277548.36192668596,353
2022-08-01,12113.941215510244,353
2022-08-15,10866.40603576425,353
2022-09-01,688.8119286997492,353
2022-09-15,12322.040560968237,353
2022-10-01,-63.520688992335636,353
2022-10-15,-522248.77351253515,353
2022-11-01,-405264.13610929175,353
2022-11-15,0.0,353
2022-12-01,0.0,353
2022-12-15,0.0,353
2023-01-01,1146427.3988129108,353
2023-01-15,20641.557924201337,353
2023-02-01,-32024.191571790194,353
2023-02-15,9312.535294369787,353
2023-03-01,8833.844106978244,353
2023-03-15,22235.3548516929,353
2023-04-01,12580.571685387482,353
2023-04-15,5561.445696516425,353
2019-05-01,0.0,402
2019-05-15,1188837.3538916667,402
2019-06-01,-130294.97954877425,402
2019-06-15,890744.4122615751,402
2019-07-01,112786.44517922236,402
2019-07-15,-322313.99525459995,402
2019-08-01,-428392.6577124667,402
2019-08-15,-107825.57850293341,402
2019-09-01,67764.85743086669,402
2019-09-15,-20901.85138612978,402
2019-10-01,99426.9823026975,402
2019-10-15,-597628.303893575,402
2019-11-01,-224264.1237929333,402
2019-11-15,982258.5261397001,402
2019-12-01,-207922.9482216001,402
2019-12-15,102184.48199542036,402
2020-01-01,-447784.48381979996,402
2020-01-15,-2533429.3240424665,402
2020-02-01,159530.69380839996,402
2020-02-15,2159138.729830875,402
2020-03-01,53181448.55202307,402
2020-03-15,-48576218.831905276,402
2020-04-01,-6694663.927275901,402
2020-04-15,26540.604491525097,402
2020-05-01,-2436771.84640155,402
2020-05-15,2127684.4958491502,402
2020-06-01,-418063.701736075,402
2020-06-15,-412827.43790172273,402
2020-07-01,668067.181901925,402
2020-07-15,-722886.2458152401,402
2020-08-01,970629.0071540297,402
2020-08-15,-119256.21632139999,402
2020-09-01,54276.53397713334,402
2020-09-15,53956.71360864997,402
2020-10-01,1159762.1230679667,402
2020-10-15,1430732.43811515,402
2020-11-01,-2538466.4845555,402
2020-11-15,-1416322.798079,402
2020-12-01,-877584.4873294999,402
2020-12-15,1695065.106767175,402
2021-01-01,-1337123.53447815,402
2021-01-15,1712266.3417584249,402
2021-02-01,211804.77209382766,402
2021-02-15,-1313674.3839583334,402
2021-03-01,154367.7904545025,402
2021-03-15,156770.15500648104,402
2021-04-01,862404.8150997249,402
2021-04-15,-71679.16683477495,402
2021-05-01,693778.1455017334,402
2021-05-15,-196909.00416167497,402
2021-06-01,321316.3269096287,402
2021-06-15,-787925.8970451405,402
2021-07-01,-172728.9327557,402
2021-07-15,-485021.2472182843,402
2021-08-01,-250765.90289145,402
2021-08-15,-184147.15011813273,402
2021-09-01,-213939.06394827485,402
2021-09-15,22585.918294875002,402
2021-10-01,-198636.11910885287,402
2021-10-15,-1006509.6342653334,402
2021-11-01,679894.7445529772,402
2021-11-15,266628.507315625,402
2021-12-01,171798.4662285,402
2021-12-15,-1964834.7146645803,402
2022-01-01,-1321471.9007833668,402
2022-01-15,-60788.61231628332,402
2022-02-01,302945.4575144,402
2022-02-15,468615.596600925,402
2022-03-01,124477.12549047996,402
2022-03-15,191196.720498125,402
2022-04-01,492676.75507838,402
2022-04-15,550974.55019934,402
2022-05-01,3043004.4122036,402
2022-05-15,-85583.28637463332,402
2022-06-01,-254570.143674857,402
2022-06-15,370675.7598341,402
2022-07-01,249153.34362072,402
2022-07-15,-189259.5672242,402
2022-08-01,-345958.192031475,402
2022-08-15,186875.75873571666,402
2022-09-01,663088.3249014192,402
2022-09-15,63134.16574540738,402
2022-10-01,79390.26224845686,402
2022-10-15,-525874.14318694,402
2022-11-01,-1864469.120276675,402
2022-11-15,-1453006.821427725,402
2022-12-01,-853411.1493544399,402
2022-12-15,-363380.13793592,402
2023-01-01,-246201.40836865,402
2023-01-15,644818.42082944,402
2023-02-01,1758984.3290381,402
2023-02-15,-1831664.1723827757,402
2023-03-01,1315181.1767850248,402
2023-03-15,1893011.48000414,402
2023-04-01,2016147.19970995,402
2023-04-15,-525351.7976369399,402
2019-05-01,-166230.502644,79
2019-05-15,18071.599514969934,79
2019-06-01,16091.843169112097,79
2019-06-15,-22515.82680985496,79
2019-07-01,17674.649674180495,79
2019-07-15,4266.986645752288,79
2019-08-01,-27762.712116458613,79
2019-08-15,14117.154737044004,79
2019-09-01,-13037.491347549401,79
2019-09-15,-97589.01676948936,79
2019-10-01,155883.1635165093,79
2019-10-15,-35486.23688389301,79
2019-11-01,-17730.26249320371,79
2019-11-15,8110.584032203642,79
2019-12-01,27672.352790420784,79
2019-12-15,46601.153690724765,79
2020-01-01,28385.124221119233,79
2020-01-15,-116056.42295163666,79
2020-02-01,148323.78138104684,79
2020-02-15,17349.532656559884,79
2020-03-01,-53543.03099755943,79
2020-03-15,-12033.577419970325,79
2020-04-01,28922.561863400006,79
2020-04-15,-15750.10273273644,79
2020-05-01,-79578.17259045782,79
2020-05-15,67048.12580876074,79
2020-06-01,45460.25464341504,79
2020-06-15,-910.3080222466679,79
2020-07-01,-909.4852600634597,79
2020-07-15,-4515.95369963087,79
2020-08-01,-26169.72017900097,79
2020-08-15,6095.5948655747,79
2020-09-01,-6699.344039440309,79
2020-09-15,-14266.353695617268,79
2020-10-01,-25697.202519144477,79
2020-10-15,-27424.643093260038,79
2020-11-01,-26538.205166465472,79
2020-11-15,-48878.121522063244,79
2020-12-01,102904.25531257501,79
2020-12-15,11202.44996214764,79
2021-01-01,42939.73023060807,79
2021-01-15,-110527.78131898158,79
2021-02-01,-23668.62927135343,79
2021-02-15,130605.37368559337,79
2021-03-01,17933.220836407545,79
2021-03-15,-160.230498946838,79
2021-04-01,-23565.844209380644,79
2021-04-15,-5912.734498100616,79
2021-05-01,11929.907963440422,79
2021-05-15,-20969.8675143475,79
2021-06-01,-1842.6676400105462,79
2021-06-15,19966.9842442405,79
2021-07-01,-7487.8220177674375,79
2021-07-15,95980.19843268965,79
2021-08-01,-129652.25132158624,79
2021-08-15,752.5461222493302,79
2021-09-01,-5064.874083749289,79
2021-09-15,-7279.164092760695,79
2021-10-01,36008.77769000445,79
2021-10-15,-117206.14821016366,79
2021-11-01,7604.183780514293,79
2021-11-15,-3836.451655586319,79
2021-12-01,-636.4335537261562,79
2021-12-15,66371.72016838606,79
2022-01-01,17554.5860067206,79
2022-01-15,-53001.589854450816,79
2022-02-01,-37427.65471356604,79
2022-02-15,62650.7457021665,79
2022-03-01,37945.622471997835,79
2022-03-15,-3087.0349203002347,79
2022-04-01,-35025.543602389494,79
2022-04-15,17665.110379603415,79
2022-05-01,1094.761582318036,79
2022-05-15,4509.046355333816,79
2022-06-01,-35741.82994786451,79
2022-06-15,65150.673084000955,79
2022-07-01,-855.0316603808096,79
2022-07-15,-2348.88233640808,79
2022-08-01,-616.9315412145415,79
2022-08-15,-88475.8786856115,79
2022-09-01,87203.0977619973,79
2022-09-15,-5836.82103249067,79
2022-10-01,-7022.310939572502,79
2022-10-15,-37447.005489116906,79
2022-11-01,60492.91458664521,79
2022-11-15,-34065.10236100597,79
2022-12-01,-1773.8292811359395,79
2022-12-15,-108399.81645753518,79
2023-01-01,-9100.737631518085,79
2023-01-15,-129512.49267888731,79
2023-02-01,-18369.94510062326,79
2023-02-15,7383.671076415027,79
2023-03-01,124639.65485175721,79
2023-03-15,205690.30214389894,79
2023-04-01,-28709.986591934787,79
2023-04-15,-45139.98578433969,79
2019-05-01,0.0,309
2019-05-15,55562.57048232708,309
2019-06-01,185676.51502198927,309
2019-06-15,80677.05384021491,309
2019-07-01,-102061.85732031304,309
2019-07-15,-26352.462300324125,309
2019-08-01,84283.87117403331,309
2019-08-15,-117109.66263364752,309
2019-09-01,-56162.22222828971,309
2019-09-15,157534.26715001056,309
2019-10-01,18338.461590268533,309
2019-10-15,-29058.809780067462,309
2019-11-01,-38641.598700771836,309
2019-11-15,20454.722438324992,309
2019-12-01,-109094.46636275161,309
2019-12-15,-21377.610181375,309
2020-01-01,-21248.018902100004,309
2020-01-15,-21118.42762408947,309
2020-02-01,24433.481358766672,309
2020-02-15,-39474.38973137076,309
2020-03-01,-59071.12178618022,309
2020-03-15,69847.4862268,309
2020-04-01,-74250.15762280666,309
2020-04-15,326424.532907089,309
2020-05-01,-124507.57397630988,309
2020-05-15,435350.6266216975,309
2020-06-01,-886435.121307646,309
2020-06-15,238748.6196074524,309
2020-07-01,-164505.6397739896,309
2020-07-15,224293.63014537957,309
2020-08-01,-40479.09063794877,309
2020-08-15,-10404.4227726018,309
2020-09-01,-311165.0471161499,309
2020-09-15,37765.24013334996,309
2020-10-01,-5424.2118951109605,309
2020-10-15,119604.17596176807,309
2020-11-01,91396.93797262566,309
2020-11-15,93614.16236225283,309
2020-12-01,-37621.71794784613,309
2020-12-15,70264.99858009427,309
2021-01-01,-47381.900509528605,309
2021-01-15,-499384.91314812494,309
2021-02-01,-187107.86063146673,309
2021-02-15,-18530.47029924015,309
2021-03-01,150946.7060479539,309
2021-03-15,700499.6969024341,309
2021-04-01,52420.98005288688,309
2021-04-15,-232384.35499412674,309
2021-05-01,-136296.50414219298,309
2021-05-15,-89945.9949626239,309
2021-06-01,-168589.85316647796,309
2021-06-15,350584.71075490676,309
2021-07-01,-53540.73287709633,309
2021-07-15,105566.49707335563,309
2021-08-01,-111492.0284484963,309
2021-08-15,45928.09266928989,309
2021-09-01,-481298.54075935204,309
2021-09-15,-29433.46456873515,309
2021-10-01,402.06954302294434,309
2021-10-15,193369.69444214436,309
2021-11-01,-286126.0295614798,309
2021-11-15,242599.97328357297,309
2021-12-01,-11161.246154735869,309
2021-12-15,-749621.135759575,309
2022-01-01,-234632.28285030415,309
2022-01-15,-183124.90755343332,309
2022-02-01,218859.6519771343,309
2022-02-15,386895.83997245,309
2022-03-01,362812.89066125,309
2022-03-15,375435.9746391398,309
2022-04-01,-25653.23233925409,309
2022-04-15,-68674.83489311337,309
2022-05-01,147130.46208776883,309
2022-05-15,-199486.54226832004,309
2022-06-01,-120449.31694342764,309
2022-06-15,84209.70272304848,309
2022-07-01,27284.067360886693,309
2022-07-15,194725.96570276757,309
2022-08-01,8973.259894933319,309
2022-08-15,-189432.74065989815,309
2022-09-01,382033.630907624,309
2022-09-15,-35803.70750155833,309
2022-10-01,-35665.50563925437,309
2022-10-15,-101438.57892482838,309
2022-11-01,53022.50746515,309
2022-11-15,-365784.08844216,309
2022-12-01,-668946.70434646,309
2022-12-15,-155484.19458588742,309
2023-01-01,322317.93896333594,309
2023-01-15,190479.04095518828,309
2023-02-01,-14850.555965200008,309
2023-02-15,-197239.02739344497,309
2023-03-01,246781.24832320842,309
2023-03-15,356741.063440825,309
2023-04-01,311121.62862510403,309
2023-04-15,89428.36379142501,309
2023-05-01,92532.32985583165,309
2019-04-15,,374
2019-05-01,0.0,374
2019-05-15,933447.7440224561,374
2019-06-01,40069.852173099935,374
2019-06-15,252844.675180675,374
2019-07-01,-711966.5641678001,374
2019-07-15,-223050.2188663373,374
2019-08-01,115250.97797676666,374
2019-08-15,385836.5534107625,374
2019-09-01,-215501.18115686663,374
2019-09-15,8430.656592487869,374
2019-10-01,-82610.42184937713,374
2019-10-15,536450.1960849001,374
2019-11-01,80295.38209476664,374
2019-11-15,-218526.66289343045,374
2019-12-01,349379.832796875,374
2019-12-15,634393.125811175,374
2020-01-01,-400577.691615125,374
2020-01-15,-678604.7410360334,374
2020-02-01,101716.81081296765,374
2020-02-15,-184263.30209105447,374
2020-03-01,-40190.36855450281,374
2020-03-15,-351526.6019710745,374
2020-04-01,-195092.82231479944,374
2020-04-15,-235596.03144593054,374
2020-05-01,701850.4430275866,374
2020-05-15,-255218.26223504567,374
2020-06-01,628623.4941913513,374
2020-06-15,17775.67775896673,374
2020-07-01,-130620.43195746782,374
2020-07-15,-708994.7098678418,374
2020-08-01,494058.2035975,374
2020-08-15,-398659.6116531345,374
2020-09-01,733720.8698190666,374
2020-09-15,-201081.07358599998,374
2020-10-01,905820.4149841,374
2020-10-15,902917.794127075,374
2020-11-01,-879073.7587973999,374
2020-11-15,-69224.25519559998,374
2020-12-01,51350.11022986666,374
2020-12-15,-765730.807330925,374
