param_n_estimators,mean_test_score,delta
10,2.659484721276474,
20,2.4932028286300603,-0.166
30,2.443209176069978,-0.05
40,2.4200101556156834,-0.023
50,2.406006724187792,-0.014
75,2.38539055435349,-0.021
100,2.378458983395168,-0.007
125,2.369062862353639,-0.009
150,2.366610114008592,-0.002
175,2.363780433874287,-0.003
200,2.359786643960503,-0.004
250,2.3575133075650516,-0.002
300,2.354953211674099,-0.003
350,2.353689261945689,-0.001
400,2.3525627429424367,-0.001
450,2.352550874600814,-0.0
500,2.35267501395201,0.0
1000,2.349660090523334,-0.003
