param_n_estimators,mean_test_score,delta
10,2.2784409523383715,
20,2.1665283381224323,-0.112
30,2.130027370589392,-0.037
40,2.1137475302007376,-0.016
50,2.100796387382377,-0.013
75,2.0885610684465736,-0.012
100,2.082604332625181,-0.006
125,2.077857534096039,-0.005
150,2.074496192542438,-0.003
175,2.071835981105449,-0.003
200,2.070345358018793,-0.001
250,2.068645616285462,-0.002
300,2.067236914874324,-0.001
350,2.0666811622101386,-0.001
400,2.065776715475078,-0.001
450,2.065303402598042,-0.0
500,2.0650120569305397,-0.0
1000,2.062098880531499,-0.003
