epoch,loss,kfold,class
0,13.03159236907959,0,training
1,9.217677116394043,0,training
2,9.167219161987305,0,training
3,9.142926216125488,0,training
4,9.118969917297363,0,training
5,9.120686531066895,0,training
6,9.059374809265137,0,training
7,9.096956253051758,0,training
8,9.057278633117676,0,training
9,9.070164680480957,0,training
10,9.05129623413086,0,training
11,9.049067497253418,0,training
12,9.032979965209961,0,training
13,9.01784610748291,0,training
14,9.032539367675781,0,training
15,9.01335620880127,0,training
16,9.01793098449707,0,training
17,9.005248069763184,0,training
18,9.011273384094238,0,training
19,8.989224433898926,0,training
20,9.025873184204102,0,training
21,8.99780559539795,0,training
22,9.000948905944824,0,training
23,8.986791610717773,0,training
24,9.00144100189209,0,training
25,8.986126899719238,0,training
26,8.988247871398926,0,training
27,8.993071556091309,0,training
28,8.992341041564941,0,training
29,8.991558074951172,0,training
30,8.988106727600098,0,training
31,8.980857849121094,0,training
32,8.982240676879883,0,training
33,8.973527908325195,0,training
34,8.97624683380127,0,training
35,8.975421905517578,0,training
36,8.97105884552002,0,training
37,8.981746673583984,0,training
38,8.956283569335938,0,training
39,8.964350700378418,0,training
40,8.965079307556152,0,training
41,8.97404956817627,0,training
42,8.962952613830566,0,training
43,8.9693021774292,0,training
44,8.973688125610352,0,training
45,8.957408905029297,0,training
0,12.386642456054688,1,training
1,9.16823673248291,1,training
2,9.145113945007324,1,training
3,9.109292984008789,1,training
4,9.11825942993164,1,training
5,9.048067092895508,1,training
6,9.052114486694336,1,training
7,9.03348445892334,1,training
8,9.039341926574707,1,training
9,9.024513244628906,1,training
10,9.018254280090332,1,training
11,9.004358291625977,1,training
12,9.008277893066406,1,training
13,8.982001304626465,1,training
14,8.995780944824219,1,training
15,8.980463981628418,1,training
16,8.982398986816406,1,training
0,11.42448902130127,2,training
1,9.125176429748535,2,training
2,9.105457305908203,2,training
3,9.044600486755371,2,training
4,9.070022583007812,2,training
5,9.051047325134277,2,training
6,9.018901824951172,2,training
7,8.987969398498535,2,training
8,9.004344940185547,2,training
9,8.981752395629883,2,training
10,8.98222541809082,2,training
11,8.977218627929688,2,training
12,8.985878944396973,2,training
13,8.996818542480469,2,training
14,8.97042179107666,2,training
15,8.987192153930664,2,training
0,11.804242134094238,3,training
1,9.197745323181152,3,training
2,9.141950607299805,3,training
3,9.097357749938965,3,training
4,9.084357261657715,3,training
5,9.078815460205078,3,training
6,9.048515319824219,3,training
7,9.030092239379883,3,training
8,9.01905632019043,3,training
9,9.041765213012695,3,training
10,9.018621444702148,3,training
11,8.988090515136719,3,training
12,9.021624565124512,3,training
13,9.001494407653809,3,training
14,8.999943733215332,3,training
15,8.985715866088867,3,training
0,11.917463302612305,4,training
1,9.266043663024902,4,training
2,9.22437572479248,4,training
3,9.13180160522461,4,training
4,9.137582778930664,4,training
5,9.109084129333496,4,training
6,9.112445831298828,4,training
7,9.10707950592041,4,training
8,9.077022552490234,4,training
9,9.102507591247559,4,training
10,9.067760467529297,4,training
11,9.071124076843262,4,training
12,9.075251579284668,4,training
13,9.068634986877441,4,training
14,9.06612491607666,4,training
15,9.069966316223145,4,training
16,9.049120903015137,4,training
17,9.052217483520508,4,training
18,9.058374404907227,4,training
19,9.045454025268555,4,training
20,9.045042037963867,4,training
21,9.032323837280273,4,training
22,9.029356002807617,4,training
23,9.046060562133789,4,training
24,9.0241060256958,4,training
25,9.036844253540039,4,training
26,9.027862548828125,4,training
27,9.036280632019043,4,training
28,9.019797325134277,4,training
29,9.019606590270996,4,training
30,9.020674705505371,4,training
0,12.228982925415039,5,training
1,9.17628002166748,5,training
2,9.1303129196167,5,training
3,9.098333358764648,5,training
4,9.073697090148926,5,training
5,9.067455291748047,5,training
6,9.04528522491455,5,training
7,9.011809349060059,5,training
8,9.030484199523926,5,training
9,9.017810821533203,5,training
10,9.00452995300293,5,training
11,9.006382942199707,5,training
12,8.998098373413086,5,training
13,8.971243858337402,5,training
14,8.984212875366211,5,training
15,8.985578536987305,5,training
16,8.96745491027832,5,training
0,11.761133193969727,6,training
1,9.209949493408203,6,training
2,9.142441749572754,6,training
3,9.10976791381836,6,training
4,9.091621398925781,6,training
5,9.094669342041016,6,training
6,9.075533866882324,6,training
7,9.078499794006348,6,training
8,9.064719200134277,6,training
9,9.045899391174316,6,training
10,9.060205459594727,6,training
11,9.038166046142578,6,training
12,9.032259941101074,6,training
13,9.038494110107422,6,training
14,9.012710571289062,6,training
15,9.027822494506836,6,training
16,9.033868789672852,6,training
0,12.308609008789062,7,training
1,9.193567276000977,7,training
2,9.167339324951172,7,training
3,9.10416316986084,7,training
4,9.098608016967773,7,training
5,9.107454299926758,7,training
6,9.059649467468262,7,training
7,9.041865348815918,7,training
8,9.034777641296387,7,training
9,9.030118942260742,7,training
10,9.021628379821777,7,training
11,9.017711639404297,7,training
12,9.020087242126465,7,training
0,11.9146089553833,8,training
1,9.203737258911133,8,training
2,9.16391372680664,8,training
3,9.141380310058594,8,training
4,9.12681770324707,8,training
5,9.095918655395508,8,training
6,9.090924263000488,8,training
7,9.07132339477539,8,training
8,9.07878589630127,8,training
9,9.056711196899414,8,training
10,9.062246322631836,8,training
11,9.041868209838867,8,training
12,9.062363624572754,8,training
13,9.05783748626709,8,training
14,9.03855037689209,8,training
15,9.02308464050293,8,training
16,9.024788856506348,8,training
17,9.02394962310791,8,training
18,9.022775650024414,8,training
19,9.022448539733887,8,training
20,9.020874977111816,8,training
21,9.006799697875977,8,training
22,9.007411003112793,8,training
23,9.004264831542969,8,training
24,9.010551452636719,8,training
0,12.095115661621094,9,training
1,9.179047584533691,9,training
2,9.116145133972168,9,training
3,9.085209846496582,9,training
4,9.07957649230957,9,training
5,9.041728019714355,9,training
6,9.044590950012207,9,training
7,9.02758502960205,9,training
8,8.997827529907227,9,training
9,9.024317741394043,9,training
10,9.005739212036133,9,training
11,8.988067626953125,9,training
12,8.996116638183594,9,training
13,8.979307174682617,9,training
14,8.98056411743164,9,training
15,8.988587379455566,9,training
16,8.98106575012207,9,training
17,8.983695030212402,9,training
18,8.957289695739746,9,training
19,8.985888481140137,9,training
20,8.969661712646484,9,training
21,8.960416793823242,9,training
0,11.667337417602539,10,training
1,9.145584106445312,10,training
2,9.11058521270752,10,training
3,9.099555015563965,10,training
4,9.08303165435791,10,training
5,9.048047065734863,10,training
6,9.016919136047363,10,training
7,9.032877922058105,10,training
8,9.01745891571045,10,training
9,9.007454872131348,10,training
10,8.98346996307373,10,training
0,11.807236671447754,11,training
1,9.166007041931152,11,training
2,9.143138885498047,11,training
3,9.142050743103027,11,training
4,9.1087646484375,11,training
5,9.111311912536621,11,training
6,9.081442832946777,11,training
7,9.075298309326172,11,training
8,9.042122840881348,11,training
9,9.04273509979248,11,training
10,9.030173301696777,11,training
11,9.037357330322266,11,training
12,9.019478797912598,11,training
13,9.04946231842041,11,training
14,9.00661563873291,11,training
15,9.024266242980957,11,training
16,9.003066062927246,11,training
17,9.006139755249023,11,training
18,9.019853591918945,11,training
0,11.858624458312988,12,training
1,9.191396713256836,12,training
2,9.127707481384277,12,training
3,9.098390579223633,12,training
4,9.081596374511719,12,training
5,9.056090354919434,12,training
6,9.078492164611816,12,training
7,9.052504539489746,12,training
8,9.055415153503418,12,training
9,9.041302680969238,12,training
10,9.028425216674805,12,training
11,9.002531051635742,12,training
12,9.01368522644043,12,training
13,9.021143913269043,12,training
14,9.002989768981934,12,training
15,8.998064041137695,12,training
16,9.00796127319336,12,training
17,8.981461524963379,12,training
18,8.990537643432617,12,training
0,11.8312349319458,13,training
1,9.194294929504395,13,training
2,9.16929817199707,13,training
3,9.133355140686035,13,training
4,9.098358154296875,13,training
5,9.10299301147461,13,training
6,9.080526351928711,13,training
7,9.093811988830566,13,training
8,9.060636520385742,13,training
9,9.050774574279785,13,training
10,9.042020797729492,13,training
11,9.0248384475708,13,training
12,9.047204971313477,13,training
13,9.011473655700684,13,training
14,9.034214973449707,13,training
15,9.024088859558105,13,training
16,9.024442672729492,13,training
17,9.000207901000977,13,training
18,9.013509750366211,13,training
19,9.022904396057129,13,training
20,9.005718231201172,13,training
21,9.008077621459961,13,training
22,9.024497032165527,13,training
23,9.004258155822754,13,training
24,8.998117446899414,13,training
25,8.99761962890625,13,training
26,8.996437072753906,13,training
27,8.989258766174316,13,training
28,8.99554443359375,13,training
29,8.996319770812988,13,training
30,8.994477272033691,13,training
31,8.984213829040527,13,training
32,8.979394912719727,13,training
33,8.994229316711426,13,training
34,8.992037773132324,13,training
35,8.990915298461914,13,training
36,8.995400428771973,13,training
37,8.978135108947754,13,training
38,8.99190616607666,13,training
39,8.989885330200195,13,training
40,8.982290267944336,13,training
0,11.917682647705078,14,training
1,9.181930541992188,14,training
2,9.151411056518555,14,training
3,9.131385803222656,14,training
4,9.142022132873535,14,training
5,9.114545822143555,14,training
6,9.079249382019043,14,training
7,9.087273597717285,14,training
8,9.071470260620117,14,training
9,9.055628776550293,14,training
10,9.05687141418457,14,training
11,9.042075157165527,14,training
12,9.052985191345215,14,training
13,9.034422874450684,14,training
14,9.02783489227295,14,training
