epoch,loss,kfold,class
15,9.033113479614258,14,training
16,9.024497032165527,14,training
17,9.015228271484375,14,training
18,9.016815185546875,14,training
19,9.024505615234375,14,training
20,9.005343437194824,14,training
21,9.01092529296875,14,training
22,9.018678665161133,14,training
0,11.642520904541016,15,training
1,9.19071102142334,15,training
2,9.143004417419434,15,training
3,9.110410690307617,15,training
4,9.104113578796387,15,training
5,9.102540969848633,15,training
6,9.111150741577148,15,training
7,9.07876968383789,15,training
8,9.06867790222168,15,training
9,9.059538841247559,15,training
10,9.055617332458496,15,training
11,9.056760787963867,15,training
12,9.040273666381836,15,training
13,9.031990051269531,15,training
14,9.026469230651855,15,training
15,9.036273002624512,15,training
16,9.028478622436523,15,training
17,9.037137031555176,15,training
18,9.028002738952637,15,training
0,11.736028671264648,16,training
1,9.203262329101562,16,training
2,9.160179138183594,16,training
3,9.122754096984863,16,training
4,9.074382781982422,16,training
5,9.078581809997559,16,training
6,9.053008079528809,16,training
7,9.061464309692383,16,training
8,9.040263175964355,16,training
9,9.037601470947266,16,training
10,9.032058715820312,16,training
11,9.01585578918457,16,training
12,8.999524116516113,16,training
13,9.008631706237793,16,training
14,8.997644424438477,16,training
15,8.993000030517578,16,training
16,8.991251945495605,16,training
17,8.992874145507812,16,training
18,8.980443000793457,16,training
19,8.973793983459473,16,training
20,8.96277141571045,16,training
21,8.978760719299316,16,training
22,8.964187622070312,16,training
23,8.948288917541504,16,training
24,8.954424858093262,16,training
25,8.960227012634277,16,training
26,8.9608793258667,16,training
27,8.95354175567627,16,training
28,8.959920883178711,16,training
29,8.948280334472656,16,training
0,12.530786514282227,17,training
1,9.181770324707031,17,training
2,9.126435279846191,17,training
3,9.071468353271484,17,training
4,9.053238868713379,17,training
5,9.040141105651855,17,training
6,9.043115615844727,17,training
7,9.02323055267334,17,training
8,9.017973899841309,17,training
9,8.986286163330078,17,training
10,8.994423866271973,17,training
11,8.994538307189941,17,training
12,8.989073753356934,17,training
13,8.996153831481934,17,training
14,8.9735746383667,17,training
15,8.97131061553955,17,training
16,8.979227066040039,17,training
17,8.95190715789795,17,training
18,8.955156326293945,17,training
19,8.957847595214844,17,training
20,8.970491409301758,17,training
21,8.96156120300293,17,training
22,8.95162296295166,17,training
23,8.957728385925293,17,training
24,8.94614028930664,17,training
25,8.945464134216309,17,training
26,8.945151329040527,17,training
0,12.757554054260254,18,training
1,9.2120943069458,18,training
2,9.151439666748047,18,training
3,9.124908447265625,18,training
4,9.111272811889648,18,training
5,9.063347816467285,18,training
6,9.051043510437012,18,training
7,9.066256523132324,18,training
8,9.04330825805664,18,training
9,9.04507827758789,18,training
10,9.029802322387695,18,training
11,9.040541648864746,18,training
12,9.0237455368042,18,training
13,9.050168991088867,18,training
14,9.027314186096191,18,training
15,9.018821716308594,18,training
16,9.024873733520508,18,training
17,9.022965431213379,18,training
18,9.009756088256836,18,training
19,9.02171516418457,18,training
20,9.009055137634277,18,training
21,9.014945030212402,18,training
22,9.00301456451416,18,training
0,12.438604354858398,19,training
1,9.165647506713867,19,training
2,9.14746379852295,19,training
3,9.150628089904785,19,training
4,9.10435676574707,19,training
5,9.09067440032959,19,training
6,9.080519676208496,19,training
7,9.078956604003906,19,training
8,9.06983470916748,19,training
9,9.06418514251709,19,training
10,9.06317138671875,19,training
11,9.058114051818848,19,training
12,9.04295825958252,19,training
13,9.031911849975586,19,training
14,9.033244132995605,19,training
15,9.022828102111816,19,training
16,8.994356155395508,19,training
17,9.019657135009766,19,training
0,11.557765007019043,20,training
1,9.231497764587402,20,training
2,9.175254821777344,20,training
3,9.145486831665039,20,training
4,9.119732856750488,20,training
5,9.120802879333496,20,training
6,9.080015182495117,20,training
7,9.067962646484375,20,training
8,9.086525917053223,20,training
9,9.069358825683594,20,training
10,9.041910171508789,20,training
11,9.036749839782715,20,training
12,9.048110961914062,20,training
13,9.040782928466797,20,training
14,9.03643798828125,20,training
15,9.035107612609863,20,training
16,9.029341697692871,20,training
0,12.017770767211914,21,training
1,9.195469856262207,21,training
2,9.193801879882812,21,training
3,9.112552642822266,21,training
4,9.10025405883789,21,training
5,9.097526550292969,21,training
6,9.07803726196289,21,training
7,9.067499160766602,21,training
8,9.051076889038086,21,training
9,9.049722671508789,21,training
10,9.043707847595215,21,training
11,9.027117729187012,21,training
12,9.03393840789795,21,training
13,9.024589538574219,21,training
14,9.01233196258545,21,training
15,9.014666557312012,21,training
16,9.021590232849121,21,training
0,12.114869117736816,22,training
1,9.224374771118164,22,training
2,9.135817527770996,22,training
3,9.120299339294434,22,training
4,9.102015495300293,22,training
5,9.071915626525879,22,training
6,9.062518119812012,22,training
7,9.053466796875,22,training
8,9.03084945678711,22,training
9,9.028108596801758,22,training
10,9.008180618286133,22,training
11,9.017231941223145,22,training
12,8.992079734802246,22,training
0,11.930154800415039,23,training
1,9.136463165283203,23,training
2,9.102999687194824,23,training
3,9.049997329711914,23,training
4,9.05068302154541,23,training
5,9.006628036499023,23,training
6,9.02396011352539,23,training
7,8.983904838562012,23,training
8,8.984076499938965,23,training
9,8.980053901672363,23,training
10,8.963228225708008,23,training
11,8.957584381103516,23,training
12,8.95055866241455,23,training
13,8.943060874938965,23,training
14,8.92754077911377,23,training
15,8.920742988586426,23,training
16,8.917586326599121,23,training
0,12.206103324890137,24,training
1,9.212347984313965,24,training
2,9.161375045776367,24,training
3,9.133240699768066,24,training
4,9.112713813781738,24,training
5,9.096795082092285,24,training
6,9.090677261352539,24,training
7,9.067963600158691,24,training
8,9.060263633728027,24,training
9,9.063654899597168,24,training
10,9.032491683959961,24,training
11,9.030665397644043,24,training
12,9.028365135192871,24,training
13,9.033207893371582,24,training
14,9.032273292541504,24,training
15,9.002829551696777,24,training
16,9.018939018249512,24,training
17,9.029122352600098,24,training
18,9.006101608276367,24,training
19,9.018434524536133,24,training
20,9.007438659667969,24,training
21,9.028374671936035,24,training
22,8.980706214904785,24,training
23,9.011120796203613,24,training
24,9.00171184539795,24,training
25,9.015311241149902,24,training
26,8.99688720703125,24,training
27,8.989351272583008,24,training
28,9.009193420410156,24,training
29,8.999931335449219,24,training
30,8.988274574279785,24,training
31,9.000666618347168,24,training
32,9.003679275512695,24,training
33,8.986261367797852,24,training
0,11.770984649658203,25,training
1,9.194025039672852,25,training
2,9.148137092590332,25,training
3,9.12359619140625,25,training
4,9.072264671325684,25,training
5,9.068260192871094,25,training
6,9.055572509765625,25,training
7,9.046601295471191,25,training
8,9.038817405700684,25,training
9,9.030241966247559,25,training
10,9.016776084899902,25,training
11,9.011396408081055,25,training
12,9.009271621704102,25,training
13,9.008352279663086,25,training
14,9.003936767578125,25,training
15,9.002593994140625,25,training
16,9.012749671936035,25,training
17,8.995562553405762,25,training
18,8.985164642333984,25,training
19,8.980895042419434,25,training
20,8.987269401550293,25,training
21,8.980342864990234,25,training
22,8.977020263671875,25,training
23,8.975032806396484,25,training
24,8.985989570617676,25,training
25,8.96802806854248,25,training
26,8.964452743530273,25,training
27,8.98342514038086,25,training
28,8.956254005432129,25,training
0,11.945257186889648,26,training
1,9.176197052001953,26,training
2,9.12247371673584,26,training
3,9.101600646972656,26,training
4,9.066469192504883,26,training
5,9.06509017944336,26,training
6,9.054839134216309,26,training
7,9.03779125213623,26,training
8,9.019980430603027,26,training
9,9.03272533416748,26,training
10,9.00490665435791,26,training
11,9.012887001037598,26,training
12,9.001810073852539,26,training
13,8.98497200012207,26,training
14,8.986551284790039,26,training
15,8.982254981994629,26,training
16,8.985885620117188,26,training
17,9.002914428710938,26,training
0,11.825307846069336,27,training
1,9.245549201965332,27,training
2,9.191883087158203,27,training
3,9.129717826843262,27,training
4,9.108797073364258,27,training
5,9.112655639648438,27,training
6,9.090034484863281,27,training
7,9.077470779418945,27,training
8,9.075376510620117,27,training
9,9.064892768859863,27,training
10,9.036773681640625,27,training
11,9.045429229736328,27,training
12,9.0554838180542,27,training
13,9.022162437438965,27,training
14,9.022040367126465,27,training
15,9.036577224731445,27,training
16,9.004928588867188,27,training
0,12.011884689331055,28,training
1,9.156582832336426,28,training
2,9.111822128295898,28,training
3,9.09394645690918,28,training
4,9.091398239135742,28,training
5,9.037813186645508,28,training
6,9.016539573669434,28,training
7,9.019184112548828,28,training
8,9.002756118774414,28,training
9,9.004229545593262,28,training
10,9.000197410583496,28,training
11,8.996617317199707,28,training
12,8.973093032836914,28,training
13,8.991106986999512,28,training
14,8.979443550109863,28,training
15,8.967158317565918,28,training
16,8.966805458068848,28,training
17,8.96871280670166,28,training
18,8.953720092773438,28,training
19,8.95793628692627,28,training
20,8.957133293151855,28,training
21,8.96614933013916,28,training
22,8.95677661895752,28,training
23,8.95545482635498,28,training
24,8.957797050476074,28,training
25,8.969883918762207,28,training
0,11.884449005126953,29,training
1,9.200697898864746,29,training
2,9.150176048278809,29,training
3,9.113093376159668,29,training
4,9.090506553649902,29,training
5,9.081899642944336,29,training
6,9.070497512817383,29,training
7,9.077939987182617,29,training
8,9.054930686950684,29,training
9,9.048454284667969,29,training
10,9.036335945129395,29,training
11,9.025325775146484,29,training
12,9.03674602508545,29,training
13,9.03570556640625,29,training
14,9.001331329345703,29,training
15,9.027463912963867,29,training
16,9.017532348632812,29,training
17,9.029736518859863,29,training
18,9.012319564819336,29,training
19,9.008723258972168,29,training
20,9.004536628723145,29,training
21,9.023307800292969,29,training
22,8.99610424041748,29,training
23,9.005108833312988,29,training
24,9.00101089477539,29,training
25,9.00326919555664,29,training
26,8.978570938110352,29,training
27,9.001544952392578,29,training
28,8.998501777648926,29,training
0,11.866209983825684,30,training
1,9.192267417907715,30,training
2,9.123281478881836,30,training
3,9.108973503112793,30,training
4,9.090368270874023,30,training
5,9.048667907714844,30,training
6,9.06099796295166,30,training
7,9.052643775939941,30,training
8,9.054596900939941,30,training
9,9.046350479125977,30,training
10,9.008072853088379,30,training
11,9.028223037719727,30,training
12,9.02767562866211,30,training
13,9.007732391357422,30,training
14,8.99831771850586,30,training
15,8.983593940734863,30,training
16,8.993054389953613,30,training
17,8.98322868347168,30,training
18,8.981071472167969,30,training
19,8.988565444946289,30,training
0,11.81798267364502,31,training
1,9.222161293029785,31,training
2,9.186484336853027,31,training
3,9.156667709350586,31,training
4,9.125815391540527,31,training
5,9.14183521270752,31,training
6,9.12247371673584,31,training
7,9.075632095336914,31,training
8,9.07070541381836,31,training
9,9.073952674865723,31,training
10,9.068465232849121,31,training
0,11.69658088684082,32,training
1,9.166574478149414,32,training
2,9.13349437713623,32,training
3,9.109764099121094,32,training
4,9.05997085571289,32,training
5,9.067784309387207,32,training
6,9.039453506469727,32,training
7,9.02949333190918,32,training
8,9.043157577514648,32,training
9,9.013843536376953,32,training
10,9.009591102600098,32,training
11,9.013912200927734,32,training
12,9.012101173400879,32,training
13,9.005542755126953,32,training
14,8.985554695129395,32,training
15,9.00383186340332,32,training
16,9.008085250854492,32,training
17,8.972840309143066,32,training
18,8.994125366210938,32,training
19,8.986517906188965,32,training
20,9.010900497436523,32,training
21,8.995320320129395,32,training
22,8.986597061157227,32,training
0,11.52005386352539,33,training
1,9.163400650024414,33,training
2,9.103910446166992,33,training
3,9.091526985168457,33,training
4,9.037347793579102,33,training
5,9.048399925231934,33,training
6,9.028367042541504,33,training
7,9.014023780822754,33,training
8,9.024298667907715,33,training
9,9.001983642578125,33,training
10,8.989860534667969,33,training
11,9.004300117492676,33,training
12,8.991804122924805,33,training
13,8.980511665344238,33,training
14,8.975959777832031,33,training
15,8.977778434753418,33,training
16,8.955095291137695,33,training
17,8.976943016052246,33,training
0,12.184420585632324,34,training
1,9.212026596069336,34,training
2,9.112883567810059,34,training
3,9.119987487792969,34,training
4,9.078110694885254,34,training
5,9.036968231201172,34,training
6,9.03596019744873,34,training
7,9.016336441040039,34,training
8,9.009318351745605,34,training
9,9.012076377868652,34,training
10,9.013744354248047,34,training
11,8.984586715698242,34,training
12,8.995845794677734,34,training
13,8.989418029785156,34,training
14,8.98521614074707,34,training
0,11.875275611877441,35,training
1,9.157085418701172,35,training
2,9.107498168945312,35,training
3,9.088163375854492,35,training
4,9.049997329711914,35,training
5,9.033449172973633,35,training
6,9.043006896972656,35,training
7,9.021431922912598,35,training
8,9.014165878295898,35,training
9,9.030406951904297,35,training
10,9.002983093261719,35,training
11,8.981552124023438,35,training
12,8.98812198638916,35,training
0,11.718035697937012,36,training
1,9.267351150512695,36,training
2,9.222095489501953,36,training
3,9.200654029846191,36,training
4,9.159151077270508,36,training
5,9.125741958618164,36,training
6,9.138893127441406,36,training
7,9.139609336853027,36,training
8,9.08785629272461,36,training
9,9.113490104675293,36,training
10,9.066915512084961,36,training
11,9.075357437133789,36,training
12,9.065584182739258,36,training
13,9.065242767333984,36,training
14,9.034509658813477,36,training
15,9.062631607055664,36,training
16,9.036164283752441,36,training
17,9.044493675231934,36,training
18,9.063783645629883,36,training
0,11.810046195983887,37,training
1,9.162130355834961,37,training
2,9.150516510009766,37,training
3,9.101066589355469,37,training
4,9.106697082519531,37,training
5,9.090258598327637,37,training
6,9.05667781829834,37,training
7,9.043143272399902,37,training
8,9.02394962310791,37,training
9,9.043193817138672,37,training
10,9.03237533569336,37,training
11,9.034403800964355,37,training
12,9.006023406982422,37,training
13,8.997819900512695,37,training
14,9.003520965576172,37,training
15,8.996733665466309,37,training
16,9.00494384765625,37,training
17,9.00454330444336,37,training
18,9.018306732177734,37,training
19,8.987015724182129,37,training
20,8.994558334350586,37,training
21,8.994169235229492,37,training
22,9.000007629394531,37,training
0,11.452802658081055,38,training
1,9.19752311706543,38,training
2,9.157675743103027,38,training
3,9.126273155212402,38,training
4,9.112120628356934,38,training
5,9.073981285095215,38,training
6,9.060368537902832,38,training
7,9.05135440826416,38,training
8,9.046263694763184,38,training
9,9.053961753845215,38,training
10,9.041090965270996,38,training
11,9.031837463378906,38,training
12,9.031922340393066,38,training
13,9.031274795532227,38,training
14,9.01878547668457,38,training
15,9.03680419921875,38,training
0,11.662553787231445,39,training
1,9.154158592224121,39,training
2,9.082529067993164,39,training
3,9.05232048034668,39,training
4,9.033209800720215,39,training
5,9.028484344482422,39,training
6,9.00644302368164,39,training
7,9.017532348632812,39,training
8,8.974264144897461,39,training
9,8.982826232910156,39,training
10,8.97016429901123,39,training
11,8.969852447509766,39,training
12,8.988611221313477,39,training
13,8.955567359924316,39,training
14,8.949884414672852,39,training
15,8.946775436401367,39,training
16,8.963323593139648,39,training
17,8.944541931152344,39,training
18,8.937023162841797,39,training
19,8.942410469055176,39,training
20,8.93538761138916,39,training
21,8.941676139831543,39,training
0,12.733386993408203,40,training
1,9.186919212341309,40,training
2,9.164253234863281,40,training
3,9.114437103271484,40,training
4,9.091252326965332,40,training
5,9.074970245361328,40,training
6,9.044957160949707,40,training
7,9.031229972839355,40,training
8,9.02652359008789,40,training
9,9.035386085510254,40,training
10,9.019035339355469,40,training
0,11.675090789794922,41,training
1,9.132245063781738,41,training
2,9.09174633026123,41,training
3,9.065258979797363,41,training
4,9.041051864624023,41,training
5,9.04323959350586,41,training
6,9.012869834899902,41,training
7,8.998882293701172,41,training
8,8.982942581176758,41,training
9,8.971723556518555,41,training
10,8.98160457611084,41,training
11,9.00131893157959,41,training
12,8.976495742797852,41,training
13,8.972137451171875,41,training
14,8.975234985351562,41,training
0,11.244470596313477,42,training
1,9.143049240112305,42,training
2,9.102378845214844,42,training
3,9.082165718078613,42,training
4,9.057235717773438,42,training
5,9.05675220489502,42,training
6,9.058951377868652,42,training
7,9.0230131149292,42,training
8,9.018386840820312,42,training
9,9.01661205291748,42,training
10,9.017440795898438,42,training
11,8.996660232543945,42,training
12,9.016261100769043,42,training
13,9.01307487487793,42,training
14,8.990144729614258,42,training
15,8.980284690856934,42,training
16,8.993684768676758,42,training
17,8.96501350402832,42,training
18,8.979814529418945,42,training
19,8.975024223327637,42,training
20,8.98206615447998,42,training
0,12.427748680114746,43,training
1,9.200223922729492,43,training
2,9.185142517089844,43,training
3,9.15587329864502,43,training
4,9.139610290527344,43,training
5,9.098797798156738,43,training
6,9.117321968078613,43,training
7,9.113709449768066,43,training
8,9.070202827453613,43,training
9,9.075822830200195,43,training
10,9.054586410522461,43,training
11,9.0557222366333,43,training
12,9.043804168701172,43,training
13,9.042521476745605,43,training
14,9.039678573608398,43,training
15,9.039807319641113,43,training
16,9.022043228149414,43,training
17,9.009519577026367,43,training
18,9.015446662902832,43,training
19,9.023797988891602,43,training
20,8.996424674987793,43,training
21,9.01652717590332,43,training
22,8.99625301361084,43,training
23,8.997720718383789,43,training
24,9.010163307189941,43,training
25,8.992804527282715,43,training
26,8.986441612243652,43,training
27,8.997631072998047,43,training
28,8.991847038269043,43,training
29,8.989566802978516,43,training
30,8.988456726074219,43,training
31,9.002127647399902,43,training
32,9.005556106567383,43,training
0,11.951789855957031,44,training
1,9.23638916015625,44,training
2,9.20185661315918,44,training
3,9.144103050231934,44,training
4,9.11366081237793,44,training
5,9.099159240722656,44,training
6,9.102813720703125,44,training
7,9.094785690307617,44,training
8,9.084000587463379,44,training
9,9.067696571350098,44,training
10,9.060779571533203,44,training
11,9.043891906738281,44,training
12,9.034422874450684,44,training
13,9.05471134185791,44,training
14,9.034700393676758,44,training
15,9.02297592163086,44,training
16,9.029702186584473,44,training
0,12.203404426574707,45,training
1,9.1835298538208,45,training
2,9.135387420654297,45,training
3,9.090476036071777,45,training
4,9.079033851623535,45,training
5,9.039810180664062,45,training
6,9.042136192321777,45,training
7,9.041972160339355,45,training
8,9.03543472290039,45,training
9,9.03589916229248,45,training
10,8.998529434204102,45,training
11,8.99220085144043,45,training
12,9.012568473815918,45,training
13,9.002408027648926,45,training
14,9.00075626373291,45,training
15,8.988039016723633,45,training
16,8.977376937866211,45,training
17,8.962096214294434,45,training
18,8.965096473693848,45,training
19,8.963232040405273,45,training
20,8.965272903442383,45,training
21,8.964569091796875,45,training
22,8.960689544677734,45,training
23,8.947240829467773,45,training
24,8.959844589233398,45,training
25,8.977155685424805,45,training
26,8.960444450378418,45,training
27,8.941579818725586,45,training
28,8.951703071594238,45,training
29,8.96169662475586,45,training
0,11.933300971984863,46,training
1,9.23847484588623,46,training
2,9.185311317443848,46,training
3,9.113892555236816,46,training
4,9.111083030700684,46,training
5,9.110661506652832,46,training
6,9.079113960266113,46,training
7,9.070528030395508,46,training
8,9.064760208129883,46,training
9,9.05433464050293,46,training
10,9.043013572692871,46,training
11,9.030704498291016,46,training
12,9.02245807647705,46,training
13,9.020809173583984,46,training
14,9.012653350830078,46,training
15,9.019495010375977,46,training
16,9.005267143249512,46,training
17,9.006598472595215,46,training
18,8.997991561889648,46,training
19,9.005228996276855,46,training
20,8.99593734741211,46,training
21,8.99638557434082,46,training
22,9.005497932434082,46,training
23,8.999076843261719,46,training
