variable,coefficient,model
DayOfMonth_scaled,0.11089454567827917,LR2_1
Month_scaled,7.356324908057755,LR2_1
LandTemp_scaled,4.5335357395333435,LR2_1
Width_scaled,1.0356960323767919,LR2_1
NDVI_scaled,1.3232407849698098,LR2_1
ClimateClass_scaled,-1.2810669675770108,LR2_1
dels_scaled,-0.0,LR2_1
sarea_scaled,-0.9516867079317656,LR2_1
rel_dist_scaled,-2.4219589274339888,LR2_1
intercept,8.817044215977297,LR2_1
